priority,kind,target,evidence,action
alta,country_sweep,CO,"14 includes, 3 parches, 1 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de CO. Puntos de entrada ya en DB: caf (1 edges)
alta,country_sweep,UY,"12 includes, 2 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de UY. Puntos de entrada ya en DB: (sin inversores locales en DB)
alta,country_sweep,CR,"7 includes, 2 parches, 3 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de CR. Puntos de entrada ya en DB: Antom (11 edges); DragonesVP (10 edges); carao_ventures (1 edges); amador (0 edges)
alta,country_sweep,PE,"3 includes, 2 parches, 1 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de PE. Puntos de entrada ya en DB: salkantay_ventures (1 edges)
alta,country_sweep,GT,"2 includes, 1 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de GT. Puntos de entrada ya en DB: (sin inversores locales en DB)
alta,country_sweep,PA,"1 includes, 1 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de PA. Puntos de entrada ya en DB: (sin inversores locales en DB)
alta,country_sweep,EC,"0 includes, 0 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de EC. Puntos de entrada ya en DB: (sin inversores locales en DB)
alta,country_sweep,PY,"0 includes, 0 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de PY. Puntos de entrada ya en DB: (sin inversores locales en DB)
alta,country_sweep,BO,"0 includes, 0 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de BO. Puntos de entrada ya en DB: (sin inversores locales en DB)
alta,country_sweep,VE,"0 includes, 0 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de VE. Puntos de entrada ya en DB: (sin inversores locales en DB)
alta,country_sweep,DO,"0 includes, 0 parches, 0 inversores locales con edges",Barrido dirigido de portfolios y aceleradoras bio de DO. Puntos de entrada ya en DB: (sin inversores locales en DB)
media,portfolio_sweep,axventures_pymar,solo 1 edge(s) en DB; país AR (well_mapped),Revisar portfolio público completo de axventures_pymar y mapear startups bio faltantes
media,portfolio_sweep,la_turbina,solo 1 edge(s) en DB; país AR (well_mapped),Revisar portfolio público completo de la_turbina y mapear startups bio faltantes
media,portfolio_sweep,meet_capital,solo 1 edge(s) en DB; país AR (well_mapped),Revisar portfolio público completo de meet_capital y mapear startups bio faltantes
media,portfolio_sweep,grupo_insud,solo 3 edge(s) en DB; país AR (well_mapped),Revisar portfolio público completo de grupo_insud y mapear startups bio faltantes
media,portfolio_sweep,newtopia_vc,solo 4 edge(s) en DB; país AR (well_mapped),Revisar portfolio público completo de newtopia_vc y mapear startups bio faltantes
media,portfolio_sweep,oxygea,solo 1 edge(s) en DB; país BE (fuera_de_foco),Revisar portfolio público completo de oxygea y mapear startups bio faltantes
media,portfolio_sweep,waterlemon,solo 1 edge(s) en DB; país BE (fuera_de_foco),Revisar portfolio público completo de waterlemon y mapear startups bio faltantes
media,portfolio_sweep,ace_ventures,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de ace_ventures y mapear startups bio faltantes
media,portfolio_sweep,alexia_ventures,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de alexia_ventures y mapear startups bio faltantes
media,portfolio_sweep,arar_capital,solo 1 edge(s) en DB; país BR (well_mapped),Revisar portfolio público completo de arar_capital y mapear startups bio faltantes
