normalized_key,count,entity_ids,canonical_names,entity_types
feedvax,3,Feed Vax|Feedvax|feedvax,Feed Vax|Feedvax|Feedvax,startup|startup|startup
agrojusto,2,Agrojusto|agrojusto,Agrojusto|Agrojusto,startup|startup
algaebio,2,algaebio|AlgaeBio+,algaebio+|AlgaeBio+,startup|startup
algalife,2,AlgaLife|algalife,AlgaLife|Algalife,startup|startup
alkemio,2,Alkemio|alkemio,Alkemio|Alkemio,startup|startup
alytix,2,Alytix|alytix,Alytix|Alytix,startup|startup
amplifydynamics,2,Amplify Dynamics|amplify-dynamics,Amplify Dynamics|Amplify Dynamics,startup|startup
antarka,2,Antarka|antarka,Antarka|Antarka,startup|startup
apasomics,2,Apasomics|apasomics,Apasomics|Apasomics,startup|startup
apexzymes,2,APEXzymes|apexzymes,APEXzymes|APEXzymes,startup|startup
aplifebiotech,2,Aplife Biotech|aplife_biotech,Aplife Biotech|Aplife Biotech,startup|startup
aquit,2,Aquit|aquit,Aquit|Aquit,startup|startup
argentag,2,argenTAG|argentag,argenTAG|ArgenTAG,startup|startup
auth0,2,Auth0|auth0,Auth0|Auth0,startup|startup
ayuvant,2,Ayuvant|ayuvant,Ayuvant|Ayuvant,startup|startup
beamcroptech,2,BEAM CropTech|beam_croptech,BEAM CropTech|BEAM CropTech,startup|startup
beeflow,2,Beeflow|beeflow,Beeflow|Beeflow,startup|startup
bioblends,2,BioBlends|bioblends,BioBlends|BioBlends,startup|startup
biodiversityintelligence,2,Biodiversity Intelligence|biodiversity_intelligence,Biodiversity Intelligence|Biodiversity Intelligence,startup|startup
bioeutectics,2,Bioeutectics|bioeutectics,Bioeutectics|Bioeutectics,startup|startup
biometallum,2,BioMetallum|biometallum,BioMetallum|BioMetallum,startup|startup
bioplasterresearch,2,BioPlaster Research|bioplaster_research,BioPlaster Research|BioPlaster Research,startup|startup
bioplastix,2,Bioplastix|bioplastix,Bioplastix|Bioplastix,startup|startup
biotalife,2,Biotalife|biotalife,Biotalife|Biotalife,startup|startup
bitgenia,2,Bitgenia|bitgenia,Bitgenia|Bitgenia,startup|startup
blepsvision,2,Bleps Vision|bleps_vision,Bleps Vision|Bleps Vision,startup|startup
blerify,2,Blerify|blerify,Blerify|Blerify,startup|startup
botanicalsolutions,2,Botanical Solutions|botanical-solutions,Botanical Solutions|Botanical Solutions,startup|startup
branchenergy,2,Branch Energy|branch_energy,Branch Energy|Branch Energy,startup|startup
breakpet,2,break_pet|BreakPET,BreakPET|BreakPET,startup|startup
bsafebiotech,2,Bsafe Biotech|bsafe_biotech,Bsafe Biotech|Bsafe Biotech,startup|startup
bybug,2,ByBug|bybug,ByBug|ByBug,startup|startup
caligenia,2,Caligenia|caligenia,Caligenia|Caligenia,startup|startup
casprbiotech,2,Caspr Biotech|caspr_biotech,Caspr Biotech|Caspr Biotech,startup|startup
cellrep,2,CellRep|cellrep,CellRep|CellRep,startup|startup
cellva,2,Cellva|cellva,Cellva|Cellva,startup|startup
circclo,2,CIRCCLO|circclo,CIRCCLO|CIRCCLO,startup|startup
conciencia,2,Conciencia|conciencia,Conciencia|Conciencia,startup|startup
crinsurance,2,Crinsurance|crinsurance,Crinsurance|CRInsurance,startup|startup
cryosmetics,2,Cryosmetics|cryosmetics,Cryosmetics|Cryosmetics,startup|startup
cyanomin,2,CyanoMin|cyanomin,CyanoMin|CyanoMin,startup|startup
delee,2,Delee|delee,Delee|Delee,startup|startup
dharmabioscience,2,Dharma BioScience|dharma_bioscience,Dharma BioScience|Dharma BioScience,startup|startup
dogmabiotech,2,Dogma Biotech|dogma_biotech,Dogma Biotech|Dogma Biotech,startup|startup
doneproperly,2,Done Properly|done_properly,Done Properly|Done Properly,startup|startup
dynami,2,Dynami|dynami,Dynami|Dynami,startup|startup
egg,2,Egg|egg,Egg|Egg,startup|startup
einsted,2,EINSTED|einsted,EINSTED|Einsted,startup|startup
eiru,2,eiru|Eirú,Eirú|Eirú,startup|startup
embryoxite,2,Embryoxite|embryoxite,Embryoxite|Embryoxite,startup|startup
enteria,2,Enteria|enteria,Enteria|Enteria,startup|startup
eolopharma,2,Eolo Pharma|eolo_pharma,Eolo Pharma|Eolo Pharma,startup|startup
epiliquid,2,Epiliquid|epiliquid,Epiliquid|Epiliquid,startup|startup
ergofoods,2,Ergo Foods|ergo_foods,Ergo Foods|Ergo Foods,startup|startup
ethos,2,Ethos|ethos,Ethos|Ethos,startup|startup
eureka,2,Eureka|eureka,Eureka|Eureka,startup|startup
exomas,2,Exomas|exomas,Exomas|Exomas,startup|startup
falcomm,2,Falcomm|falcomm,Falcomm|Falcomm,startup|startup
fungilife,2,Fungi Life|fungi_life,Fungi Life|Fungi Life,startup|startup
futurebiome,2,Future Biome|future_biome,Future Biome|Future Biome,startup|startup
gameet,2,Gameet|gameet,Gameet|Gameet,startup|startup
gbm,2,GBM|gbm,GBM|GBM,startup|startup
geoprot,2,Geoprot|geoprot,Geoprot|Geoprot,startup|startup
gigablue,2,Gigablue|gigablue,Gigablue|Gigablue,startup|startup
gisensbiotech,2,Gisens Biotech|gisens_biotech,Gisens Biotech|Gisens Biotech,startup|startup
glycox,2,GlycoX|glycox,GlycoX|GlycoX,startup|startup
huiro,2,Huiro|huiro,Huiro|Huiro,startup|startup
inmet,2,INMET|inmet,INMET|INMET,startup|startup
innercosmos,2,Inner Cosmos|inner_cosmos,Inner Cosmos|Inner Cosmos,startup|startup
innovai,2,Innovai|innovai,Innovai|Innovai,startup|startup
invitrall,2,Invitrall|invitrall,Invitrall|Invitrall,startup|startup
kigui,2,Kigui|kigui,Kigui|Kigüi,startup|startup
kilimo,2,Kilimo|kilimo,Kilimo|Kilimo,startup|startup
kreskornatech,2,Kresko RNATech|kresko_rnatech,Kresko RNATech|Kresko RNAtech,startup|startup
laurus,2,Laurus|laurus,Laurus|Laurus,startup|startup
lemon,2,Lemon|lemon,Lemon|Lemon,startup|startup
libera,2,Libera|libera,Libera|Libera,startup|startup
limaybiosciences,2,Limay Biosciences|limay_biosciences,Limay Biosciences|Limay Biosciences,startup|startup
m4life,2,M4Life|m4life,M4Life|M4Life,startup|startup
mentatickets,2,Menta Tickets|menta_tickets,Menta Tickets|Menta Tickets,startup|startup
