"entity_id","canonical_name","alias","alias_type","source_kind","notes"
"algaebio","algaebio+","algaebio+","auto_promoted_review_alias","canonical_review","Same normalized name with case variation"
"aplife-biotech","Aplife Biotech","Aplife","manual_override","manual_alias_overrides","name_shortening|medium"
"avatar-medtech","AVaTAR MedTech","AVaTAR","manual_override","manual_alias_overrides","name_shortening|medium"
"beam-croptech","BEAM CropTech","BEAM CropTech","merge_from_staging","canonical","Exact same name across sources"
"biodiversity-intelligence","Biodiversity Intelligence","Biodiversity Intelligence","merge_from_staging","canonical","Exact same name across sources"
"BreakPET","BreakPET","Break Pet","auto_promoted_review_alias","canonical_review","Same normalized name with branding variation"
"bsafe-biotech","Bsafe Biotech","Bsafe Biotech","merge_from_staging","canonical","Exact same name across sources"
"caspr-biotech","Caspr Biotech","CASPR","manual_override","manual_alias_overrides","name_shortening|medium"
"cell-farm","Cell Farm","CellCo","manual_override","manual_alias_overrides","possible_related_brand|low"
"dharma-bioscience","Dharma BioScience","Dharma BioScience","merge_from_staging","canonical","Exact same name across sources"
"dogma-biotech","Dogma Biotech","Dogma Biotech","merge_from_staging","canonical","Exact same name across sources"
"DraperCygnus","DraperCygnus","Draper Cygnus","auto_promoted_review_alias","canonical_review","Same normalized name with spacing variation"
"elytron-biotech","Elytron Biotech","Elytron","manual_override","manual_alias_overrides","name_shortening|medium"
"eolo-pharma","Eolo Pharma","Eolo Pharma","merge_from_staging","canonical","Exact same name across sources"
"eywa-biotech","Eywa Biotech","Eywa","manual_override","manual_alias_overrides","name_shortening|medium"
"Feedvax","Feedvax","Feed Vax","historical_match","historical","nodoseco.csv"
"Feedvax","Feedvax","Feedvax","manual_override","manual_alias_overrides","branding_variant|medium"
"fungi-life","Fungi Life","Fungi Life","merge_from_staging","canonical","Exact same name across sources"
"fungi-life","Fungi Life","Fungilife","merge_from_staging","canonical","Same normalized name with capitalization variation"
"future-biome","Future Biome","Future Biome","merge_from_staging","canonical","Exact same name across sources"
"gisens-biotech","Gisens Biotech","Gisens Biotech","merge_from_staging","canonical","Exact same name across sources"
"HIAMET","HIAMET","Hiamet S.A","manual_override","manual_alias_overrides","legal_suffix_variant|medium"
"Kigui","Kigui","KigÃ¼i","source_name_graphml","canonical","Alternative source label from GraphML"
"kresko-rnatech","Kresko RNATech","Kresko RNAtech","auto_promoted_review_alias","canonical_review","Same normalized name with style variation"
"limay-biosciences","Limay Biosciences","Limay Biosciences","merge_from_staging","canonical","Exact same name across sources"
"Mesenchyal-T","Mesenchyal-T","Mesenchyal-T","merge_from_staging","canonical","Exact same name across sources"
"monte-caldera-technology","Monte Caldera Technology","Monte Caldera","manual_override","manual_alias_overrides","name_shortening|medium"
"multiplai-health","MultiplAI Health","MultiplAI Health","merge_from_staging","canonical","Exact same name across sources"
"mycorium-biotech","Mycorium Biotech","Mycorium Biotech","merge_from_staging","canonical","Exact same name across sources"
"nano-jump-bio","Nano Jump Bio","Nano Jump","manual_override","manual_alias_overrides","shortening_variant|medium"
"nano-jump-bio","Nano Jump Bio","NanoJump Bio","auto_promoted_review_alias","canonical_review","Same normalized name with spacing variation"
"nanogrow-biotech","Nanogrow Biotech","Nanogrow","manual_override","manual_alias_overrides","name_shortening|medium"
"new-organs-biotech","New Organs Biotech","New Organs","manual_override","manual_alias_overrides","name_shortening|medium"
"novo-space","Novo Space","Novo Space","merge_from_staging","canonical","Exact same name across sources"
"novo-space","Novo Space","NovoSpace","merge_from_staging","canonical","Same normalized name without space"
"nunatak-biotech","Nunatak Biotech","Nunatak Biotech","merge_from_staging","canonical","Exact same name across sources"
"onco-precision","Onco Precision","Onco Precision","merge_from_staging","canonical","Exact same name across sources"
"onco-precision","Onco Precision","OncoPrecision","merge_from_staging","canonical","Same normalized name without space"
"pill-ar","Pill.AR","Pill.AR","merge_from_staging","canonical","Exact same name across sources"
"puna-bio","Puna Bio","Puna Bio","merge_from_staging","canonical","Exact same name across sources"
"qumir-nano","Qumir Nano","Qumir Nano","merge_from_staging","canonical","Exact same name across sources"
"satellites-on-fire","Satellites On Fire","Satellites on Fire","merge_from_staging","canonical","Same normalized name with case variation"
"scitherm-therapeutics","Scitherm Therapeutics","Scitherm","manual_override","manual_alias_overrides","name_shortening|medium"
"st-mm","Stämm","StÃ¤mm","auto_promoted_review_alias","canonical_review","Encoding issue and same normalized identity"
"synthetic-ocular-restoration","Synthetic Ocular Restoration","Synthetic Ocular Restoration","merge_from_staging","canonical","Exact same name across sources"
"syocin-biotech","Syocin Biotech","Syocin Bio","manual_override","manual_alias_overrides","name_shortening|medium"
"tomorrow-foods","Tomorrow Foods","Tomorrow","manual_override","manual_alias_overrides","name_shortening|medium"
"trebe-biotech","Trebe Biotech","Trebe Biotech","merge_from_staging","canonical","Exact same name across sources"
"ubique-bio","Ubique Bio","Ubique Bio","merge_from_staging","canonical","Exact same name across sources"
"ubique-bio","Ubique Bio","UbiqueBio","manual_override","manual_alias_overrides","spacing_variant|high"
