investment_id,investor_id,startup_id,round_name,round_stage,announced_date,amount,currency,is_lead,confidence_score,source_id,notes
INFERRED_activaq_The Ganesha Lab_0,The Ganesha Lab,activaq,pre-seed,pre-seed,,,,0,0.5,INFERRED_PATTERN,Inferred from Food Systems & Alt Proteins + pre-seed investor patterns
INFERRED_activaq_GridX_1,GridX,activaq,pre-seed,pre-seed,,,,0,0.5,INFERRED_PATTERN,Inferred from Food Systems & Alt Proteins + pre-seed investor patterns
INFERRED_advanced_biocontrollers_vesper_ventures_2,vesper_ventures,advanced_biocontrollers,pre-seed,pre-seed,,,,0,0.5,INFERRED_PATTERN,Inferred from Bioinputs & Crop Resilience + pre-seed investor patterns
INFERRED_advanced_biocontrollers_The Ganesha Lab_3,The Ganesha Lab,advanced_biocontrollers,pre-seed,pre-seed,,,,0,0.5,INFERRED_PATTERN,Inferred from Bioinputs & Crop Resilience + pre-seed investor patterns
INFERRED_agricultic-do_the_yield_lab_latam_4,the_yield_lab_latam,agricultic-do,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Precision Agriculture + series-a investor patterns
INFERRED_agricultic-do_morningside_group_5,morningside_group,agricultic-do,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Precision Agriculture + series-a investor patterns
INFERRED_agrigenetic-ecuador-ec_vox_capital_6,vox_capital,agrigenetic-ecuador-ec,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Bioinputs & Crop Resilience + series-a investor patterns
INFERRED_agrigenetic-ecuador-ec_the_yield_lab_latam_7,the_yield_lab_latam,agrigenetic-ecuador-ec,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Bioinputs & Crop Resilience + series-a investor patterns
INFERRED_agritech-bolivia-bo_the_yield_lab_latam_8,the_yield_lab_latam,agritech-bolivia-bo,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Precision Agriculture + series-a investor patterns
INFERRED_agritech-bolivia-bo_morningside_group_9,morningside_group,agritech-bolivia-bo,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Precision Agriculture + series-a investor patterns
INFERRED_agrivalle_vesper_ventures_10,vesper_ventures,agrivalle,pre-seed,pre-seed,,,,0,0.5,INFERRED_PATTERN,Inferred from Bioinputs & Crop Resilience + pre-seed investor patterns
INFERRED_agrivalle_The Ganesha Lab_11,The Ganesha Lab,agrivalle,pre-seed,pre-seed,,,,0,0.5,INFERRED_PATTERN,Inferred from Bioinputs & Crop Resilience + pre-seed investor patterns
INFERRED_agro360-do_the_yield_lab_latam_12,the_yield_lab_latam,agro360-do,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Precision Agriculture + series-a investor patterns
INFERRED_agro360-do_morningside_group_13,morningside_group,agro360-do,series-a,series-a,,,,0,0.5,INFERRED_PATTERN,Inferred from Precision Agriculture + series-a investor patterns
