startup_id,name,funding_stage,computed_quality_score,tech_depth,short_description,source,confidence,notes
agritech-bolivia-bo,AgriTech Bolivia,pre-seed,5.0,medium,,,0.0,Buscar en Crunchbase + Google
agricultic-do,Agricultic,pre-seed,5.0,medium,,,0.0,
agrigenetic-ecuador-ec,Agrigenetic Ecuador,pre-seed,5.0,medium,,,0.0,
agro360-do,Agro360,pre-seed,5.0,medium,,,0.0,
agrobit-bolivia-operations-bo,Agrobit (Bolivia operations),pre-seed,5.0,medium,,,0.0,
agrocontrol-gt,Agrocontrol,pre-seed,5.0,medium,,,0.0,
agroguia-ve,Agroguía,pre-seed,5.0,medium,,,0.0,
agroscan-ec,Agroscan,pre-seed,5.0,medium,,,0.0,
alecrim-biotech-br,Alecrim Biotech,pre-seed,5.0,medium,,,0.0,
biodiverso-insumos-br,BioDiverso Insumos,pre-seed,5.0,medium,,,0.0,
biocell-mx,BioCell,pre-seed,5.0,medium,,,0.0,
biofactory-br,BioFactory,pre-seed,5.0,medium,,,0.0,
biofresh-br,BioFresh,pre-seed,5.0,medium,,,0.0,
biohack-uio-ec,BioHack UIO,pre-seed,5.0,medium,,,0.0,
biolife-innovations-bo,BioLife Innovations,pre-seed,5.0,medium,,,0.0,
biomar-cr,BioMar,pre-seed,5.0,medium,,,0.0,
biometrics-medellin-co,BioMetrics Medellin,pre-seed,5.0,medium,,,0.0,
bioplast-br,BioPlast,pre-seed,5.0,medium,,,0.0,
bioprocess-automation-brasil-br,BioProcess Automation Brasil,pre-seed,5.0,medium,,,0.0,
bioproducts-co,BioProducts,pre-seed,5.0,medium,,,0.0,
biotech-cr,BioTech,pre-seed,5.0,medium,,,0.0,
bioceres-ar,Bioceres,pre-seed,5.0,medium,,,0.0,
bioisoflex-co,BioIsoFlex,pre-seed,5.0,medium,,,0.0,
biokera-do,BioKera,pre-seed,5.0,medium,,,0.0,
biomag-br,BioMag,pre-seed,5.0,medium,,,0.0,
biomaps-ec,BioMaps,pre-seed,5.0,medium,,,0.0,
biomintech-br,BioMinTech,pre-seed,5.0,medium,,,0.0,
biopharm-latam-mx,BioPharm Latam,pre-seed,5.0,medium,,,0.0,
biopure-cr,BioPure,pre-seed,5.0,medium,,,0.0,
bioquimika-co,Bioquímika,pre-seed,5.0,medium,,,0.0,
biorends-cl,BioRends,pre-seed,5.0,medium,,,0.0,
bioscan-pe,BioScan,pre-seed,5.0,medium,,,0.0,
biosecure-mx,BioSecure,pre-seed,5.0,medium,,,0.0,
biosphere-do,BiosphereX,pre-seed,5.0,medium,,,0.0,
biotech-hub-ve,BioTech Hub,pre-seed,5.0,medium,,,0.0,
biotecma-bo,BioTecma,pre-seed,5.0,medium,,,0.0,
biotika-br,Biotika,pre-seed,5.0,medium,,,0.0,
biotina-pe,Biotina,pre-seed,5.0,medium,,,0.0,
biotropic-co,BioTropic,pre-seed,5.0,medium,,,0.0,
biowit-mx,BIOWIT,pre-seed,5.0,medium,,,0.0,
bioyield-mx,BioYield,pre-seed,5.0,medium,,,0.0,
bioytech-do,BioYTech,pre-seed,5.0,medium,,,0.0,
bioztech-ec,BioZTech,pre-seed,5.0,medium,,,0.0,
bluebiont-br,BlueBiont,pre-seed,5.0,medium,,,0.0,
bluegene-cr,BlueGene,pre-seed,5.0,medium,,,0.0,
bluebio-co,BlueBio,pre-seed,5.0,medium,,,0.0,
brasilbio-br,BrasilBio,pre-seed,5.0,medium,,,0.0,
brightbio-mx,BrightBio,pre-seed,5.0,medium,,,0.0,
buenasbio-mx,BuenasBio,pre-seed,5.0,medium,,,0.0,
bushbiotech-bo,BushBioTech,pre-seed,5.0,medium,,,0.0,
calbiotech-co,CalBiotech,pre-seed,5.0,medium,,,0.0,
campobio-ec,CampoBio,pre-seed,5.0,medium,,,0.0,
carbobio-mx,CarboBio,pre-seed,5.0,medium,,,0.0,
carpaltec-br,CarpalTec,pre-seed,5.0,medium,,,0.0,
casafresh-br,CasaFresh,pre-seed,5.0,medium,,,0.0,
cellbiotech-co,CellBiotech,pre-seed,5.0,medium,,,0.0,
celestebio-pe,CelesteBio,pre-seed,5.0,medium,,,0.0,
cenabiotech-bo,CenaBiotech,pre-seed,5.0,medium,,,0.0,
cenetac-cr,CeneTA,pre-seed,5.0,medium,,,0.0,
biosys-solutions-br,BioSys Solutions,pre-seed,5.0,medium,,,0.0,
