"workstream","startup_id","startup_name","scope_decision","current_theme","quality_band","review_status","source_type","source_url","summary_words","data_quality_score_10","action","reason","effort","expected_impact","current_summary"
"exclude_defense_batch","centralo","Centralo","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","conciencia","Conciencia","exclude","digital coordination and market infrastructure","high","seeded","candidate_website_from_user_csv","https://conciencia.education","19","9","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","Edtech orientada a habilidades blandas y conciencia social. Queda afuera por no tener thesis fit material, biobasado ni biocentrico."
"exclude_defense_batch","crinsurance","CRInsurance","exclude","digital coordination and market infrastructure","high","seeded","candidate_website_from_user_csv","https://crinsurance.com.br","19","9","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","Insurtech especializada en seguros de credito y garantias. Queda afuera por no tener thesis fit material, biobasado ni biocentrico."
"exclude_defense_batch","curseduca","Curseduca","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","endless","Endless","exclude","digital coordination and market infrastructure","high","seeded","candidate_website_from_user_csv","https://endlessos.org","18","9","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","Tecnologia para hacer la computacion mas accesible en areas con baja conectividad. Queda afuera por no ser thesis-core."
"exclude_defense_batch","exactly","Exactly","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","facturama","Facturama","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","fligoo","Fligoo","exclude","digital coordination and market infrastructure","medium","seeded","portfolio_or_official_override","","19","8","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","AI decision and analytics software para financial services, retail and telecom. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","frete_com","Frete Com","exclude","digital coordination and market infrastructure","medium","seeded","portfolio_or_official_override","","19","8","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","digital freight and logistics platform para logistics and commerce. Queda afuera por logistics_software_without_thesis_core_materiality_signal."
"exclude_defense_batch","frubana","Frubana","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","grandata","Grandata","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","houm","Houm","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","inventa","Inventa","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exclude_defense_batch","iof","Iof","exclude","unclassified / needs review resolved","medium","seeded","portfolio_or_official_override","","16","8","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","insufficiently documented venture para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal."
"exclude_defense_batch","jampp","Jampp","exclude","digital coordination and market infrastructure","medium","taxonomy_stub","taxonomy_stub","","16","7","add_external_source_and_defensible_exclude_reason","Exclude frontier needs auditable evidence to defend universe boundary.","low","medium","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
