"startup_id","startup_name","semantic_single_theme","semantic_single_cluster_id","semantic_single_score","semantic_single_margin","semantic_single_confidence","semantic_single_override","semantic_single_override_reason","source_url","review_status","technology_features","industry_features"
"aegro","Aegro","ag biologicals and crop resilience","k12_cluster_3","27.6","19.2","high","no","","https://aegro.com.br/","reviewed","farm; saas; records; pest; monitoring; input","crop; livestock; farm"
"agrivalle","Agrivalle","ag biologicals and crop resilience","k12_cluster_3","44.1","25.1","high","no","","https://agrivalle.com.br/","reviewed","biofertilizers; biostimulants; inoculants; adjuvants; biological; crop","crop; nutrition"
"arakion","Arakion","ag biologicals and crop resilience","k12_cluster_3","46.4","29.8","high","no","","https://www.gridexponential.com/portfolio","reviewed","venom; peptides; rational; molecular; design; crop","crop; protection"
"beam_croptech","BEAM CropTech","ag biologicals and crop resilience","k12_cluster_3","41.4","28.6","high","no","","https://beamcroptech.com/en/home-en/","reviewed","plant; photobiology; genetic; engineering; seed; trait","seed"
"bioheuris","Bioheuris","ag biologicals and crop resilience","k12_cluster_3","45.1","32","high","no","","https://bioheuris.com/aboutus","reviewed","gene; editing; crop; trait; development; plant",""
"bsafe_biotech","Bsafe Biotech","ag biologicals and crop resilience","k12_cluster_3","32.4","25.7","high","no","","https://www.bsafebiotech.com/","reviewed","genetics; microorganisms; biological; control",""
"bug_agentes_biologicos","BUG Agentes Biologicos","ag biologicals and crop resilience","k12_cluster_3","47.4","41.5","high","no","","https://spventures.com.br/portfolio/","reviewed","parasitoids; biological; pest; control; trichogramma; wasps","crop; protection"
"cyanomin","CyanoMin","ag biologicals and crop resilience","k12_cluster_3","20.6","12.7","high","no","","https://www.cyanomin.bio/","reviewed","extremophilic; bacteria; bacterial; biofilms; adsorption; biodesalination","mining; lithium; water; treatment; recovery"
"decoy","Decoy","ag biologicals and crop resilience","k12_cluster_3","39","34.6","high","no","","https://spventures.com.br/categorias-portfolio/alternative-inputs-biologicals/","reviewed","biopesticides; biological; pest; control; livestock; alternative","livestock"
"elytron_biotech","Elytron Biotech","ag biologicals and crop resilience","k12_cluster_3","22.9","14.1","high","no","","https://www.elytronbiotech.com/?lang=en","reviewed","development; genomics; gene; editing; molecular; bioinformatics","bioindustry; biological"
"genica","Gênica","ag biologicals and crop resilience","k12_cluster_3","36.5","20.3","high","no","","https://genica.com.br/","reviewed","bioinputs; microbial; bioprospection; molecular; techniques; bioinformatics","crop; soil"
"inceres","InCeres","ag biologicals and crop resilience","k12_cluster_3","23.8","9.4","medium","no","","https://www.inceres.com.br/","reviewed","agronomic; saas; satellite; imagery; soil; sampling","crop; agronomic; consulting"
"infira","Infira","ag biologicals and crop resilience","k12_cluster_3","57.1","45.2","high","no","","https://ar.linkedin.com/company/infira","reviewed","plant; genetics; gene; editing; crop; biotechnology","seed; crop; genetics"
"innova_space","Innova Space","ag biologicals and crop resilience","k12_cluster_3","26.3","4.9","medium","no","","https://www.innova-space.com/en/","reviewed","picosatellites; satellite; environmental; monitoring; water; quality","environmental; monitoring; water; quality; remote"
"inprenha","Inprenha","ag biologicals and crop resilience","k12_cluster_3","18.1","3.2","curated","yes","Source-backed profile is animal reproduction biotechnology for livestock productivity.","https://www.spventures.com.br/","reviewed","proteins; biotechnology; animal; reproduction","animal; reproduction; livestock"
"kilimo","Kilimo","ag biologicals and crop resilience","k12_cluster_3","21.3","11","medium","no","","https://kilimo.com/","reviewed","data; agronomy; climate; measurement","watershed"
"krilltech","Krilltech","ag biologicals and crop resilience","k12_cluster_3","34.1","16.1","high","no","","https://krilltech.com.br/","reviewed","organic; nanostructures; biofertilizer; biofortification; nutrient; carrier","crop; plant; nutrition; biologicals"
"m4life","M4Life","ag biologicals and crop resilience","k12_cluster_3","47.6","27.8","high","no","","https://sf500.com.ar/","reviewed","biological; plant; resilience; enhancer; abiotic; stress",""
"nanotica","Nanotica","ag biologicals and crop resilience","k12_cluster_3","31.5","19.6","high","no","","https://nanotica.com.ar/en/","reviewed","nanotechnology; nanoencapsulation; agrochemical; crop; protection; farm","crop; protection"
"neocrop-technologies","Neocrop Technologies","ag biologicals and crop resilience","k12_cluster_3","55.5","41.3","high","no","","https://zentynel.com/en/portfolio/","reviewed","precision; gene; editing; accelerated; breeding; crop","seed"
"nexxto","Nexxto","ag biologicals and crop resilience","k12_cluster_3","21.7","10","medium","no","","https://nexxto.com/","reviewed","sensors; temperature; monitoring; humidity; asset; tracking","retail; logistics; healthcare; cold; chain"
"nunatak_biotech","Nunatak Biotech","ag biologicals and crop resilience","k12_cluster_3","50","31.6","high","no","","https://www.nunatakbio.com/","reviewed","plant; microbiome; microbial; symbiosis; soil; restoration","crop; soil; restoration; regenerative"
"precision_ag","Precision Ag","ag biologicals and crop resilience","k12_cluster_3","40.5","23.4","high","no","","https://www.precision.agr.br/en","reviewed","drones; precision; spraying; solid; input; dispersion","crop; input; application"
