name,country_code,sector,description,website,founded_year,source_url
BioLife Innovations,BO,Biotech,Develops biofertilizers (BioBoost) and water purification biotech (BioDetox). Partnerships with universities for BioTech Hub research.,https://biolifeinnovations.com,2018,https://www.nucamp.co/blog/coding-bootcamp-bolivia-bol-bolivias-top-10-startups-that-tech-professionals-should-watch-out-for-in-2024
Swebol Biotech,BO,Biotech,University spinout from UMSA in collaboration with Lund University Sweden. Agricultural biotech and food market innovation.,https://swebolbiotech.bo,2015,https://openaid.se/en/contributions/SE-0-SE-6-11418
AgriTech Bolivia,BO,Agtech,Agriculture technology innovation startup leveraging AI and IoT for crop productivity.,https://agritechbolivia.com,2018,https://www.nucamp.co/blog/coding-bootcamp-bolivia-bol-bolivias-top-10-startups-that-tech-professionals-should-watch-out-for-in-2024
Dimitra (Bolivia operations),BO,Agtech,Connected Farmer platform providing AI satellite data and blockchain for quinoa and agriculture production. Partner with Proinpa.,https://www.dimitra.io,2013,https://dimitratech.medium.com/creating-opportunities-for-farmers-in-bolivia-ff8bf9769d
Agrobit (Bolivia operations),BO,Agtech,Blockchain-based supply chain solution for agriculture. Italian startup with $3M VC funding operating in Bolivia.,https://www.agrobit.io,2015,https://latamlist.com/startup-ecosystem-in-bolivia/
AquaSol,BO,Water Tech,Water purification and solar-powered solutions for agriculture and clean water access.,https://aquasol.bo,2019,https://www.nucamp.co/blog/coding-bootcamp-bolivia-bol-inside-bolivias-thriving-tech-hub-startups-and-success-stories
EcoEnergy Bolivia,BO,Climate Tech,Renewable energy innovation and sustainability solutions for agriculture and communities.,https://ecoenergybolivia.bo,2017,https://www.nucamp.co/blog/coding-bootcamp-bolivia-bol-inside-bolivias-thriving-tech-hub-startups-and-success-stories
HealthPoint,BO,Biotech,Health technology and biotechnology solutions focused on medical innovation.,https://healthpoint.bo,2019,https://www.nucamp.co/blog/coding-bootcamp-bolivia-bol-inside-bolivias-thriving-tech-hub-startups-and-success-stories
Mi Huella,BO,Climate Tech,Carbon footprint tracking mobile app with localized Bolivian emission factors. ESG monitoring for employers.,https://mihuella.bo,2024,https://www.nucamp.co/blog/coding-bootcamp-bolivia-bol-top-10-startups-that-tech-professionals-should-watch-out-for-in-2025
SparseLab,BO,AI/Agtech,AI and sparse models platform for business automation. Founded 2018 by data science engineers. Potentially applicable to agricultural analytics.,https://sparselab.bo,2018,https://www.nucamp.co/blog/coding-bootcamp-bolivia-bol-inside-bolivias-thriving-tech-hub-startups-and-success-stories
Innova Bolivia (network),BO,Support,Incubator and accelerator network providing seed funding and mentorship to agtech and biotech startups.,https://innovabolivia.bo,2015,https://latamlist.com/startup-ecosystem-in-bolivia/
KRTL Biotech (Bolivia expansion),BO,Biotech,Biopharmaceutical company expanding in Bolivia with partnership at Centro de Investigaciones Químicas (CIQ).,https://www.krtlbiotech.com,2010,https://www.stocktitan.net/news/KRTL/krtl-holding-group-expands-in-bolivia-a-strategic-leap-for-eid20jatvqav.html
Energytop (via Proinpa),BO,Biotech,Biofertiliser capturing atmospheric nitrogen and solubilising phosphorous. Replaces agrochemicals in food systems.,https://www.proinpa.org,2012,https://www.proinpa.org/web/en/centro-de-innovacion-agricola-alejandro-bonifacio-flores/
Innovatech,BO,Agtech,IFAD-backed digital agricultural solutions for smallholder farmers. AgriTech and FinTech for market access.,https://www.ifad.org,2018,https://www.ifad.org/en/w/news/innovatech-2.0-digital-solutions-to-boost-the-productivity-and-climate-resilience-of-17-000-crop-and-livestock-producers
Mo.bi,BO,Climate Tech,Electric vehicle rental service using Bolivian lithium batteries. Sustainability and energy innovation.,https://mobi.bo,2020,https://latamlist.com/startup-ecosystem-in-bolivia/
Ecocycle Biotech,EC,Agtech,Agricultural biotech startup focused on bioinputs and native microorganisms adapted to Ecuador's agro-ecology. Rhizobacteria inoculants and mycorrhizal fungi.,https://www.ecbiotech.com,2021,https://biologicalslatam.com/ecocycle-biotech-ecuador/
BioHack UIO,EC,Biotech,First community biotechnology lab in Ecuador (founded 2020). Democratizes biotech through hands-on education and lab access. Registered as S.A.S. in 2024.,https://www.biohack.ec,2020,https://sphere.diybio.org/labs/biohackuio/
AWÁ Nutrition,EC,Food Biotech,Plant-based proteins and oils from native Sacha Inchi crop. Omega-3/6 superfood from Amazon region.,https://www.awa-nutrition.com,2017,https://eatableadventures.com/blog/cuidando-el-pulmon-del-mundo-10-proyectos-de-innovacion-para-proteger-la-amazonia/
SilicoChem,EC,Biotech,UTPL university spinout. Produces omega-3 fatty acids through genetically modified Saccharomyces cerevisiae.,https://www.silichem.ec,2015,https://coresignal.com/discover/biotech/ecuador/
Agroscan,EC,Agtech,Drone-based multispectral imaging and AI vision for crop health monitoring. Detects disease outbreaks and water stress in banana and flower plantations.,https://agroscan.ec,2021,https://www.nucamp.co/blog/coding-bootcamp-ecuador-ecu-inside-ecuadors-thriving-tech-hub-startups-and-success-stories
metaBIX Biotech,EC,Biotech,AI and field data software predicting and treating plant/animal/human diseases. Operates in Argentina Ecuador and Uruguay since 2022.,https://www.metabix.bio,2022,https://coresignal.com/discover/biotech/ecuador/
GMSacha Inchi,EC,Food Biotech,Only company transforming Sacha Inchi into snacks powders and beverages. Native Amazon crop with Omega-3/6/9 and complete vegan protein.,https://gmsachainchi.com,2018,https://myfox8.com/business/press-releases/ein-presswire/655333100/gmsacha-inchi-qedn-update-on-the-food-tech-latam-nestle-program-letter-of-interest-sent-to-unodc-koika/
Biogenesis Bago,EC,Biotech,Animal health and nutrition biotech company operating in Ecuador with regional presence.,https://www.biogenesisbago.com,2005,https://aeroleads.com/list/top-biotechnology-companies-in-ecuador
Bioceres,EC,Biotech,Develops genetically modified crops resistant to pests and drought. Sustainability focused.,https://www.bioceres.com.ar,2003,https://aeroleads.com/list/top-biotechnology-companies-in-ecuador
Agrigenetic Ecuador,EC,Agtech,Agricultural genetics and genomics startup focused on crop improvement and innovation.,https://www.linkedin.com/company/agrigenetic-ecuador,2019,https://www.linkedin.com/company/agrigenetic-ecuador
SUMISAWA,EC,Indigenous Food,Indigenous-led Amazonian association. Fish farming animal husbandry and wild species preservation. Food sovereignty and biodiversity focus.,https://sumisawa.ec,2015,https://publications.iadb.org/publications/english/document/Amazonia-Bioeconomy-Country-Profiles.pdf
Patagon AI,EC,Food/Agtech,Ecuadorian AI startup founded 2024. Closed $2.7M seed round Nov 2025. Data-driven analytics potentially for agtech applications.,https://patagon-ai.com,2024,https://dealroom.co/countries/ecuador/
MinerBA,EC,Agtech,Data-driven industrial analytics for Ecuador's southern industrial corridor. Potentially includes agtech analytics.,https://minerba.ec,2021,https://www.nucamp.co/blog/coding-bootcamp-ecuador-ecu-top-10-startups-that-tech-professionals-should-watch-out-for-in-2025
Kamina,EC,Fintech,Fintech startup closed $3.2M pre-seed in 2024. Founded 2023. Early-stage innovation in financial services.,https://kamina.ec,2023,https://dealroom.co/countries/ecuador/
Revoluciona Tu Precio,EC,Edtech,Educational startup incubated by Kruger Labs focused on student assessment and learning.,https://revolucionatupu.ec,2019,https://gust.com/companies/cuestionarix-3
