startup_id,startup_name,founded_year,source_url,notes
tech,@Tech,,,
ages,AGES,,,
agrotools,AGROTOOLS,,,
apexzymes,APEXzymes,,,
avatar_medtech,AVaTAR MedTech,,,
aegro,Aegro,,,
agree,Agree,,,
agricapital,Agricapital,,,
agrired,Agrired,,,
agrivalle,Agrivalle,,,
agroforte,Agroforte,,,
agrofy,Agrofy,,,
agrojusto,Agrojusto,,,
agrolend,Agrolend,,,
agrosmart,Agrosmart,,,
agrotoken,Agrotoken,,,
agrourbana,Agrourbana,,,
algalife,Algalife,,,
alkemio,Alkemio,,,
alytix,Alytix,,,
amplify-dynamics,Amplify Dynamics,,,
antarka,Antarka,,,
apasomics,Apasomics,,,
aplife_biotech,Aplife Biotech,,,
aquit,Aquit,,,
arado,Arado,,,
arakion,Arakion,,,
arcomed,Arcomed,,,
ardan,Ardan,,,
argentag,ArgenTAG,,,
arqlite,Arqlite,,,
asclepii,Asclepii,,,
auravant,Auravant,,,
autem-medical,Autem Medical,,,
ayuvant,Ayuvant,,,
beam_croptech,BEAM CropTech,,,
bug_agentes_biologicos,BUG Agentes Biologicos,,,
beeflow,Beeflow,,,
bemagro,BemAgro,,,
bioblends,BioBlends,,,
biocle,BioCl,,,
biometallum,BioMetallum,,,
bioplaster_research,BioPlaster Research,,,
bioplaster_research_inc,BioPlaster Research Inc,,,
biosynaptica,BioSynaptica,,,
biodiversity_intelligence,Biodiversity Intelligence,,,
bioeutectics,Bioeutectics,,,
bioheuris,Bioheuris,,,
biolinker,Biolinker Synthetic Biology,,,
biomakers,Biomakers,,,
biomas,Biomas,,,
bioplastix,Bioplastix,,,
bioseek,Bioseek,,,
biotalife,Biotalife,,,
bitgenia,Bitgenia,,,
bleps_vision,Bleps Vision,,,
blooms,Blooms,,,
botanical-solutions,Botanical Solutions,,,
brain_ag,Brain.ag,,,
branch_energy,Branch Energy,,,
break_pet,BreakPET,,,
bsafe_biotech,Bsafe Biotech,,,
bybug,ByBug,,,
circclo,CIRCCLO,,,
calfix,Calfix,,,
calice,Calice,,,
caligenia,Caligenia,,,
carbonext,Carbonext,,,
caspr_biotech,Caspr Biotech,,,
cell_farm,Cell Farm,,,
cellco,CellCo,,,
cellrep,CellRep,,,
cellargen_biotech,Cellargen Biotech,,,
cellva,Cellva,,,
