"startup_id","startup_name","scope_decision","scope_status","macro_theme","emergent_theme","review_status","data_quality_score_10","quality_band","startup_website","startup_description","candidate_source_url","candidate_description","candidate_source_type","candidate_import_status","candidate_review_note"
"123seguro","123Seguro","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6.0","fragile","","","","","gemini_compiled_external","empty",""
"abastra","AbAstra","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"aerialoop","Aerialoop","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"alkemio","Alkemio","include","provisional","climate, energy and resource systems","critical materials and resource systems","seeded","8.0","medium","","","","","gemini_compiled_external","empty",""
"aloi","Aloi","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.5","medium","","","","","gemini_compiled_external","empty",""
"altscore","Altscore","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6.0","fragile","","","","","gemini_compiled_external","empty",""
"alytix","Alytix","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","seeded","7.5","medium","","","","","gemini_compiled_external","empty",""
"amaro","Amaro","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6.0","fragile","","","","","gemini_compiled_external","empty",""
"antarka","Antarka","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"aquit","Aquit","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6.0","fragile","","","","","gemini_compiled_external","empty",""
"arcomed","Arcomed","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"ardan","Ardan","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://ardan.bio","Plataforma de biotecnoloxía para o descubrimento de fármacos.","https://ardan.bio","Plataforma de biotecnoloxía para o descubrimento de fármacos.","gemini_compiled_external","ready_for_review",""
"barte","Barte","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6.0","fragile","https://barte.com.br","Plataforma B2B para o comercio de pagos e crédito en Brasil.","https://barte.com.br","Plataforma B2B para o comercio de pagos e crédito en Brasil.","gemini_compiled_external","ready_for_review",""
"blerify","Blerify","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.5","medium","https://blerify.com","Solucións de identidade dixital e credenciais verificables con blockchain.","https://blerify.com","Solucións de identidade dixital e credenciais verificables con blockchain.","gemini_compiled_external","ready_for_review",""
"branch_energy","Branch Energy","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"calfix","Calfix","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://calfix.com","Software de xestión e automatización para procesos industriais.","https://calfix.com","Software de xestión e automatización para procesos industriais.","gemini_compiled_external","ready_for_review",""
"capim","Capim","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://capim.com.br","Fintech que ofrece solucións de pago e crédito para clínicas de saúde.","https://capim.com.br","Fintech que ofrece solucións de pago e crédito para clínicas de saúde.","gemini_compiled_external","ready_for_review",""
"cargo_sapiens","Cargo Sapiens","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8.0","medium","https://cargosapiens.com","Plataforma loxística para a optimización do transporte de carga.","https://cargosapiens.com","Plataforma loxística para a optimización do transporte de carga.","gemini_compiled_external","ready_for_review",""
"cell_farm","Cell Farm","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.5","high","https://cellfarm.co","Primeira startup de agricultura celular en América Latina (carne cultivada).","https://cellfarm.co","Primeira startup de agricultura celular en América Latina (carne cultivada).","gemini_compiled_external","ready_for_review",""
"centralo","Centralo","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://centralo.com","Marketplace B2B que conecta provedores con comercios de proximidade.","https://centralo.com","Marketplace B2B que conecta provedores con comercios de proximidade.","gemini_compiled_external","ready_for_review",""
"chemtest","Chemtest","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8.0","medium","https://chemtest.com.ar","Desenvolvemento de kits de diagnóstico rápido para enfermidades infecciosas.","https://chemtest.com.ar","Desenvolvemento de kits de diagnóstico rápido para enfermidades infecciosas.","gemini_compiled_external","ready_for_review",""
"circa_therapeutics","Circa Therapeutics","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","8.0","medium","https://circatherapeutics.com","Biotecnoloxía enfocada en terapias para trastornos do sistema nervioso.","https://circatherapeutics.com","Biotecnoloxía enfocada en terapias para trastornos do sistema nervioso.","gemini_compiled_external","ready_for_review",""
"circclo","CIRCCLO","include","provisional","climate, energy and resource systems","circular material systems","seeded","8.0","medium","https://circclo.com","Plataforma de economía circular para a xestión de residuos e reciclaxe.","https://circclo.com","Plataforma de economía circular para a xestión de residuos e reciclaxe.","gemini_compiled_external","ready_for_review",""
"circular","Circular","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8.0","medium","https://circular.com","Rede social profesional e plataforma de recrutamento técnico.","https://circular.com","Rede social profesional e plataforma de recrutamento técnico.","gemini_compiled_external","ready_for_review",""
"clover","Clover","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8.0","medium","https://clover.com.ar","Solucións de software para a xestión eficiente de recursos humanos.","https://clover.com.ar","Solucións de software para a xestión eficiente de recursos humanos.","gemini_compiled_external","ready_for_review",""
"cobli","Cobli","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6.0","fragile","","","","","gemini_compiled_external","empty",""
"conciencia","Conciencia","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.0","medium","https://conciencia.education","Edtech enfocada no desenvolvemento de habilidades brandas e conciencia social.","https://conciencia.education","Edtech enfocada no desenvolvemento de habilidades brandas e conciencia social.","gemini_compiled_external","ready_for_review",""
"courageous_land","Courageous Land","include","provisional","climate, energy and resource systems","regenerative agroforestry and carbon systems","seeded","8.0","medium","https://courageousland.com","Agrotech dedicada á reforestación e sistemas agroforestais rexenerativos.","https://courageousland.com","Agrotech dedicada á reforestación e sistemas agroforestais rexenerativos.","gemini_compiled_external","ready_for_review",""
"crinsurance","CRInsurance","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8.0","medium","https://crinsurance.com.br","Insurtech especializada en seguros de crédito e garantías.","https://crinsurance.com.br","Insurtech especializada en seguros de crédito e garantías.","gemini_compiled_external","ready_for_review",""
"curseduca","Curseduca","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://curseduca.com","Plataforma de educación en liña con foco en formación profesional.","https://curseduca.com","Plataforma de educación en liña con foco en formación profesional.","gemini_compiled_external","ready_for_review",""
"cytbac","Cytbac","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://cytbac.com","Biotecnoloxía aplicada á saúde animal e seguridade alimentaria.","https://cytbac.com","Biotecnoloxía aplicada á saúde animal e seguridade alimentaria.","gemini_compiled_external","ready_for_review",""
"dymaxion_labs","Dymaxion Labs","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.0","medium","https://dymaxionlabs.com","Análise de imaxes de satélite mediante IA para infraestruturas e agricultura.","https://dymaxionlabs.com","Análise de imaxes de satélite mediante IA para infraestruturas e agricultura.","gemini_compiled_external","ready_for_review",""
"egg","Egg","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://eggeducation.com","Edtech de aprendizaxe colaborativo baseada en tecnoloxía propia.","https://eggeducation.com","Edtech de aprendizaxe colaborativo baseada en tecnoloxía propia.","gemini_compiled_external","ready_for_review",""
"endless","Endless","include","provisional","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","8.0","medium","https://endlessos.org","Tecnoloxía para facer a computación accesible en áreas con baixa conectividade.","https://endlessos.org","Tecnoloxía para facer a computación accesible en áreas con baixa conectividade.","gemini_compiled_external","ready_for_review",""
"eolo_pharma","Eolo Pharma","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8.0","medium","https://eolopharma.com","Desenvolvemento de novos fármacos para tratar enfermidades metabólicas e inflamatorias.","https://eolopharma.com","Desenvolvemento de novos fármacos para tratar enfermidades metabólicas e inflamatorias.","gemini_compiled_external","ready_for_review",""
"ergo_bioscience","Ergo Bioscience","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.0","medium","https://ergobioscience.com","Produción de proteínas animais en plantas mediante bioloxía sintética.","https://ergobioscience.com","Produción de proteínas animais en plantas mediante bioloxía sintética.","gemini_compiled_external","ready_for_review",""
"ethos","Ethos","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://ethos.com.br","Solucións de xestión ética e cumprimento normativo para empresas.","https://ethos.com.br","Solucións de xestión ética e cumprimento normativo para empresas.","gemini_compiled_external","ready_for_review",""
"eureka","Eureka","exclude","provisional","peripheral or underclassified ventures","unclassified / needs review resolved","seeded","8.0","medium","https://eureka.education","Plataforma educativa para a personalización da aprendizaxe.","https://eureka.education","Plataforma educativa para a personalización da aprendizaxe.","gemini_compiled_external","ready_for_review",""
"exactly","Exactly","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"facturama","Facturama","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"falcomm","Falcomm","exclude","provisional","frontier hardware and infrastructure systems","semiconductor efficiency systems","seeded","8.0","medium","","","","","gemini_compiled_external","empty",""
"flexza","Flexza","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.0","medium","https://flexza.com","Software de xestión para a optimización de procesos operativos.","https://flexza.com","Software de xestión para a optimización de procesos operativos.","gemini_compiled_external","ready_for_review",""
"fligoo","Fligoo","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.0","medium","","","","","gemini_compiled_external","empty",""
"frete_com","Frete Com","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","seeded","8.0","medium","","","","","gemini_compiled_external","empty",""
"frubana","Frubana","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"galtec","Galtec Life","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"gameet","Gameet","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://gameet.io","Plataforma para a organización e monetización de torneos de eSports.","https://gameet.io","Plataforma para a organización e monetización de torneos de eSports.","gemini_compiled_external","ready_for_review",""
"gbm","GBM","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://gbm.com","Servizos financeiros e tecnoloxía de investimento en México.","https://gbm.com","Servizos financeiros e tecnoloxía de investimento en México.","gemini_compiled_external","ready_for_review",""
"geoprot","Geoprot","include","provisional","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","8.0","medium","https://geoprot.bio","Biotecnoloxía para a protección de cultivos mediante proteínas naturais.","https://geoprot.bio","Biotecnoloxía para a protección de cultivos mediante proteínas naturais.","gemini_compiled_external","ready_for_review",""
"gigablue","Gigablue","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.0","medium","https://gigablue.io","Tecnoloxía oceánica para a captura de carbono e restauración mariña.","https://gigablue.io","Tecnoloxía oceánica para a captura de carbono e restauración mariña.","gemini_compiled_external","ready_for_review",""
"glycox","GlycoX","include","provisional","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","8.0","medium","","","","","gemini_compiled_external","empty",""
"grandata","Grandata","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","https://grandata.com","Análise de Big Data para comprender o comportamento dos consumidores.","https://grandata.com","Análise de Big Data para comprender o comportamento dos consumidores.","gemini_compiled_external","ready_for_review",""
"hiamet_s_a","HIAMET","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.5","high","https://hiamet.com","Desenvolvemento de dispositivos médicos e tecnoloxía para a saúde.","https://hiamet.com","Desenvolvemento de dispositivos médicos e tecnoloxía para a saúde.","gemini_compiled_external","ready_for_review",""
"houm","Houm","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.0","medium","","","","","gemini_compiled_external","empty",""
"huiro","Huiro","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8.5","high","","","","","gemini_compiled_external","empty",""
