"startup_name","master_id","master_scope","master_theme","master_source_url","atlas_layer","atlas_category","atlas_score","atlas_evidence","atlas_confidence","atlas_source_url"
"Agricapital","agricapital","include","climate, energy and resource systems","https://theyieldlablatam.com/companies/agricapital/","Enabling infrastructure","Agrifintech / smallholder credit","0","B","0.7","https://theyieldlablatam.com/portfolio/"
"Agrolend","agrolend","include","climate, energy and resource systems","https://spventures.com.br/portfolio/agrolend/","Enabling infrastructure","Agrifintech","0","B","0.68","https://spventures.com.br/portfolio/"
"Agrosmart","agrosmart","include","precision agriculture and resource intelligence","https://spventures.com.br/portfolio/agrosmart/","Enabling infrastructure","Climate intelligence / irrigation","0","A","0.84","https://spventures.com.br/portfolio/ | https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america"
"algaebio+","algaebio","include","food biotech and novel ingredients","https://algaebioplus.com/","Core bio-based","Microalgae / bioingredients","3","B","0.72","https://www.gridexponential.com/portfolio"
"Alkemio","alkemio","include","climate, energy and resource systems","https://alkemio.tech/","Core bio-adjacent","Critical minerals / molecular separation","2","B","0.68","https://www.gridexponential.com/portfolio"
"APEXzymes","apexzymes","include","biomanufacturing and bioindustrial platforms","https://apexzymes.com/","Core bio-based","Enzymes / industrial biocatalysis","3","B","0.78","https://www.gridexponential.com/portfolio"
"AQUIT","aquit","include","ag biologicals and crop resilience","https://www.f6s.com/company/aquit","Core bio-based","Aquaculture biotech","3","B","0.78","https://www.gridexponential.com/portfolio"
"Arakion","arakion","include","ag biologicals and crop resilience","https://www.gridexponential.com/portfolio","Core bio-based","Biopesticides / protein design","3","B","0.78","https://www.gridexponential.com/portfolio"
"Auravant","auravant","include","precision agriculture and resource intelligence","https://www.auravant.com/en/about-us/","Enabling infrastructure","Farm management SaaS","0","B","0.76","https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america"
"BEAM CropTech","beam_croptech","include","ag biologicals and crop resilience","https://beamcroptech.com/en/home-en/","Bio-centric / regenerative","Photobiology / crop resilience","2","B","0.76","https://sf500.com.ar/es/inicio/"
"Beeflow","beeflow","include","ag biologicals and crop resilience","https://www.beeflow.com/about-us","Bio-centric / regenerative","Pollination / ecosystem services","2","B","0.88","https://www.gridexponential.com/portfolio | https://theyieldlablatam.com/portfolio/"
"BemAgro","bemagro","include","precision agriculture and resource intelligence","https://theyieldlablatam.com/pt-br/companies/bemagro/","Enabling infrastructure","Precision agriculture / field intelligence","0","B","0.82","https://theyieldlablatam.com/portfolio/ | https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america"
"BioBlends","bioblends","include","food biotech and novel ingredients","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends","Core bio-based","Food shelf-life / biopreservatives","3","B","0.75","https://www.gridexponential.com/portfolio"
"Biodiversity Intelligence","biodiversity_intelligence","include","climate, energy and resource systems","https://www.gridexponential.com/portfolio","Bio-centric / regenerative","Biodiversity MRV / nature intelligence","1","B","0.82","https://www.gridexponential.com/portfolio"
"Bioeutectics","bioeutectics","include","biobased chemistry and advanced materials","https://www.bioeutectics.com/","Core bio-based","Biochemicals / green solvents","3","B","0.88","https://www.gridexponential.com/portfolio"
"BioMetallum","biometallum","include","climate, energy and resource systems","https://bio-metallum.com/","Core bio-based","Biomining / sustainable mining","2","B","0.72","https://sf500.com.ar/es/inicio/"
"Bioplastix","bioplastix","include","biobased chemistry and advanced materials","https://bio-plastix.com/","Core bio-based","Bioplastics / microbial production","3","B","0.86","https://www.gridexponential.com/portfolio"
"Blooms","blooms","include","climate, energy and resource systems","https://theyieldlablatam.com/companies/blooms/","Enabling infrastructure","Agrifintech / exporters","0","B","0.72","https://theyieldlablatam.com/portfolio/ | https://spventures.com.br/portfolio/"
"BreakPET","break_pet","include","biobased chemistry and advanced materials","https://www.gridexponential.com/portfolio","Core bio-based","Enzymatic recycling","3","B","0.86","https://www.gridexponential.com/portfolio"
"Bsafe Biotech","bsafe_biotech","include","ag biologicals and crop resilience","https://www.bsafebiotech.com/","Core bio-based","RNAi crop/animal protection","3","B","0.8","https://www.gridexponential.com/portfolio"
"Calfix","calfix","include","biobased chemistry and advanced materials","https://www.linkedin.com/company/calfix-bio","Core bio-based","Bio-cement / construction materials","3","B","0.72","https://www.gridexponential.com/portfolio"
"Caligenia","caligenia","include","ag biologicals and crop resilience","https://www.gridexponential.com/portfolio","Core bio-based","Waste-to-value / biofertilizer","3","B","0.84","https://www.gridexponential.com/portfolio"
"CerradoX","cerradox","include","precision agriculture and resource intelligence","https://theyieldlablatam.com/companies/cerradox/","Enabling infrastructure","AI agriculture platform","0","B","0.7","https://theyieldlablatam.com/portfolio/"
"Courageous Land","courageous_land","include","climate, energy and resource systems","https://courageousland.com","Bio-centric / regenerative","Agroforestry / carbon removal","1","B","0.82","https://theyieldlablatam.com/portfolio/"
"Culttivo","culttivo","include","climate, energy and resource systems","https://theyieldlablatam.com/companies/culttivo/","Enabling infrastructure","Agrifintech / coffee","0","B","0.7","https://theyieldlablatam.com/portfolio/"
"CyanoMin","cyanomin","include","climate, energy and resource systems","https://www.gridexponential.com/portfolio","Core bio-based","Bioremediation / mining","3","B","0.82","https://www.gridexponential.com/portfolio"
"Done Properly","done_properly","include","food biotech and novel ingredients","https://www.doneproperly.co/","Core bio-adjacent","Foodtech / fermentation","2","C","0.56","https://www.glocalmanagers.com/pt/startups-2/"
"Einsted","einsted","include","climate, energy and resource systems","https://einsted.bio/","Core bio-adjacent","Carbon conversion / clean energy","1","C","0.58","https://www.gridexponential.com/portfolio"
