startup_id,startup_name,country,region,sector,primary_focus,founding_year,funding_status,latest_funding_amount,funding_currency,web_source_url,source_type,discovery_date,scope_basis,notes
puna_bio,Puna Bio,Argentina,LATAM,agtech_biologicals,soil_health_extremophiles,2020,Series A,Series A - Corteva led,USD,https://www.puna.bio/en,web_research_2026,2026-06-13,web_research_2026,Extremophile microorganisms from La Puna for soil regeneration; 10-15% yield improvement; seed treatment reduces nitrogen fertilizer by 20%
bioceres,Bioceres Crop Solutions,Argentina,LATAM,agricultural_biotech,GMO_crops_drought_resistant_wheat,2001,Commercialized,N/A,USD,https://www.bioceres.com.ar,web_research_2026,2026-06-13,web_research_2026,HB4 wheat technology - drought and glufosinate tolerant; FDA approved; commercialized in Argentina Brazil Paraguay
arakion,Arakion,Argentina,LATAM,agricultural_biotech,bioinsecticides_arachnid_venom,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Bioinsecticides based on arachnid venom peptides for crop protection
biocl,BioCl,Argentina,LATAM,therapeutics,digestive_health_delivery,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Bacterial vesicles for microbiome-based digestive health delivery
biodiversity_intelligence,Biodiversity Intelligence,Argentina,LATAM,nature_monitoring,biodiversity_measurement_edna,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Environmental DNA and satellite analytics for biodiversity monitoring and nature intelligence
break_pet,BreakPET,Argentina,LATAM,biobased_materials,enzymatic_plastics_circularity,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Enzymatic PET recycling using engineered enzymes for circular materials
dogma_biotech,Dogma Biotech,Colombia,LATAM,therapeutics,glyco_engineered_therapeutics,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,AI-discovered sugars for glyco-optimized therapeutics
embryoxite,Embryoxite,Argentina,LATAM,medtech_diagnostics,IVF_diagnostics_embryo_screening,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Non-invasive embryo diagnostics for IVF outcomes
enteria,Enteria,Argentina,LATAM,medtech_diagnostics,microbiota_diagnostics_gut_health,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Microbiota-based diagnostic tools for gut health assessment
food4you,Food4You,Argentina,LATAM,food_biotech,plant_based_food_enhancement,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Bacteria-enabled plant-based food quality enhancement
future_biome,Future Biome,Argentina,LATAM,food_biotech,fungi_prebiotics_microbiome,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Fungi-based precision prebiotics for microbiome function optimization
geoprot,Geoprot,Argentina,LATAM,computational_biology,protein_prediction_analysis,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Protein-function analysis and prediction platform for biotech R&D
gisens_biotech,Gisens Biotech,Argentina,LATAM,medtech_diagnostics,nanotech_portable_diagnostics,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Nanotechnology-based portable diagnostic sensors
invitrall,Invitrall,Argentina,LATAM,therapeutics,organ_models_drug_testing,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,In-vitro human organ models for drug testing and toxicology
lipock,Lipock,Argentina,LATAM,therapeutics,lipid_nanocapsule_formulation,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Lipid nanocapsule platform for volatile and hydrophobic actives delivery
microin,MicroIN,Argentina,LATAM,agricultural_biotech,microencapsulation_bioinputs,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Microencapsulation technology for bioinput delivery and stability
nanojump_bio,Nano Jump Bio,Argentina,LATAM,medtech_diagnostics,genetic_extraction_tools_portable,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Portable genetic material extraction tools for field diagnostics
new_organs_biotech,New Organs Biotech,Argentina,LATAM,therapeutics,gene_edited_regenerative_organs,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Gene-edited regenerative medicine for organ replacement and transplantation
pregen,PreGen,Argentina,LATAM,medtech_diagnostics,genomic_cancer_prognosis_tests,N/A,Seed,N/A,USD,https://www.linkedin.com/posts/grid-exponential_gridx-activity-7381742354665381888-Gp0R,web_research_2026,2026-06-13,web_research_2026,Affordable genomic cancer prognosis tests using AI and PCR-based diagnostics
radial,Radial,Argentina,LATAM,biomaterials,fungal_biomaterials_residue_valorization,N/A,Seed,N/A,USD,https://www.gridexponential.com/portfolio,web_research_2026,2026-06-13,web_research_2026,Fungal biomaterials from organic residues for sustainable packaging and materials
