"priority_rank_score","startup_name","current_theme","semantic_confidence","semantic_margin","data_quality_score_10","quality_band","review_status","source_type","source_url","curation_reasons","current_one_liner","current_summary","evidence_excerpt","suggested_action"
"694","NotFossil","therapeutics and regenerative bio","low","1.2","8.5","high","reviewed","official_portfolio_profile","https://sf500.com.ar/","low_semantic_confidence; fund_profile_needs_startup_source_check; summary_not_normalized_to_english","Microbial biofilters for hydrocarbon degradation.","NotFossil develops biofilters that use proprietary microorganisms to degrade hydrocarbons. The company is a clear biological remediation case: it applies microbial metabolism to reduce fossil contamination and recover environmental function. It belongs inside BIO VC LATAM as a bioremediation and planetary-boundary startup, not as ag intelligence or generic climate software.","SF500 portfolio describes biofilters development with proprietary microbes to degrade hydrocarbons.","verify cluster fit and enrich description with technology, biology/materiality, market"
"714","Heartbest","agri intelligence and traceable markets","low","0.5","8.5","high","reviewed","official_portfolio_profile","https://theyieldlablatam.com/companies/heartbest/","low_semantic_confidence; fund_profile_needs_startup_source_check","Plant-based dairy foodtech.","Heartbest is a Mexican foodtech company producing plant-based dairy alternatives such as cheese, milk and spreads. Its products are built directly from plants to offer healthier and more sustainable alternatives to animal dairy systems. It belongs inside BIO VC LATAM as food transition infrastructure: not deep biotech, but a material shift from livestock-based dairy to biobased consumer food systems.","The Yield Lab Latam portfolio describes Heartbest as producing plant-based dairy products built directly from plants for a healthier and more sustainable food system.","verify cluster fit and enrich description with technology, biology/materiality, market"
"714","Agroforte","agri intelligence and traceable markets","low","1.2","8.5","high","reviewed","official_portfolio_profile","https://theyieldlablatam.com/companies/agroforte/","low_semantic_confidence; fund_profile_needs_startup_source_check","Animal production financial infrastructure.","Brazilian rural-finance platform building a digital bank for small and medium poultry, pork and dairy producers. It uses historical production data from integrated animal-protein systems to manage credit risk and finance infrastructure and operational improvements. It remains an edge include because the mechanism is fintech, but the use case is tightly coupled to animal health, welfare, supply-chain resilience and livestock production.","The Yield Lab Latam portfolio describes a digital bank for poultry, pork and dairy producers using historical production data to manage credit risk and finance infrastructure and operational improvements that strengthen supply chains and animal welfare.","verify cluster fit and enrich description with technology, biology/materiality, market"
"714","Inprenha","agri intelligence and traceable markets","low","3.3","8","medium","reviewed","official_portfolio_profile","https://www.spventures.com.br/","low_semantic_confidence; fund_profile_needs_startup_source_check","Protein-based animal reproduction biotech.","Brazilian animal-reproduction biotechnology company developing a protein-based technology intended to increase pregnancy rates in mammals. The available source is still a fund portfolio signal rather than a detailed company website, but the mechanism and market are clearly biological: fertility, livestock reproduction and animal productivity. It belongs inside BIO VC LATAM as animal biotech for reproductive efficiency in living production systems.","SP Ventures legacy portfolio describes development of a protein that increases the pregnancy rate in mammals in an unprecedented way.","verify cluster fit and enrich description with technology, biology/materiality, market"
"729","Calice","grain traceability and producer infrastructure","low","0.2","8","medium","reviewed","official_website","https://calice.ai/eng/","low_semantic_confidence; summary_not_normalized_to_english","Agronomic simulation and product-placement platform.","Agtech que modela interacciones entre genética, ambiente y manejo para ejecutar millones de ensayos virtuales y ubicar mejor semillas, biológicos e insumos. Entra en tesis por precision agriculture and resource intelligence.","Official site describes millions of virtual trials, environmental fingerprints and product placement optimization for seeds, biological inputs and fertilizers.","verify cluster fit and enrich description with technology, biology/materiality, market"
"729","LogShare","ag biologicals and crop resilience","low","1.2","8.5","high","reviewed","official_website","https://www.logshare.com.br/embarcadores?lang=en","low_semantic_confidence; summary_not_normalized_to_english","Collaborative freight-sharing and logistics efficiency platform.","Plataforma de logistica colaborativa que comparte capacidad ociosa en rutas de carga para reducir viajes vacios, costos y emisiones, con trazabilidad y monitoreo ambiental. Entra como caso borde climate-material por su acople directo a transporte de cargas y reduccion de combustibles fosiles.","Official site describes collaborative freight sharing, route coordination, CO2 reduction, monitoring and traceability for cargo transportation and return freight.","verify cluster fit and enrich description with technology, biology/materiality, market"
"729","SeedMatriz","grain traceability and producer infrastructure","low","2.2","9","high","reviewed","official_website","https://seedmatriz.com/en/","low_semantic_confidence; summary_not_normalized_to_english","Seed encapsulation and agronomy platform.","Startup agtech que desarrolla tecnologia de encapsulacion de semillas y agronomia en tiempo real para mejorar uniformidad, nutricion, proteccion y rendimiento con menor impacto ambiental. Entra en tesis por ag biologicals and crop resilience.","Official site describes seed encapsulation technology that improves seed quality and enables added nutrition and protection with reduced environmental impact.","verify cluster fit and enrich description with technology, biology/materiality, market"
"729","Horus Aeronaves","food ingredients and biofactories","low","2.3","8","medium","reviewed","secondary_public_profile","https://www.lavca.org/sp-ventures-invests-r3m-in-horus-aeronaves-em-portugues/","low_semantic_confidence; summary_not_normalized_to_english","Agricultural drone and aerial mapping platform.","Horus Aeronaves is a Brazilian drone and aerial-mapping startup developing UAVs and image-processing products for agriculture. Public investment coverage describes its focus on mapping farmland, generating agronomic imagery and expanding agriculture-oriented products. It belongs inside BIO VC LATAM as precision-ag remote-sensing infrastructure for crop monitoring and resource-efficient field decisions, though it remains an enabling digital hardware case rather than core biotech.","LAVCA reports SP Ventures invested in Brazilian drone startup Horus Aeronaves, which develops drones for aerial mapping and planned agriculture-oriented products.","verify cluster fit and enrich description with technology, biology/materiality, market"
"729","Agrojusto","agri intelligence and traceable markets","low","3.1","9","high","reviewed","official_website","https://agrojustoinc.com/","low_semantic_confidence; summary_not_normalized_to_english","Smallholder food-market infrastructure platform.","Plataforma de trazabilidad, digitalización territorial y acceso a mercado para pequeños productores y cadenas alimentarias. Entra en tesis por su acople fuerte a flujos materiales del sistema agroalimentario.","Official site describes technology solutions to improve market access for small producers, with traceability and territorial deployment in food systems.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","Splight","ag biologicals and crop resilience","low","0.6","9","high","reviewed","official_website","https://content.splight-ai.com/blog/ai-powered-grids-the-future-of-efficient-renewable-energy","low_semantic_confidence","AI for grid optimization and renewable energy integration.","Splight is a climate-tech company using AI to optimize electric grids, renewable-energy forecasting, DERMS, congestion management and grid resilience. It is outside narrow bio-based technology, but fits the planetary-boundary perimeter as clean-energy infrastructure. It should cluster with climate and resource intelligence, not agri intelligence or traceable markets.","Splight materials describe AI for renewable energy forecasting, DERMS, grid congestion reduction and resilience enhancement.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","Michroma","biomanufacturing and molecular platforms","low","0.9","9","high","reviewed","official_website","https://www.michroma.co/","low_semantic_confidence","Fungal precision-fermentation platform for natural ingredients.","Michroma is an Argentina/US food-biotech company creating next-generation natural ingredients using fungal synthetic biology and precision fermentation. Its platform engineers fungi as industrial biofactories to produce stable, vibrant natural colors, flavors and antioxidant ingredients; Red+ is positioned as a pH-stable, heat-resistant natural red colorant for multiple food categories. It belongs inside BIO VC LATAM as precision-fermented food ingredients and biomanufacturing infrastructure replacing petroleum- or crop-derived colorants.","Official site says Michroma creates natural ingredients with fungi, engineers high-performance industrial biofactories through bioinformatics and synthetic biology, and uses precision fermentation to produce scalable natural ingredients.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","BemAgro","resource recovery and remediation","low","2.1","8","medium","reviewed","official_website","https://www.bemagro.cloud/en/index.html","low_semantic_confidence","AI SaaS for high-resolution field intelligence.","BemAgro is a Brazilian smart-agriculture SaaS company using AI, drone imagery, machinery vectors and cloud geospatial processing across the crop cycle from planting to harvest. Its modules process field images, simulate planting-line scenarios, detect weeds, generate variable-rate management zones, restore crop rows, detect planting failures and count plants. It belongs inside BIO VC LATAM as precision-ag infrastructure for more productive and sustainable crop management.","Official site describes cloud SaaS modules for processing drone images and machinery vectors, AI planning, weed detection, variable-rate zones, row restoration, planting-failure detection and plant counting.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","MultiplAI Health","therapeutics and regenerative bio","low","2.2","8.5","high","reviewed","official_website","https://www.multiplaihealth.com/","low_semantic_confidence","RNA sequencing and AI screening for cardiovascular disease.","MultiplAI Health is an Argentina/UK preventive-medicine biotech using whole-blood RNA sequencing and AI to screen cardiovascular and other complex diseases remotely. The company positions its platform as a low-cost, blood-based transcriptomic test combined with machine learning for earlier risk detection and scalable preventive care. It belongs inside BIO VC LATAM as genomic diagnostics and precision-health infrastructure.","Official site describes whole-blood RNA sequencing plus AI screening for cardiovascular and other complex diseases.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","Nat4Bio","drug discovery and disease therapeutics","low","2.3","9","high","reviewed","official_website","https://www.nat4bio.com/","low_semantic_confidence","Natural zero-residue edible coatings for fresh fruit.","Nat4Bio is an Argentine food-protection biotech developing nature-inspired, cell-free biological formulations and edible coatings that extend fresh-produce shelf life and reduce post-harvest waste. Its pipeline uses native microorganisms, microbial biopolymers, natural antimicrobials and food-grade excipients to protect citrus, avocados, apples, pears and other crops. It should cluster with food biotech, post-harvest preservation, edible coatings and food-loss reduction.","Nat4Bio says it develops nature-inspired, cell-free biological formulations and food-grade coatings based on microbial biopolymers, natural antimicrobials and native microorganisms to protect fresh produce and reduce waste.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","Asclepii","therapeutics and regenerative bio","low","2.5","8","medium","reviewed","official_website","https://asclepii.com/","low_semantic_confidence","Regenerative wound-care matrix and nanosilver hydrogel platform.","Asclepii is a regenerative-medicine company developing wound-care technologies between basic bandages and complex cell therapies. Its Artemis tissue-regeneration matrix and Poseidon nanosilver hydrogel wound dressing are clinical wound-healing products for tissue repair, infection control and modern wound management. It is not a food-ingredient or cosmetic case; it should cluster with regenerative medicine, wound care, tissue repair and clinical biomaterials.","Official site describes Poseidon as an FDA-cleared nanosilver hydrogel wound dressing and positions Asclepii around regenerative medicine for modern wound care; legacy site describes Artemis as a scalable tissue-regeneration matrix.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","Outpost","therapeutics and regenerative bio","low","2.7","8","medium","reviewed","official_website","https://www.outpost.bio/","low_semantic_confidence","Closed-loop microbiome predictive-biology platform.","Outpost is a TechBio company making human microbiology computable by pairing wet-lab microbiology with machine learning and foundation-model style predictive systems. Its closed-loop engine is aimed at microbiome R&D, predictive medicine and biotech or consumer-health product development. It is not a clinical medical device or diagnostics product; it should cluster with computational biology, microbiome modeling, predictive biology and life-science software.","Official site describes a closed-loop engine pairing wet-lab biology with machine learning to make microbial ecosystems computable and enable predictive medicine.","verify cluster fit and enrich description with technology, biology/materiality, market"
"749","Sensix","ag biologicals and crop resilience","low","3.2","8","medium","reviewed","official_website","https://sensix.ag/","low_semantic_confidence","Decision agriculture and agronomic analytics platform.","Brazilian decision-agriculture platform combining agronomic data, remote sensing, soil analysis, productivity maps and AI to help farms prioritize actions and improve input efficiency. It belongs inside BIO VC LATAM as precision agriculture and resource-efficiency infrastructure.","Official site says Sensix transforms agricultural data into profitable decisions and offers FieldScan, soil, sensing, climate and variable-rate input tools.","verify cluster fit and enrich description with technology, biology/materiality, market"
"779","Zavia Bio","grain traceability and producer infrastructure","medium","7.6","9","high","reviewed","external_profile","https://www.f6s.com/company/zavia-bio","medium_semantic_confidence; weak_or_secondary_source; summary_not_normalized_to_english","Designer-protein biological inputs for crop resilience.","Zavia Bio is an Argentine ag-biotech startup developing biological agro-inputs for more resilient and sustainable agriculture. Public profiles describe designer proteins and peptides that activate natural plant mechanisms at very low concentrations, using synthetic biology, AI and fermentation to address problems conventional agrochemicals have not solved. It belongs inside BIO VC LATAM as ag biologicals and biomolecule-based crop-resilience infrastructure.","F6S describes Zavia Bio as developing novel biological agro-inputs using proteins and peptides designed with synbio and AI and produced by fermentation.","verify cluster fit and enrich description with technology, biology/materiality, market"
"779","CellCo","agri intelligence and traceable markets","medium","8.8","8","medium","reviewed","linkedin_company_profile","https://www.linkedin.com/company/the-cellco","medium_semantic_confidence; weak_or_secondary_source; summary_not_normalized_to_english","AI-enabled synthetic biology therapeutics company.","Startup therapeutics que combina biología sintética, IA y datos sintéticos para diseñar medicinas de nueva generación en dominios biológicos complejos y escasos en datos. Entra en tesis por therapeutics and regenerative medicine.","LinkedIn describes CellCo as a therapeutics company using synthetic biology and AI to create life-saving medicines, with a CellOS platform that generates synthetic data to model and engineer biology.","verify cluster fit and enrich description with technology, biology/materiality, market"
