entity_id,canonical_name,country,scope_decision,scope_status,recommendation,top_theme,top_conf,sec_theme,sec_conf,curator_decision,curator_theme,text_preview
examedi-cl,Examedi,CL,review,pending_review,revisar,Diagnostics & Health Access,0.571,Therapeutics,0.104,,,Medical diagnostics platform offering at-home lab testing. Raised Series A.
nagro-br,Nagro,BR,review,pending_review,revisar,Farm Intelligence,0.517,Nature & Ecosystem Tech,0.091,,,AgriFintech platform providing agricultural credit supply chain financing and digital financial products for Brazilian a
bioxiplas,Bioxiplas,CL,exclude,pending_curation,revisar,Food Systems & Alt Proteins,0.509,Biomaterials & Circular Economy,0.099,,,Biodegradable disposable uniforms for aquaculture and food industry. Not bio.
nanox_industrial_chemicals,Nanox (Industrial Chemicals),BR,exclude,pending_curation,revisar,Biomaterials & Circular Economy,0.507,Therapeutics,0.094,,,Nanostructure materials for industrial product performance enhancement. Not bio.
cobli,Cobli,BR,exclude,confirmed,revisar,Nature & Ecosystem Tech,0.476,Farm Intelligence,0.135,,,"Brazilian fleet-management and telematics platform that helps companies track vehicles, monitor driver behavior, reduce "
isobar-br,Isobar,BR,review,pending_review,revisar,Farm Intelligence,0.467,Bioinputs & Crop Resilience,0.127,,,Precision agriculture platform providing data analytics for coffee and sugarcane producers including microclimate monito
lupeon,Lupeon,BR,exclude,confirmed,revisar,Farm Intelligence,0.46,Diagnostics & Health Access,0.132,,,"Brazilian logistics SaaS for freight management, auditing and transportation-cost optimization. ai-data"
partanna,Partanna,BS,exclude,pending_curation,revisar,Biomaterials & Circular Economy,0.453,Therapeutics,0.137,,,Building materials company developing CO2-absorbing construction surfaces. Not bio.
cayena-br,Cayena,BR,review,pending_review,no_bio,Food Systems & Alt Proteins,0.444,Farm Intelligence,0.159,,,B2B food supplier platform connecting restaurants hotels and food service operators with suppliers. Series B $55M July 2
mabloc,Mabloc,BR,exclude,confirmed,no_bio,Therapeutics,0.44,Diagnostics & Health Access,0.212,,,Mabloc develops an AI-driven antibody discovery platform for therapeutic development. ai-data; therapeutics
gbm,GBM,MX,exclude,confirmed,no_bio,Farm Intelligence,0.425,Diagnostics & Health Access,0.124,,,"Plataforma mexicana de inversion, brokerage y wealth management. ai-data"
