entity_id,name,country,is_bio_actual,sugerido_auto,c1_foco_bio_especifico,c2_entendimiento_bio,c3_representacion_techbio,curador_tema,curador_is_bio,summary
tech,@Tech,BR,1,KEEP - TechBio (gate 3/3?),,,,,,"Agtech startup that uses AI, data science and IoT to optimize animal protein production and trace animals along the chain. It enters the thesis for its biocentr"
agrotools,AGROTOOLS,BR,0,Digital AgTech (eco-adjacent),,,,,,"AGROTOOLS is a Brazilian agribusiness intelligence platform connecting land, supply chains and corporate decision-making through geospatial data, risk analytics"
aegro,Aegro,BR,1,Digital AgTech (eco-adjacent),,,,,,"Brazilian farm-management platform integrating field planning, pest monitoring, input management, finance, fiscal operations and agriculture-system integrations"
agricapital,Agricapital,CO,0,Digital AgTech (eco-adjacent),,,,,,"AgriCapital is a Colombian agrifintech providing digital AgroCrédito for farmers, rural workers and agro-businesses through mobile workflows and a network of pa"
agrired,Agrired,AR,1,Digital AgTech (eco-adjacent),,,,,,"B2B infrastructure for the purchase, sale and logistics of seeds, fertilizers and agrochemicals between agricultural companies. It enters the thesis as a digita"
agroforte,Agroforte,BR,1,KEEP - TechBio (gate 3/3?),,,,,,"Brazilian rural-finance platform building a digital bank for small and medium poultry, pork and dairy producers. It uses historical production data from integra"
agrofy,Agrofy,AR,1,Digital AgTech (eco-adjacent),,,,,,"Argentine agribusiness marketplace and digital ecosystem connecting producers, manufacturers, suppliers, agfintech and media across Latin America"
agrolend,Agrolend,BR,0,KEEP - TechBio (gate 3/3?),,,,,,"Agrolend is a Brazilian agfintech focused on agricultural credit, receivables trading, data-driven risk analysis and monitoring for producers, investors and agr"
agronow-br,Agronow,BR,0,Digital AgTech (eco-adjacent),,,,,,"Agronow combines satellite imagery with proprietary AI to deliver farm-level crop monitoring every three days, projecting yields and harvest timing with 90%+ ac"
agrosmart,Agrosmart,BR,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Agrosmart is a Brazilian climate-smart agriculture platform providing climate, agronomic, irrigation and ESG intelligence for producers and agrifood corporation"
agrotoken,Agrotoken,AR,1,Digital AgTech (eco-adjacent),,,,,,"Infrastructure to tokenize grains and other agricultural assets, enabling payments, financing, collateral and traceability on real material assets. It enters th"
agrourbana,Agrourbana,CL,1,REVISAR,,,,,,Chilean vertical-farming company producing fresh leafy vegetables locally in controlled indoor hydroponic environments. Its Carmelo OS operating system manages 
arado,Arado,BR,1,REVISAR,,,,,,"Brazilian fresh-food platform connecting producers directly with urban buyers, improving producer economics and reducing food waste"
auravant,Auravant,AR,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Auravant provides precision-agriculture software that combines agronomic models, satellite imagery, georeferenced layers, operational records and traceability w"
bemagro,BemAgro,BR,1,BORDE - operacional/sensing (revisar modelo bio),,,,,,"BemAgro is a Brazilian precision-agriculture SaaS company using AI, drone imagery, machinery vectors and cloud geospatial processing to support crop management "
blooms,Blooms,MX,1,Digital AgTech (eco-adjacent),,,,,,"Blooms Capital is a trade-finance platform for Latin American fruit and vegetable exporters. It offers pre-export working capital, non-recourse cross-border fac"
brain_ag,Brain.ag,BR,0,Digital AgTech (eco-adjacent),,,,,,"Brain.ag is a Brazilian agribusiness data and risk-intelligence company specializing in credit, financial operations, ESG and socioenvironmental analysis for ru"
calice,Calice,AR,1,KEEP - TechBio (gate 3/3?),,,,,,"Calice is an Argentine agtech platform that models interactions between genotype, environment and management to run virtual agronomic trials and predict product"
calice-ai-ar,Calice AI,AR,0,KEEP - TechBio (gate 3/3?),,,,,,"Calice AI's NODES platform runs probabilistic G×E×M simulations to predict crop product performance across millions of virtual environments, letting seed, biolo"
cerradox,CerradoX,BR,1,REVISAR,,,,,,"Brazilian agricultural production platform turning idle or underused land into standardized, traceable, technology-monitored high-value crops, starting with ber"
codebreaker-bioscience-cl,Codebreaker Bioscience,CL,1,KEEP - TechBio (gate 3/3?),,,,,,Microbiome intelligence platform (Micro-ID) translating microbiome analysis into operational recommendations for aquaculture and agriculture. Winner of Startup 
cowmed-br,CowMed,BR,0,KEEP - TechBio (gate 3/3?),,,,,,"CowMed provides AI-powered wearable collar sensors and environmental monitors for Brazilian dairy herds, delivering real-time estrus detection, early disease al"
culttivo,Culttivo,BR,0,KEEP - TechBio (gate 3/3?),,,,,,"Culttivo is a Brazilian coffee-finance and risk-intelligence platform that uses satellite imagery, analytics and ESG or climate-risk signals to improve credit a"
deepagro,DeepAgro,AR,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"DeepAgro is an Argentina-born precision-agriculture company applying computer vision and AI to selective herbicide spraying, crop monitoring and agronomic data "
digifarmz-br,DigiFarmz,BR,0,REVISAR,,,,,,Brazilian AI-powered agronomic decision platform combining climate data soil research genetics and field data to provide smart crop recommendations for farmers 
dymaxion_labs,Dymaxion Labs,AR,0,BORDE - operacional/sensing (revisar modelo bio),,,,,,"Agtech startup that uses AI, data science and computer vision to scale agronomic processes, field trials and regional decisions in agriculture. Enter the thesis"
