startup_id,name,country,description,tech_focus,industry_sector,funding_stage,investors,source_found,confidence
agricultic-do,Agricultic,Dominican Republic,Agricultural technology company applying AI and sensors to crop development,AI sensors climate-smart agriculture,Agtech,Unknown,Unknown,Web search - no specific results for "Agricultic",0.2
agrigenetic-ecuador-ec,Agrigenetic Ecuador,Ecuador,Livestock genetics and veterinary products company founded 1990; imports frozen bovine semen and associated veterinary supplies,genetic material animal breeding,Animal Genetics,Established,Unknown,EMIS company profile,0.6
agritech-bolivia-bo,AgriTech Bolivia,Bolivia,Technology provider for local farmers addressing water shortages and soil degradation,precision agriculture digital divide R&D,Agtech,Early-stage,Unknown,Web search results,0.5
agro-logica-co,Agro-Logica,Colombia,Not found in web search results; general Colombian agtech ecosystem includes 45+ startups,Unknown,Agtech,Unknown,Unknown,Web search - no specific company found,0.1
agro360-do,Agro360,Dominican Republic,AI-powered IoT platform using wireless sensors and weather data to predict crop diseases and prevent pests; reduces fertilizer 55% and pesticides 67%,AI IoT sensors real-time monitoring machine learning,Agtech,Growth-stage,Unknown,MIT Technology Review Innovators Under 35 2020,0.85
agrobit-bolivia-operations-bo,Agrobit,Bolivia,Blockchain-enabled smartfarm platform for sustainable agriculture and traceability; manages 2M+ hectares,blockchain smart farming AI traceability satellite analytics,Agtech,Growth-stage (VC-backed),$3 million VC funding,Agrobit.ag,0.8
agrocontrol-gt,Agrocontrol,Guatemala,Not found in web search; VerdeXcelerate accelerator operates in Guatemala agtech space,Unknown,Agtech,Unknown,Unknown,Web search - no specific company found,0.1
agroguia-ve,Agroguía,Venezuela,GPS farming software maker mapping tractor paths and field terrain analysis; appears to be based in Spain not Venezuela,GPS software field mapping farming optimization,Agtech Software,Unknown,Unknown,Bloomberg 2014 article,0.4
aquabio-cl,AquaBio,Chile,Not specifically found; Chilean aquaculture biotech sector includes Aquit (antibiotics-free treatment) and IctioBiotic (oral biotherapeutics),Unknown,Aquaculture,Unknown,Unknown,Web search results show similar companies,0.3
aquabyte-cl,AquaByte,Chile,Machine learning platform for aquaculture using computer vision for lice detection biomass estimation and fish health monitoring,machine learning computer vision aquaculture health monitoring,Aquaculture,Growth-stage,$23.8 million (2 rounds),Costanoa Ventures NEA; operates in Norway US Chile,0.9
biiosmart-co,BiioSmart,Colombia,Biotechnology and pharmaceutical distribution company founded 2014; delivers medications including refrigerated items and personalized dropshipping,pharmaceutical distribution biotech molecules intelligent therapeutics,Pharma/Biotech,Established,Unknown,Crunchbase ZoomInfo,0.7
biocell-mx,BioCell,Mexico,BioCell Technology founded 1997 manufactures dietary ingredients and supplements; US-based not Mexico-specific startup,dietary ingredients supplements nutritional biotech,Supplements,Established,Unknown,LinkedIn BioCell Technology LLC,0.3
bioceres-ar,Bioceres,Argentina,Genetically modified seed developer (soybean wheat alfalfa) and agricultural inputs; NYSE-listed via SPAC; 270+ farmer shareholders,genetic engineering drought-tolerance HB4 seeds,Agricultural Biotech,Public company,SPAC IPO ~$450M valuation,NYSE listing,0.95
biodiverso-insumos-br,BioDiverso Insumos,Brazil,Not specifically found; Brazilian bioinsumos market growing 52% to $827M; sector includes biological controls and eco-friendly inputs,biological inputs biostimulants biopesticides,Agtech,Unknown,Unknown,Brazil biotech market research,0.3
biofactory-br,BioFactory,Brazil,Not specifically found; Brazil has Wolbito (mosquito biofactory for dengue control) and emerging biotech startups,Unknown,Biotech,Unknown,Unknown,Brazil biotech ecosystem research,0.2
biolife-innovations-bo,BioLife Innovations,Bolivia,Biotech startup launched 2018 developing biofertilizer (BioBoost™) and water purification product (BioDetox™); top 10 Bolivian startup,biofertilizer water purification eco-friendly biotechnology,Biotech,Early-stage,Unknown,Bolivia startup ranking 2024,0.8
biolinker-br,BioLinker,Brazil,Cell-free synthetic biology platform founded 2018 for discovery optimization and production of recombinant proteins for health agriculture cosmetics,synthetic biology cell-free recombinant protein engineering,Biotech,Growth-stage,FAPESP support,Crunchbase LinkedIn,0.85
biomar-cr,BioMar,Costa Rica,Aquaculture feed manufacturer joint venture with ACI; subsidiary of Danish BioMar Group with 16 global facilities,aquaculture fish feed production,Animal Feed,Established subsidiary,BioMar Group,BioMar corporate,0.7
bioplast-br,BioPlast,Brazil,Not specifically found as startup; Brazilian bioplastics industry includes Braskem I'm green and Earth Renewable Technologies using sugarcane,bioplastics sugarcane-based biodegradable polymers,Materials,Industry players,Multiple,Brazil biopolymer market,0.3
