investor_id,investor_name,investor_type,country_code,website,thesis,preferred_stages,geography_focus,vertical_focus,ticket_min_usd,ticket_max_usd,lead_behavior,active_status,source_url,notes
GridX,GridX,company_builder,AR,https://www.gridexponential.com,Deeptech company builder and early-stage fund based in Buenos Aires accelerating biotech climate health and science-based ventures across Latin America. Manages GridX II fund backed by IDB Lab.,pre-seed;seed,AR;LATAM,biotech;agtech;healthtech;deeptech,,500000,lead,active,https://www.gridexponential.com/portfolio,GridX official portfolio page; IDB Lab confirmed LP in GridX II
The Ganesha Lab,The Ganesha Lab,accelerator,AR,https://www.theganeshalab.com,Argentine biotech and deeptech accelerator building the pipeline of science-based startups from universities and research institutes across Latin America. Focuses on pre-seed biotechnology translation.,pre-seed;seed,AR;LATAM,biotech;deeptech;healthtech,,200000,both,active,https://www.theganeshalab.com,The Ganesha Lab official site
AIR Capital,AIR Capital,vc,AR,,Argentine deeptech and science-based VC backing biotech agtech and health innovation ventures across Argentina and Latin America.,seed;series-a,AR;LATAM,biotech;agtech;healthtech,200000,3000000,lead,active,https://www.linkedin.com/company/air-capital,AIR Capital LinkedIn profile — website not confirmed
sp_ventures,SP Ventures,vc,BR,https://spventures.com.br,Brazilian agtech and foodtech VC managing the AgVentures fund series focused on food agriculture and climate-resilient biotechnology in Latin America. Backed by IDB Lab IDB Invest and JICA.,seed;series-a;series-b,BR;LATAM,agtech;foodtech;biotech;climate,500000,10000000,lead,active,https://spventures.com.br/portfolio,SP Ventures official portfolio page
SF500,SF500,accelerator,AR,https://sf500.org,Argentine accelerator for science and deeptech startups from Latin American universities. Focuses on biotech agtech and health. Backed portfolio of 24+ LATAM science-based ventures.,pre-seed;seed,AR;LATAM,biotech;agtech;healthtech,,200000,both,active,https://sf500.org,SF500 official site
DraperCygnus,DraperCygnus,vc,AR,https://www.drapercygnus.com,Latin American deeptech VC with Argentine roots investing in science-based biotech agtech and innovation-driven ventures. Part of the Draper Venture Network.,seed;series-a,AR;LATAM,biotech;agtech;deeptech;healthtech,250000,3000000,lead,active,https://www.drapercygnus.com/portfolio,DraperCygnus official portfolio
CITES,CITES,vc,CL,https://cites-gss.com,Chilean deeptech VC backing biotech medtech and climate ventures with a scientific foundation. Active in university spinout investment across Latin America.,seed;series-a,CL;LATAM,biotech;medtech;climate;deeptech,300000,3000000,lead,active,https://cites-gss.com/en/portfolio/,CITES official portfolio page
kamay_ventures,Kamay Ventures,vc,AR,https://www.kamayventures.com,Argentine VC focused on biotech agtech and deep-science ventures building sustainable solutions for agriculture food systems and human health across Latin America.,seed;series-a,AR;LATAM,biotech;agtech;healthtech,200000,2000000,lead,active,https://www.kamayventures.com,Kamay Ventures official site
SOSV_IndieBio,SOSV IndieBio,accelerator,US,https://indiebio.co,IndieBio is SOSV's life sciences accelerator backing founders using biology to solve the greatest challenges in disease agriculture and climate. Program based in SF and NYC with global reach including LATAM.,pre-seed;seed,US;LATAM;global,biotech;healthtech;agtech;foodtech,250000,500000,lead,active,https://indiebio.co/portfolio,IndieBio official portfolio page
inventure,Inventure,vc,FI,https://www.inventure.fi,Finnish early-stage VC investing in science and technology startups across the Nordics and selectively in emerging markets including Latin America. Backs biotech agtech and healthtech founders.,pre-seed;seed;series-a,FI;LATAM;EU,deeptech;biotech;healthtech;agtech,300000,3000000,lead,active,https://www.inventure.fi/portfolio,Inventure official portfolio
Antom,Antom,accelerator,CR,https://antom.la,Costa Rican accelerator and early-stage investor backing biotech agtech and innovation-driven startups across Central America and Latin America. Runs structured acceleration programs with equity.,pre-seed;seed,CR;LATAM,biotech;agtech;cleantech,,200000,both,active,https://antom.la/portfolio-projects-en,Antom official portfolio page
the_yield_lab_latam,The Yield Lab LATAM,impact_fund,US,https://theyieldlablatam.com,Agrifoodtech impact VC focused on food agriculture and climate-resilient innovation in Latin America. Manages the Opportunity Fund backed by IDB Lab and GEF. Targets 30 agrifoodtech companies per fund.,seed;series-a,LATAM,agtech;foodtech;climate;sustainable-ag,500000,5000000,lead,active,https://theyieldlablatam.com/portfolio/,The Yield Lab LATAM official portfolio
DragonesVP,DragonesVP,vc,CR,https://www.dragones.vc,Central American and Latin American VC backing biotech agtech and science-based founders across Costa Rica and the broader LATAM region.,seed;series-a,CR;LATAM,biotech;agtech;healthtech,200000,2000000,lead,active,https://www.dragones.vc,DragonesVP official site
zentynel,Zentynel,vc,MX,https://zentynel.com,Mexican VC supporting deeptech biotech and health innovation startups across Mexico and Latin America. Focus on science-based founders building scalable solutions.,seed;series-a,MX;LATAM,biotech;healthtech;deeptech,300000,3000000,lead,active,https://zentynel.com/en/portfolio/,Zentynel official portfolio page
glocal,GLOCAL,vc,AR,https://www.glocalfund.com,Argentine VC investing in science-based deeptech biotech and agtech ventures in Latin America. Backs founders at seed and series-A with follow-on capacity.,seed;series-a,AR;LATAM,biotech;agtech;deeptech,200000,2000000,lead,active,https://www.glocalfund.com,GLOCAL official site
chileglobal_ventures,ChileGlobal Ventures,vc,CL,https://chileglobalventures.cl,Chilean VC backed by Endeavor Chile supporting high-growth startups in agtech biotech and innovation-driven sectors across Chile and Latin America. Active portfolio of 20+ companies.,seed;series-a,CL;LATAM,agtech;biotech;healthtech,300000,3000000,both,active,https://chileglobalventures.cl/en/portfolio/,ChileGlobal Ventures official portfolio page
eatable_adventures,Eatable Adventures,accelerator,ES,https://eatableadventures.com,Spanish agrifood accelerator and investor specializing in food systems innovation alternative proteins fermentation and sustainable foodtech. Strong programming in Latin America through Spanish-language cohorts.,pre-seed;seed,ES;LATAM;EU,foodtech;agtech;alt-protein,100000,500000,both,active,https://eatableadventures.com/portfolio/,Eatable Adventures official portfolio
savia_ventures,Savia Ventures,vc,CL,https://saviaventures.com,Chilean VC focused on impact-driven agtech biotech and climate innovation. Backs science-based founders in sustainable agriculture food systems and environmental tech across Chile and Latin America.,seed;series-a,CL;LATAM,agtech;biotech;climate,300000,3000000,lead,active,https://saviaventures.com/,Savia Ventures official site
