startup_id,name,bio_theme,cluster_id,cluster_label,sub_cluster_label,severity,missing_critical,missing_recommended,curation_status,notes
agrion-agrisolutions-br,Agrion Agrisolutions,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
agro-logica-co,Agro-Logica,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
agrosustain-mx,AgroSustain,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
agronow-br,Agronow,Precision Agriculture,4,Precision Agriculture — Agronomic||agronomic · field · satellite · imagery,Crop Monitoring,medium,short_description,,pending,
aimirim-br,Aimirim,Biomanufacturing & Platform Technologies,9,Biomanufacturing & Platform Technologies — Bioindustrial||bioindustrial · microalgae · function · digital,Precision Fermentation,medium,short_description,,pending,
algenis-cl,Algenis,Food Systems & Alt Proteins,17,Food Systems & Alt Proteins — Microalgae||microalgae · alternative · meat · sustainability,Cultivated Meat,medium,short_description,,pending,
amnova-biotech-cl,Amnova Biotech,Therapeutics,12,Therapeutics — Regenerative Medicine||cardiac · tissue · regenerative medicine · transplantation,Cell Rejuvenation,medium,short_description,website,pending,
andes-biotechnologies-cl,Andes Biotechnologies,Therapeutics,16,Therapeutics — Cancer||cancer · pain · candidates · vaccines,Cancer Neurodegenerative,medium,short_description,,pending,
aptah-bio-br,Aptah Bio,Therapeutics,15,Therapeutics — Drug Discovery||drug discovery · therapeutics · cancer · patient,Cancer Neurodegenerative,medium,short_description,,pending,
aquabio-cl,AquaBio,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
aquabyte-cl,Aquabyte,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
ascribe-bio-br,Ascribe Bio,,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
atacama-biomaterials-cl,Atacama Biomaterials,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Packaging Materials,medium,short_description,,pending,
atarraya-mx,Atarraya,Food Systems & Alt Proteins,17,Food Systems & Alt Proteins — Microalgae||microalgae · alternative · meat · sustainability,Cultivated Meat,medium,short_description,,pending,
autem-therapeutics-br,Autem Therapeutics,Therapeutics,15,Therapeutics — Drug Discovery||drug discovery · therapeutics · cancer · patient,Cancer Neurodegenerative,medium,short_description,,pending,
avedian-ar,Avedian,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Digital Health & Medtech,medium,short_description,,pending,
ayni-desert-interaction-cl,Ayni Desert Interaction,Bioinputs & Crop Resilience,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,,high,funding_stage | computed_quality_score | tech_depth | short_description,website | founded_year,pending,
biiosmart-co,BIIOSMART,,16,Therapeutics — Cancer||cancer · pain · candidates · vaccines,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
biowit-mx,BIOWIT,,-1,,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
bioin-br,BIoIn,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
baxxis-medtech-cl,Baxxis Medtech,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Liquid Biopsy,medium,short_description,website,pending,
Bee Technology,Bee Technology,Food Systems & Alt Proteins,20,Food Systems & Alt Proteins — Reduce Antibiotic||founded · corfo · reduce antibiotic · bioinputs,Microbiological Proteins,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
beep-saude-br,Beep Saúde,Diagnostics & Devices,0,Diagnostics & Devices — Medtech||medtech · diagnosis · diagnostics · healthcare,Point-of-Care & Home Diagnostics,medium,short_description,,pending,
bio-insumos-nativa-cl,Bio Insumos Nativa,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Agricultural Inputs,medium,short_description,,pending,
biocell-mx,BioCell,,3,Mixed — Manufacturing Cell||center · manufacturing cell · bioplastics · kits,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
bioelements-cl,BioElements,Biomaterials & Green Chemistry,1,Biomaterials & Green Chemistry — Biodegradable||biodegradable · biomaterials · materials · leather,Packaging Materials,medium,short_description,,pending,
biofactory-br,BioFactory,,3,Mixed — Manufacturing Cell||center · manufacturing cell · bioplastics · kits,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
biofresh-br,BioFresh,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
biomar-cr,BioMar,,2,Mixed — Aquaculture||aquaculture · disease · seed · crop,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
bioplast-br,BioPlast,,3,Mixed — Manufacturing Cell||center · manufacturing cell · bioplastics · kits,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
bioproducts-co,BioProducts,,3,Mixed — Manufacturing Cell||center · manufacturing cell · bioplastics · kits,,high,funding_stage | computed_quality_score | tech_depth | short_description,founded_year,pending,
biocentis-br,Biocentis,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
bioceres-ar,Bioceres,,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,,high,funding_stage | computed_quality_score | tech_depth | short_description,,pending,
biofabrica-siglo-xxi-mx,Biofabrica Siglo XXI,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
biosidus-ar,Biosidus,Therapeutics,11,Therapeutics — Biosimilar||biosimilar · argentine · diseases · chronic,Biosimilar Monoclonal,medium,short_description,,pending,
biotrop-br,Biotrop,Bioinputs & Crop Resilience,6,Bioinputs & Crop Resilience — Crop Resilience||biologicals · crop resilience · bioinputs · pest,Crop Protection,medium,short_description,,pending,
