"startup_id","startup_name","scope_decision","macro_theme","emergent_theme","review_status","startup_website","startup_description","candidate_source_url","candidate_description","candidate_import_status"
"abastra","AbAstra","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","","","","","empty"
"aerialoop","Aerialoop","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","","","","","empty"
"alkemio","Alkemio","include","climate, energy and resource systems","critical materials and resource systems","seeded","","","","","empty"
"alytix","Alytix","include","therapeutics and regenerative medicine","therapeutic and regenerative biology","seeded","","","","","empty"
"arcomed","Arcomed","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","","","","","empty"
"branch_energy","Branch Energy","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","","","","","empty"
"cargo_sapiens","Cargo Sapiens","include","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://cargosapiens.com","Plataforma loxística para a optimización do transporte de carga.","https://cargosapiens.com","Plataforma loxística para a optimización do transporte de carga.","ready_for_review"
"cell_farm","Cell Farm","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://cellfarm.co","Primeira startup de agricultura celular en América Latina (carne cultivada).","https://cellfarm.co","Primeira startup de agricultura celular en América Latina (carne cultivada).","ready_for_review"
"chemtest","Chemtest","include","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","https://chemtest.com.ar","Desenvolvemento de kits de diagnóstico rápido para enfermidades infecciosas.","https://chemtest.com.ar","Desenvolvemento de kits de diagnóstico rápido para enfermidades infecciosas.","ready_for_review"
"circa_therapeutics","Circa Therapeutics","include","therapeutics and regenerative medicine","therapeutic and regenerative biology","taxonomy_stub","https://circatherapeutics.com","Biotecnoloxía enfocada en terapias para trastornos do sistema nervioso.","https://circatherapeutics.com","Biotecnoloxía enfocada en terapias para trastornos do sistema nervioso.","ready_for_review"
"circclo","CIRCCLO","include","climate, energy and resource systems","circular material systems","seeded","https://circclo.com","Plataforma de economía circular para a xestión de residuos e reciclaxe.","https://circclo.com","Plataforma de economía circular para a xestión de residuos e reciclaxe.","ready_for_review"
"circular","Circular","include","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://circular.com","Rede social profesional e plataforma de recrutamento técnico.","https://circular.com","Rede social profesional e plataforma de recrutamento técnico.","ready_for_review"
"clover","Clover","include","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://clover.com.ar","Solucións de software para a xestión eficiente de recursos humanos.","https://clover.com.ar","Solucións de software para a xestión eficiente de recursos humanos.","ready_for_review"
"conciencia","Conciencia","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://conciencia.education","Edtech enfocada no desenvolvemento de habilidades brandas e conciencia social.","https://conciencia.education","Edtech enfocada no desenvolvemento de habilidades brandas e conciencia social.","ready_for_review"
"courageous_land","Courageous Land","include","climate, energy and resource systems","regenerative agroforestry and carbon systems","seeded","https://courageousland.com","Agrotech dedicada á reforestación e sistemas agroforestais rexenerativos.","https://courageousland.com","Agrotech dedicada á reforestación e sistemas agroforestais rexenerativos.","ready_for_review"
"crinsurance","CRInsurance","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://crinsurance.com.br","Insurtech especializada en seguros de crédito e garantías.","https://crinsurance.com.br","Insurtech especializada en seguros de crédito e garantías.","ready_for_review"
"dymaxion_labs","Dymaxion Labs","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://dymaxionlabs.com","Análise de imaxes de satélite mediante IA para infraestruturas e agricultura.","https://dymaxionlabs.com","Análise de imaxes de satélite mediante IA para infraestruturas e agricultura.","ready_for_review"
"endless","Endless","include","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://endlessos.org","Tecnoloxía para facer a computación accesible en áreas con baixa conectividade.","https://endlessos.org","Tecnoloxía para facer a computación accesible en áreas con baixa conectividade.","ready_for_review"
"eolo_pharma","Eolo Pharma","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","https://eolopharma.com","Desenvolvemento de novos fármacos para tratar enfermidades metabólicas e inflamatorias.","https://eolopharma.com","Desenvolvemento de novos fármacos para tratar enfermidades metabólicas e inflamatorias.","ready_for_review"
"ergo_bioscience","Ergo Bioscience","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://ergobioscience.com","Produción de proteínas animais en plantas mediante bioloxía sintética.","https://ergobioscience.com","Produción de proteínas animais en plantas mediante bioloxía sintética.","ready_for_review"
"galtec","Galtec Life","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","","","","","empty"
"geoprot","Geoprot","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://geoprot.bio","Biotecnoloxía para a protección de cultivos mediante proteínas naturais.","https://geoprot.bio","Biotecnoloxía para a protección de cultivos mediante proteínas naturais.","ready_for_review"
"gigablue","Gigablue","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://gigablue.io","Tecnoloxía oceánica para a captura de carbono e restauración mariña.","https://gigablue.io","Tecnoloxía oceánica para a captura de carbono e restauración mariña.","ready_for_review"
"glycox","GlycoX","include","computational biology and scientific software","computational biology and life-science software","taxonomy_stub","","","","","empty"
"hiamet_s_a","HIAMET","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://hiamet.com","Desenvolvemento de dispositivos médicos e tecnoloxía para a saúde.","https://hiamet.com","Desenvolvemento de dispositivos médicos e tecnoloxía para a saúde.","ready_for_review"
"huiro","Huiro","include","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","","","","","empty"
"imvalv","Imvalv","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://imvalv.com","Dispositivos médicos innovadores para o tratamento do glaucoma.","https://imvalv.com","Dispositivos médicos innovadores para o tratamento do glaucoma.","ready_for_review"
"inbioar","Inbioar","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","","","","","empty"
"inner_cosmos","Inner Cosmos","include","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://innercosmos.io","Neurotecnoloxía (implantes dixitais) para o tratamento da depresión.","https://innercosmos.io","Neurotecnoloxía (implantes dixitais) para o tratamento da depresión.","ready_for_review"
"innova_space","Innova Space","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","https://innovaspace.com.ar","Desenvolvemento de picosatélites para conectividade IoT global.","https://innovaspace.com.ar","Desenvolvemento de picosatélites para conectividade IoT global.","ready_for_review"
"keclon","Keclon","include","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","","","","","empty"
"kigui","Kigüi","include","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","","","","","empty"
"laurus","Laurus","include","food biotech and novel ingredients","food transition ingredients and proteins","taxonomy_stub","https://laurus.bio","Biotecnoloxía para o desenvolvemento de novos ingredientes naturais.","https://laurus.bio","Biotecnoloxía para o desenvolvemento de novos ingredientes naturais.","ready_for_review"
"laurus_ag_tech","Laurus AG Tech","include","precision agriculture and resource intelligence","precision agriculture intelligence","taxonomy_stub","","","","","empty"
"lia_aeospace","LIA Aeospace","include","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","","","","","empty"
"logshare","LogShare","include","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://logshare.com.br","Plataforma colaborativa para optimizar o transporte loxístico compartido.","https://logshare.com.br","Plataforma colaborativa para optimizar o transporte loxístico compartido.","ready_for_review"
