"alias_id","entity_id","alias","alias_type","is_preferred","source_entity_id","merge_confidence","merge_reason"
"alias-eatable-adventures","eatable_adventures","Eatable Adventures","manual_external","1","eatable_adventures","0.99","Official investor name"
"alias-pampa-start","pampa_start","Pampa Start","manual_external","1","pampa_start","0.99","Official investor name"
"alias-zentynel","zentynel","Zentynel","manual_external","1","zentynel","0.99","Official investor name"
"alias-chileglobal-ventures","chileglobal_ventures","ChileGlobal Ventures","manual_external","1","chileglobal_ventures","0.99","Official investor name"
"alias-kptl","kptl","KPTL","manual_external","1","kptl","0.99","Official investor name"
"alias-positive-ventures","positive_ventures","Positive Ventures","manual_external","1","positive_ventures","0.99","Official investor name"
"alias-1200-vc","1200_vc","1200 VC","manual_external","1","1200_vc","0.99","Official investor name"
"alias-clivi","clivi","Clivi","manual_external","1","clivi","0.99","Official startup name"
"alias-gridx-grid-exponential","GridX","GridX / Grid Exponential","external_fund_map_alias","0","GridX / Grid Exponential","0.98","External fund map alias for existing GridX canonical investor"
"alias-grid-exponential","GridX","Grid Exponential","external_fund_map_alias","0","Grid Exponential","0.98","External fund map alias for existing GridX canonical investor"
"alias-pampa-start-vc","pampa_start","Pampa Start VC","external_fund_map_alias","0","Pampa Start VC","0.98","External fund map alias for existing Pampa Start canonical investor"
"alias-vx-fund-ventures","vx_fund","VX Ventures","external_fund_map_alias","0","VX Ventures","0.9","Potential alias between external fund map VX Ventures and existing VX Fund; review if separate CVC vehicle is confirmed"
"alias-araucaria-venture","araucaria_venture","Araucaria Venture","external_fund_map","1","Araucaria Venture","0.92","High-relevance external fund map entity"
"alias-dalus-capital","dalus_capital","Dalus Capital","external_fund_map","1","Dalus Capital","0.92","High-relevance external fund map entity"
"alias-invariantes-fund","invariantes_fund","Invariantes Fund","external_fund_map","1","Invariantes Fund","0.92","High-relevance external fund map entity"
"alias-salkantay-ventures","salkantay_ventures","Salkantay Ventures","external_fund_map","1","Salkantay Ventures","0.92","High-relevance external fund map entity"
"alias-veronorte","veronorte","Veronorte","external_fund_map","1","Veronorte","0.92","High-relevance external fund map entity"
"alias-vox-capital","vox_capital","Vox Capital","external_fund_map","1","Vox Capital","0.92","High-relevance external fund map entity"
"alias-newtopia-vc","newtopia_vc","Newtopia VC","external_fund_map","1","Newtopia VC","0.94","External fund map entity and official portfolio source"
"alias-newtopia","newtopia_vc","Newtopia","manual_external","0","Newtopia","0.94","Short alias for Newtopia VC"
"alias-startup-aplife-short","aplife_biotech","aplife","historical_startup_alias","0","aplife","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-arcomedlab","arcomed","arcomedLab","historical_startup_alias","0","arcomedLab","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-ardan-pharma","ardan","Ardan Pharma","historical_startup_alias","0","Ardan Pharma","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-avatar","avatar_medtech","AVaTAR","historical_startup_alias","0","AVaTAR","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-bee-technology","tech","Bee Technology","historical_startup_alias","0","Bee Technology","0.9","Resolve historical capital edge alias to canonical startup"
"alias-startup-caspr-short","caspr_biotech","caspr","historical_startup_alias","0","caspr","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-elytron-short","elytron_biotech","Elytron","historical_startup_alias","0","Elytron","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-hiamet-sa","HIAMET","hiamet_s_a","historical_startup_alias","0","hiamet_s_a","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-menta","menta_tickets","Menta","historical_startup_alias","0","Menta","0.9","Resolve historical capital edge alias to canonical startup"
"alias-startup-monte-caldera-short","monte-caldera-technology","monte_caldera","historical_startup_alias","0","monte_caldera","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-nano-jump-short","nanojump_bio","nano_jump","historical_startup_alias","0","nano_jump","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-nanogrow-short","nanogrow_biotech","Nanogrow","historical_startup_alias","0","Nanogrow","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-new-organs-short","new_organs_biotech","New Organs","historical_startup_alias","0","New Organs","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-scitherm-short","scitherm_therapeutics","Scitherm","historical_startup_alias","0","Scitherm","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-syocin-bio-short","syocin-biotech","syocin_bio","historical_startup_alias","0","syocin_bio","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-tomorrow-short","tomorrow_foods","tomorrow","historical_startup_alias","0","tomorrow","0.95","Resolve historical capital edge alias to canonical startup"
