"startup_name","current_theme","semantic_confidence","semantic_margin","current_words","target_words","quality_band","review_status","source_type","source_url","action_needed","rewrite_prompt","current_one_liner","current_summary","evidence_excerpt"
"Biodiversity Intelligence","climate and resource intelligence platforms","low","3.1","63","55-75 words","medium","reviewed","official_portfolio_profile","https://www.gridexponential.com/portfolio","clarify_semantic_fit; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Nature measurement and biodiversity reporting platform.","Biodiversity Intelligence is a nature-measurement and reporting startup that combines environmental DNA and satellite technology to monitor biodiversity and generate decision-grade nature intelligence. Its role is not generic software: it creates auditable data about ecosystems, land stewardship and biodiversity condition for organizations managing productive territories or conservation assets. It belongs inside BIO VC LATAM as planetary-boundary infrastructure for biodiversity monitoring and nature accountability.","GRIDX portfolio says Biodiversity Intelligence measures and reports nature with DNA and satellite tech."
"MIGMA","food ingredients and biofactories","low","3.3","63","55-75 words","medium","reviewed","linkedin_company_profile","https://ar.linkedin.com/company/migma-co","clarify_semantic_fit; replace_secondary_source_if_possible","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","AI-designed antioxidant systems for shelf-life extension.","Mendoza-based formulation company using AI, chemistry and R&D to design customized antioxidant systems that extend shelf life and reduce oxidation-related waste in food, animal nutrition, pet food and cosmetics. Its work is not core biotech, but it is materially linked to biological products and food-system efficiency. It belongs inside BIO VC LATAM as ingredient/formulation intelligence for waste reduction and product preservation.","LinkedIn describes MIGMA as using AI to discover synergistic antioxidant combinations and design tailored blends for food, animal nutrition and cosmetics."
"CerradoX","agri intelligence and traceable markets","low","0.2","57","55-75 words","medium","reviewed","official_website","https://cerradox.com/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Traceable high-value crop production platform.","Brazilian agricultural production platform turning idle or underused land into standardized, traceable, technology-monitored high-value crops, starting with berries and expanding toward cacao and avocado. It combines financing, technical assistance, agronomic monitoring, guaranteed purchase and buyer-side traceability. It belongs inside BIO VC LATAM as material agri-food infrastructure for crop production, land-use intensification, producer income and transparent supply chains.","CerradoX says it transforms idle land into berries through standardized, traceable and technology-monitored production, with financing, technical assistance, guaranteed purchase and real-time monitoring."
"Nanotica","ag biologicals and crop resilience","low","2.2","61","55-75 words","high","reviewed","official_website","https://nanotica.com.ar/en/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","In-field nanoencapsulation for agricultural inputs.","Nanotica is an Argentine agricultural nanotechnology company developing in-field nanoencapsulation systems for crop inputs. Its nanotizer machine and empty capsules let farmers nanoencapsulate agrochemicals at the moment of application, aiming to lower required doses, reduce pollution, improve delivery into plant tissues and increase farm economics. It belongs inside BIO VC LATAM as precision agricultural input-delivery infrastructure, not as a biological-input company.","Official site says Nanotica developed nanoencapsulation technology to lower agrochemical doses, reduce pollution and improve food safety, using a nanotizer machine and empty capsules for in-situ pesticide nanoencapsulation."
"metaBIX Biotech","agri intelligence and traceable markets","low","0","56","55-75 words","medium","reviewed","external_company_profile","https://mtec-sc.org/life-sciences/metabix-biotech","clarify_semantic_fit; replace_secondary_source_if_possible","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Environmental pathogen intelligence and bio-vigilance platform.","Uruguayan bio-vigilance company combining environmental sampling, biotechnology hardware and AI models to predict disease and microbiological contamination risks. Its platform analyzes environmental samples to generate early warnings for plants, animals, humans and food-production systems. It belongs inside BIO VC LATAM as a pathogen-intelligence and prevention layer for living production systems, animal protein, food safety and biosecurity.","MTEC describes metaBIX as using AI and biotechnology for disease prediction and early warning systems from environmental samples, with hardware, biotechnology and AI for infection-pressure assessment."
"Agrourbana","food ingredients and biofactories","low","1.1","58","55-75 words","medium","reviewed","official_website","https://www.agrourbana.ag/alta-agricultura","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Controlled-environment vertical farming for fresh produce.","Chilean vertical-farming company producing fresh leafy vegetables locally in controlled indoor hydroponic environments. Its Carmelo OS operating system manages climate and nutrition to grow pesticide-free produce year-round, close to demand, with 95 percent less water and 99 percent less soil than traditional cultivation. It belongs inside BIO VC LATAM as resource-efficient food production and urban biological supply-chain infrastructure.","AgroUrbana says its indoor hydroponic vertical farming grows local vegetables year-round, pesticide-free, with 95 percent less water and 99 percent less soil than traditional cultivation."
"Cryosmetics","climate and resource intelligence platforms","low","2.3","60","55-75 words","medium","reviewed","official_website","https://www.cryosmetics.com/piel-microbioma/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Natural microbiome-positive skincare.","Uruguayan biotechnology-driven skincare company developing 100 percent natural personal-care products designed to support skin health and microbiome diversity without synthetic preservatives or chemicals. Its scientific process studies natural raw materials and their effects on the skin microbiome. It belongs inside BIO VC LATAM as a biobased personal-care and microbiome-positive formulation company, though more peripheral than core therapeutics or industrial biotech.","Cryosmetics says it develops 100 percent natural products that promote skin microbiome diversity and studies natural raw materials to identify those that best support microbial growth."
"Sensify","climate and resource intelligence platforms","low","3.2","62","55-75 words","high","reviewed","official_website","https://www.sensify.com.ar/","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Smart refrigeration and cold-chain intelligence platform.","Sensify is an Argentine IoT and AI platform for commercial refrigeration and cold-chain operations in food and beverages. Its systems connect refrigeration assets, predict operating data and provide business insights to avoid cold-chain outages, reduce food losses, improve asset performance and lower energy use. It belongs inside BIO VC LATAM as food-system resource-efficiency infrastructure, a defensible edge case rather than core biotech.","Official site describes real-time connected refrigeration assets, algorithms that predict data, cold-chain monitoring and business insights to avoid outages in refrigerated foods."
"SpecLab","clinical diagnostics and medical devices","low","3.8","68","55-75 words","medium","reviewed","official_website","https://www.speclab.com.br/english.html","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","AI spectral analytics and laboratory digitization platform.","SpecLab is a Brazilian analytical-technology company using smart spectral fingerprinting, machine learning and chemometrics to digitize complex laboratory analyses with little or no sample preparation. Its platform combines NIR, Raman, X-ray fluorescence, LIBS, custom spectrometers and analytics software to estimate nutritional, chemical, physical and biological properties of materials and products. It belongs inside BIO VC LATAM as analytical diagnostics and quality-control infrastructure for ag, food and biological materials.","Official site says SpecLab uses smart analytical technologies, fingerprinting techniques and data science to optimize complex analytical processes, mimic reference methods with machine learning and connect equipment to an analytical platform."
"Imeve","ag biologicals and crop resilience","low","3.9","34","55-75 words","medium","reviewed","official_website","https://imeve.com.br/en/about-us","clarify_semantic_fit","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Animal health and probiotic biotechnology company.","Brazilian animal-health biotechnology company producing probiotic additives, medicines and supplements for multiple animal species, with fermentation and lyophilization technology. It belongs inside BIO VC LATAM as animal health biotech and livestock/aquaculture biological products.","Official about page describes IMEVE as health and biotechnology in animal nutrition, with modern laboratories for probiotic production and fermentation/lyophilization technology."
