startup_id,description,tech_focus,biotech_sector,confidence,biotech_signal
aeroscan_businessproductivity_software,"Intelligent drones with AI algorithms for agricultural monitoring. Uses multispectral thermal and RGB sensors to analyze soil vegetation patterns for crop health monitoring pest detection and yield prediction. Integrates drone data with satellite imagery for large-scale farm operations. Scales from small farms to extensive operations across various crop types.",Drone technology; AI; Multispectral imaging; Machine learning; Thermal analysis,Agtech Software,0.8,QUESTIONABLE
agro_ai,"AI-driven agriculture platform applying artificial intelligence for precision agriculture. Part of broader Latin American agricultural AI movement supporting real-time data analysis on weather soil conditions and crop decisions. Integrates on-farm sensors satellite imagery and machine learning models.",AI; Precision agriculture; Machine learning; Sensor integration; Data analytics,Agtech Software,0.7,QUESTIONABLE
agroadvance,"Agribusiness education and capability platform. Provides online courses in-person training and graduate programs in agribusiness bio-input markets data science agricultural finance and leadership. EdTech platform serving 5000+ students with training on agronomic and human skills.",EdTech; Business education; Training; Agricultural knowledge transfer,Education/Agtech,0.9,NO
aguamarina_biomineria,"Chilean biotech using bacteria and microalgae from seawater for sustainable mining. Core tech: dust control via bio-crust formation water efficiency reduction bio-corrosion control via biological agents mineral cleaning with bacteria instead of acid. Uses bacteria-based bio-lixiviation for copper extraction. Founded by marine biologist and microbiological engineer.",Microbiology; Bacterial applications; Bio-lixiviation; Green chemistry,Biotech Materials,0.95,YES
audsat,"Brazilian territory and satellite monitoring. Part of broader landscape of satellite monitoring systems in Brazil. Focuses on detecting changes in territory similar to deforestation monitoring programs. Limited specific technical detail available in research.",Satellite imagery; Remote sensing; Territory monitoring,Software/Monitoring,0.5,NO
bacu,"Foodtech software platform for restaurant operations. Provides restaurant management system food delivery app and customer loyalty program. Enables access to home-style meals through software coordination. VC-backed Colombia-based company.",Software; Food service operations; Digital platforms,Foodtech Software,0.8,NO
beyond_renewable_energy,"Electromobility and electric vehicle company. Focused on distributed generation EV and renewable energy transition. Chile-based operating in the energy and transportation sectors.",Electric vehicles; Renewable energy; Battery technology; EV infrastructure,Energy/Transportation,0.8,NO
bioxiplas,"Biodegradable uniforms and protective equipment from food-grade materials derived from sugar cane beets and corn husks. Manufactures certified compostable and biodegradable aprons bibs PPE and flexible packaging for food industry. Also produces biodegradable films and bags for retail fruit industries. Chemistry-based material innovation.",Bioplastics; Polymer chemistry; Food-grade materials; Biodegradable packaging,Materials Science,0.9,QUESTIONABLE
brasil_ozonio,"Ozone treatment systems manufacturer with 20+ years experience. Provides sustainable solutions for water treatment food sanitization and gas mitigation without chemical inputs. Uses high-concentration ozone generation with ambient temperature processing. Custom diagnostics implementation monitoring and maintenance.",Ozone chemistry; Water treatment; Oxidation technology; Environmental remediation,Environmental Technology,0.85,NO
carenet_longevity,"IoMT (Internet of Medical Things) solutions for healthcare digital transformation. ORCHESTRA platform integrates hardware and software in critical care: ICU operating rooms emergency departments. Connects medical device data vital signs multiparametric monitors with hospital EHR systems. Real-time data integration for patient monitoring and safety.",Medical devices; IoT; Health informatics; Integration platforms,Medical Devices/Digital Health,0.85,QUESTIONABLE
fix_it,"3D printing of custom orthopedic prosthetics and immobilization devices. Uses thermomoldable biodegradable plastic derived from sugarcane beets and corn husks. Produces waterproof breathable sleek casts with honeycomb mesh in 64 colors. Custom 3D-printed solutions for fractures post-surgical recovery.",3D printing; Biomaterials; Medical devices; Prosthetics manufacturing,Medical Devices,0.9,QUESTIONABLE
flexza,"Flexible health benefits and compensation platform. HR software for employee benefit administration. SaaS benefits platform.",Software; HR benefits; Compensation management,HR/Benefits Software,0.6,NO
inti_tech,"Dry cleaning robots for solar panel maintenance. Autonomous robots clean panels in under 5 minutes using dry brushing methods with zero water use. Runs on solar power from the panels themselves via HaaS model. Increases energy output by 5-15%. No chemical inputs or waste.",Robotics; Mechanical engineering; Automation; Solar technology,Clean Tech Hardware,0.9,NO
nanox_industrial_chemicals,"Develops nanostructure materials using silver nanoparticles with bactericidal fungicidal and antimicrobial properties. Silver nanoparticles synthesized for industrial applications including textiles food packaging and antimicrobial surfaces. Chemistry and nanotechnology focus.",Nanotechnology; Silver nanoparticles; Materials science; Chemistry,Materials Science,0.85,QUESTIONABLE
partanna,"Building materials for CO2 absorption using ambient temperature chemistry. Recycled ingredients undergo chemical reactions creating compounds that actively absorb CO2 like tree carbon sequestration. Produces carbon-negative concrete alternative verified by Verra for carbon credits. 1250-sq-ft home absorbs 22.5 tons CO2.",Green chemistry; Materials science; Carbon capture; Circular economy,Environmental Materials,0.9,NO
popai,"Food company producing healthy plant-based snacks using AI for product development and flavoring. Includes chips energy cubes protein cubes banana candies and nut mixes. Uses AI to track trends and optimize nutrition and taste. Rio de Janeiro Brazil.",Food science; AI product development; Nutrition optimization,Food Tech,0.85,NO
reborn_electric_motors,"Electric bus and shuttle manufacturer converting heavy-duty machinery to electric. Queltehue model: 100% electric 24-person capacity designed for mining underground operations and Antarctica. Retrofit services to convert diesel bus fleets to electric. Circular economy model via affordability.",Electric vehicles; Powertrain engineering; Motor conversion,Transportation/Clean Tech,0.9,NO
scarab,"Mining waste recovery technology for sustainable value extraction. Recovers calcium compounds metallic minerals and precious elements from tailings dams slag and low-grade minerals. Proprietary selective chemistry reduces environmental impact. Transforms mining liabilities into assets.",Chemistry; Materials recovery; Mining remediation; Extraction technology,Biotech-Adjacent Materials,0.85,QUESTIONABLE
starlight_ventures,"Venture capital firm and ecosystem actor. Early-stage investor in deep tech founders. Portfolio: 45+ companies in fusion energy space infrastructure quantum computing critical materials industrial decarbonization life sciences. VC firm not a startup.",Venture capital; Fund management,Ecosystem/Capital,0.9,NO
tissue_dynamics,"(SKIP - already researched per instructions)",,,,
verge_ag,"Farm machinery path planning software. Interactive web app for operations planning (seeding spraying harvest). AI-powered field analysis 3D terrain modeling optimized route planning via machine learning. No biotech component pure software logistics.",Software; AI; Path optimization; Field mapping; GPS integration,Agtech Software,0.9,NO
vixtra,"Import financing fintech for international trade. Payment method platform for importers/exporters extending payment terms. Trade finance solutions currency exchange working capital for SME importers. FIDC funding doubled capacity to R.",Financial technology; Trade finance; Payments; Credit automation,Fintech,0.95,NO
yak,"Battery-powered electric tractor manufacturer. Small rural applications (tractors for industrial trailers grass cutting agriculture). Connected to cloud platform with autonomous operation module. Joinville Brazil founded 2016.",Electric vehicles; Battery technology; Agricultural machinery; Autonomous systems,Clean Tech Hardware,0.9,NO
mabloc,"(SKIP - already researched per instructions)",,,,
