investment_id,investor_id,startup_id,round_name,round_stage,announced_date,amount,currency,is_lead,confidence_score,source_id,notes
RAWEDGE_AIR_Capital_Aplife_Biotech,AIR Capital,aplife_biotech,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Arcomedlab,AIR Capital,arcomed,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_ArgenTAG,AIR Capital,argentag,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Ayuvant,AIR Capital,ayuvant,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Blerify,AIR Capital,blerify,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Branch_Energy,AIR Capital,branch_energy,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Cellva,AIR Capital,cellva,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Done_Properly,AIR Capital,done_properly,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Egg,AIR Capital,egg,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Epiliquid,AIR Capital,epiliquid,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Ergo_Foods,AIR Capital,ergo_foods,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Ethos,AIR Capital,ethos,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Feed_Vax,AIR Capital,feedvax,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Gigablue,AIR Capital,gigablue,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Inner_Cosmos,AIR Capital,inner_cosmos,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Laurus,AIR Capital,laurus,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Lemon,AIR Capital,lemon,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Menta_Tickets,AIR Capital,menta_tickets,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Novo_Space,AIR Capital,novo_space,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Onco_Precision,AIR Capital,onco_precision,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Oncoliq,AIR Capital,oncoliq,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Open_Water,AIR Capital,openlayer,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Outpost,AIR Capital,outpost,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Puna_Bio,AIR Capital,puna_bio,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Satellites_On_Fire,AIR Capital,satellites_on_fire,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Skyloom,AIR Capital,skyloom,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Starlight_Ventures,AIR Capital,starlight_ventures,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Sylvarum,AIR Capital,sylvarum,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_AIR_Capital_Tissue_Dynamics,AIR Capital,tissue_dynamics,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Agrojusto,Antom,agrojusto,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_CIRCCLO,Antom,circclo,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Conciencia,Antom,conciencia,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Eirú,Antom,eiru,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Huiro,Antom,huiro,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Kigui,Antom,kigui,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Kilimo,Antom,kilimo,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Nideport,Antom,nideport,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Ruuts,Antom,ruuts,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_Antom_Satellites_on_fire,Antom,satellites_on_fire,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_CITES_Bionirs,CITES,biosens,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_CITES_Crinsurance,CITES,crinsurance,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_CITES_Eolo_Pharma,CITES,eolo_pharma,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_CITES_EpiLiquid,CITES,epiliquid,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_CITES_RadBio,CITES,radbio,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_CITES_Stradot,CITES,stradot,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_CITES_ViewMind,CITES,viewmind,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_DragonesVP_Amai_Proteins,DragonesVP,dprotein,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
RAWEDGE_DragonesVP_Armenta,DragonesVP,argentag,investment,,,,,0,0.95,EDGESECO_RAW,From investment_edges_raw.csv
