"startup_id","startup_name","scope_decision","scope_status","scope_basis","scope_reason","macro_theme","emergent_theme","market_label","transition_function","technical_stack","industry_destination","thesis_fit","assignment_method","taxonomy_confidence","structured_country","structured_sector","trl_current","trl_current_status","valuation_tier","data_quality_score_10","quality_band","research_priority","missing_signals","startup_summary_v1","business_one_liner","materiality_signal","thesis_scope_note","source_url","source_type","source_date","evidence_excerpt","summary_confidence","review_status","last_reviewed_at","bio_lens_tags","domain_tags","technology_tags","scale_tags"
"tech","@Tech","include","confirmed","external_auditable_source","official_portfolio_signal_biocentric_material_system","precision agriculture and resource intelligence","precision agriculture intelligence","animal protein optimization and traceability","lower-efficiency-animal-protein-production-to-data-driven-optimization","AI; data science; IoT; smart ear tags","animal protein supply chains","core","manual_override","0.78","BR","Digital Economy","","pending_research","2","8.5","high","3","needs_current_trl_research","Startup agtech que usa IA, data science e IoT para optimizar la produccion de proteina animal y trazar animales a lo largo de la cadena. Entra en tesis por su acople biocentrico y material a sistemas vivos de produccion animal.","Animal protein optimization and traceability with AI and IoT.","high","Entra por operar sobre sistemas vivos y cadenas materiales de proteina animal, no por software horizontal.","https://theyieldlablatam.com/companies/atech/","official_portfolio_profile","2026-04-21","The Yield Lab Latam portfolio describes optimization of animal protein production with AI, data science, IoT and smart ear tags for traceability.","medium","reviewed","2026-05-08","biocentric; bio-enabled-industrial-transition","agri-food","ai-data; iot","agroecosystem-scale; industrial-scale"
"123seguro","123Seguro","exclude","confirmed","external_auditable_source","insurance_marketplace_no_material_bio_or_planetary_boundary_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","online insurance marketplace","offline-insurance-shopping-to-digital-marketplace","insurance comparison; online quote flow; digital brokerage","Insurance and financial services.","peripheral","manual_override","0.88","AR","Digital Economy","","pending_research","1","9","high","1","","Argentine/LatAm online insurance marketplace focused on comparing and buying insurance products such as car, home, personal accident and related coverage. It is a credible venture-backed digital business, but current public evidence shows insurance distribution and brokerage rather than biology, biobased materials, biocentric production systems or planetary-boundary stewardship. It should remain outside BIO VC LATAM as a non-material fintech/insurtech adjacent to the broader VC ecosystem.","Online insurance comparison and brokerage marketplace.","low","Exclude: relevant to LATAM VC, but no material BIO, biological-system or planetary-boundary role in public evidence.","https://www.123seguro.com/","official_website","2026-05-08","Official website presents 123Seguro as an online insurance marketplace for comparing and buying insurance products.","high","reviewed","2026-05-08","","","","industrial-scale"
"abastra","AbAstra","exclude","confirmed","external_auditable_source","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","custom software development services","generic-business-software-needs-to-custom-it-delivery","software engineering; custom development","general software services","peripheral","manual_override","0.97","AR","Bio·Industry","","pending_research","1.5","9","high","1","","Empresa de desarrollo de software a medida para clientes corporativos de multiples industrias. Queda fuera de tesis por no mostrar una propuesta bio-based, biocentrica ni regenerativa propia.","Custom software development services company.","low","Sale de tesis por ser una software house generalista sin acople material o biocentrico propio.","https://www.abastra.com/","official_website","2026-04-22","Official site presents Abastra as a software design and development company serving multiple industries with custom technological solutions.","high","reviewed","2026-05-08","","","ai-data","industrial-scale"
"aegro","Aegro","include","confirmed","external_auditable_source","bio_centric_farm_management_and_resource_efficiency","precision agriculture and resource intelligence","farm management and field intelligence","farm operations and financial management platform","paper-based-farm-management-to-integrated-digital-field-and-finance-operations","farm management SaaS; field records; pest monitoring; input planning; finance; machine and climate integrations","crop and livestock farm management","core","manual_override","0.78","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Brazilian farm-management platform integrating field planning, pest monitoring, input management, finance, fiscal operations and agriculture-system integrations. It belongs inside BIO VC LATAM as resource-efficiency infrastructure for crop and livestock operations.","Farm operations and financial management platform.","medium","Include: official site describes integrated farm management from field to finance, with pest monitoring and ag-system connections.","https://aegro.com.br/","official_website","2026-04-29","Official site describes planning and monitoring crops, field records, pest control, inputs, finance and integrations with agriculture systems.","high","reviewed","2026-05-08","biocentric; planetary-boundary","agri-food; climate-resource","ai-data","agroecosystem-scale; industrial-scale; planetary-scale"
"aerialoop","Aerialoop","exclude","confirmed","external_auditable_source","official_site_signal_non_thesis_aerospace_infrastructure","frontier hardware and infrastructure systems","drone logistics and aerial surveillance systems","urban drone logistics and ISR","manual-last-mile-and-isr-operations-to-drone-enabled-automation","drone hardware; satellite connectivity; aerial robotics","logistics, security and industrial inspection","core","manual_override","0.88","EC/US","Other / Unclassified","","pending_research","1.5","8.5","high","1","","Empresa de drones para logistica, inspeccion y vigilancia con conectividad satelital. Queda afuera porque hoy la señal principal es infraestructura aeroespacial generalista, no una intervencion thesis-core sobre sistemas vivos o limites planetarios.","Drone logistics and aerial surveillance systems.","low","Queda afuera por infraestructura aeroespacial generalista sin acople suficiente al nucleo bio/materiales o regenerativo.","https://www.aerialoop.com/","official_website","2026-04-21","Official site describes large-scale drone delivery, ISR and inspection systems with LEO satellite connectivity and urban operations.","high","reviewed","2026-05-08","","","remote-sensing","industrial-scale; territorial-scale"
"ages","AGES","include","confirmed","external_auditable_source","official_portfolio_signal_bio_based_or_biocentric","biobased chemistry and advanced materials","biobased chemistry and materials","amazonian bioactive compounds platform","commodity-extraction-to-regenerative-bioactive-compounds","bioactive compounds; biodiversity sourcing; healthspan ingredients","health, beauty and longevity products","core","manual_override","0.9","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Startup brasileña de bioeconomia que desarrolla moleculas bioactivas unicas extraidas de la Amazonia para productos de healthspan y longevidad. Entra claramente por biomoleculas, biodiversidad y bioeconomia regenerativa.","Amazonian bioactive compounds platform.","high","Entra claramente por biomateriales/ingredientes bioactivos y regeneracion de bioeconomia amazónica.","https://www.kptl.com.br/portfolio/ages/","official_portfolio_profile","2026-04-23","KPTL describes AGES as creating healthspan products with bioactive molecules extracted from the Amazon and generating a regenerative local bioeconomy.","high","reviewed","2026-05-08","biobased; biocentric; human-health-bio; planetary-boundary; regenerative","agri-food; biodiversity-nature; biomaterials; human-health","ai-data; biomaterials","human-scale; planetary-scale; product-scale; territorial-scale"
"agree","Agree","include","confirmed","external_auditable_source","official_website_signal_material_ag_system","climate, energy and resource systems","traceability and tokenized resource infrastructure","agri-food chain traceability and market infrastructure","fragmented-agri-food-chains-to-digital-traceable-coordination","B2B marketplace; traceability; sustainability workflows; quota management; barter contracts; agri-food financing","agri-food chains","core","manual_override","0.86","AR","Digital Economy","","pending_research","1","8.5","high","3","needs_current_trl_research","Agree is an agri-food chain digitization platform that helps producers, buyers and other counterparties manage quotas, barters, contracts, documents, financing and market positions in one place. Its platform focuses on traceability, sustainability and day-to-day coordination across grains, oilseeds, fruit and vegetable chains. It belongs inside BIO VC LATAM as agri-food traceability and market infrastructure directly attached to material biological supply chains.","Agri-food chain traceability and market infrastructure.","medium","Include as market, traceability and coordination infrastructure for biological supply chains, not as generic fintech/software.","https://www.agree.ag/home-en.html","official_website","2026-05-06","Official site says Agree accelerates digital transformation of agri-food chains, helping users manage quotas, barters, contracts, documents and financing while focusing on traceability and sustainability.","high","reviewed","2026-05-08","planetary-boundary","agri-food; climate-resource","ai-data","agroecosystem-scale; industrial-scale; planetary-scale"
"agricapital","Agricapital","include","confirmed","external_auditable_source","official_website_signal_material_ag_system","climate, energy and resource systems","traceability and tokenized resource infrastructure","smallholder agricultural financing platform","limited-rural-credit-to-fast-tailored-ag-financing","ag credit; mobile workflows; agro-store network; rural finance partnerships; harvest-aligned repayment","smallholder agriculture","core","manual_override","0.82","CO","","","pending_research","","8","medium","4","needs_current_trl_research","AgriCapital is a Colombian agrifintech providing digital AgroCrédito for farmers, rural workers and agro-businesses through mobile workflows and a network of partner agro-stores. Its credit lets producers buy inputs, tools and machinery, pay according to harvest cycles and access financing in rural areas without heavy paperwork. It belongs inside BIO VC LATAM as agricultural finance infrastructure directly coupled to crop productivity and smallholder resilience.","Smallholder agricultural financing platform.","medium","Include as an edge but defensible ag-finance layer because it funds material biological production, not horizontal consumer finance.","https://agricapital.com.co/","official_website","2026-05-06","Official site says AgriCapital provides fast AgroCrédito for Colombian producers through mobile applications and partner agro-stores, with harvest-aligned payment and credit for inputs, tools and machinery.","high","reviewed","2026-05-08","biocentric; planetary-boundary; regenerative","agri-food; climate-resource","ai-data","agroecosystem-scale; industrial-scale; planetary-scale"
"agrired","Agrired","include","confirmed","external_auditable_source","official_site_signal_material_ag_system","precision agriculture and resource intelligence","ag-input market infrastructure","b2b ag-input market infrastructure","manual-ag-input-trading-to-digital-resource-coordination","b2b marketplace; pricing analytics; logistics coordination","agriculture, seeds, fertilizers and agrochemicals","core","manual_override","0.84","AR","Digital Economy","","pending_research","1","8.5","high","3","needs_current_trl_research","Infraestructura B2B para la compra, venta y logistica de semillas, fertilizantes y agroquimicos entre empresas del agro. Entra en tesis como capa digital fuertemente acoplada a flujos materiales de insumos agricolas.","B2B ag-input market infrastructure.","medium","Entra como infraestructura digital directamente conectada a la cadena material de insumos agropecuarios.","https://www.agrired.com.ar/","official_website","2026-04-20","Official site describes an exclusive business marketplace for agricultural inputs, with logistics and business intelligence for seeds, fertilizers and agrochemicals.","high","reviewed","2026-05-08","biocentric","agri-food","ai-data","agroecosystem-scale; industrial-scale"
"agrivalle","Agrivalle","include","confirmed","external_auditable_source","core_bio_ag_biologicals_and_bioinputs","ag biologicals and crop resilience","bioinputs and biostimulants","biological fertilizers and biostimulants company","chemical-fertilizers-to-biological-crop-inputs-and-biostimulants","biofertilizers; biostimulants; inoculants; adjuvants; biological crop inputs; soil fertility","crop nutrition and sustainable agriculture","core","manual_override","0.76","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Agrivalle is a Brazilian bioinputs company developing biological agricultural products, inoculants, biological control products, biofertilizers, biostimulants, adjuvants and regenerative-soil solutions across crops. Its official site and company pages describe more than two decades in agricultural biologicals, a broad portfolio and investments in bioreactor-based microbial production. It belongs inside BIO VC LATAM as core ag biologicals and regenerative-agriculture inputs infrastructure.","Biological fertilizers, inoculants and biostimulants company.","high","Include as core ag-biologicals company with official source and strong materiality.","https://agrivalle.com.br/","official_website","2026-05-06","Official site describes bioinputs for activation, protection, soil revitalization and plant performance; company pages describe products biologicals, inoculants, nutrition and adjuvants.","high","reviewed","2026-05-08","biobased; biocentric; bio-enabled-industrial-transition; planetary-boundary; regenerative","agri-food; biomanufacturing; industrial-biotech","bioinputs; biomanufacturing; fermentation","agroecosystem-scale; human-scale; industrial-scale; molecular-scale"
