priority_score,investment_id,investor_id,startup_name,startup_id,country,round_stage,bio_theme,valuation_tier,has_amount,source_id,research_hint
20,manual-carao_ventures-levita-magnetics-cl-bb8d2f,carao_ventures,Levita Magnetics,levita-magnetics-cl,CL,series-c,Diagnostics & Health Access,3,1,https://www.levita.com/blog/levita-magnetics-secures-26m-to-advance-disruptive-s,Crunchbase: levita-magnetics-cl funding rounds | TechCrunch/Forbes/press release
20,manual-sp_ventures-zoomagri-2024,sp_ventures,ZoomAgri,zoomagri,AR,exit,Farm Intelligence,2,0,https://spventures.com.br/portfolio/,Crunchbase: zoomagri | LinkedIn announcement | sp_ventures portfolio
18,e3,DraperCygnus,Stämm,stamm,AR,series-b,Biomanufacturing & Platform Technologies,3,0,source: https://www.drapercygnus.vc/startups/stamm | Draper Cygnus official star,Crunchbase: stamm funding rounds | TechCrunch/Forbes/press release
18,e4,GridX,Stämm,stamm,AR,series-b,Biomanufacturing & Platform Technologies,3,0,source: https://www.gridexponential.com/portfolio | GraphML edge direction is no,Crunchbase: stamm funding rounds | TechCrunch/Forbes/press release
18,e0,SOSV_IndieBio,Stämm,stamm,AR,series-b,Biomanufacturing & Platform Technologies,3,0,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assume,Crunchbase: stamm funding rounds | TechCrunch/Forbes/press release
17,manual-savia_ventures-splight-eeb05b,savia_ventures,Splight,splight,US,series-b,Nature & Ecosystem Tech,3,0,https://saviaventures.com/,Crunchbase: splight funding rounds | TechCrunch/Forbes/press release
17,manual-barn_investimentos-agrotoken-50dfbe,barn_investimentos,Agrotoken,agrotoken,AR,seed,Farm Intelligence,4,0,https://www.barn.ag/portfolio,Crunchbase: agrotoken | fondo: barn_investimentos newsletter/portfolio
16,manual-barn_investimentos-strider-br-d888e8,barn_investimentos,Strider,strider-br,BR,growth,Farm Intelligence,1,0,https://tracxn.com/d/venture-capital/barn-invest/,Crunchbase: strider-br funding rounds | TechCrunch/Forbes/press release
16,manual-lightsmith_group-solinftec-b2c4be,lightsmith_group,Solinftec,solinftec,BR,growth,Farm Intelligence,1,1,https://news.crunchbase.com/agtech-foodtech/solinftec-lightsmith-funding-plenty-,Crunchbase: solinftec funding rounds | TechCrunch/Forbes/press release
15,163,DraperCygnus,Auth0,auth0,,,,5,0,src_www_drapercygnus_com_portfolio,Crunchbase: auth0 | LinkedIn announcement | DraperCygnus portfolio
15,manual-sp_ventures-puna_bio-e413aa,sp_ventures,Puna Bio,puna_bio,AR,seed,Bioinputs & Crop Resilience,3,1,https://www.prnewswire.com/news-releases/puna-bio-raises-3-7m-seed-funding-to-re,Crunchbase: puna_bio | fondo: sp_ventures newsletter/portfolio
15,manual-grupo_insud-biosidus-ar-f43a6f,grupo_insud,Biosidus,biosidus-ar,AR,growth,Therapeutics,1,0,https://www.insud.com.ar/empresa/biosidus,Crunchbase: biosidus-ar funding rounds | TechCrunch/Forbes/press release
15,manual-grupo_insud-mabxience-ar-30d88a,grupo_insud,mAbxience,mabxience-ar,AR,growth,Biomanufacturing & Platform Technologies,1,0,https://mabxience.com/about-us/,Crunchbase: mabxience-ar funding rounds | TechCrunch/Forbes/press release
14,manual-the_yield_lab_latam-phagelab-f3b653,the_yield_lab_latam,PhageLab,phagelab,CL,seed,Therapeutics,3,0,https://theyieldlablatam.com/portfolio/,Crunchbase: phagelab | fondo: the_yield_lab_latam newsletter/portfolio
