"Id","Label","NodeType","CanonicalType","Slug","IntegratedSources","SourcePresence","EntityConfidence","ScopeDecision","ScopeStatus","QualityBand","QualityScore","SourceUrl","SemanticTheme","SemanticClusterId","SemanticConfidence","Summary","OneLiner","Country","r","g","b","Size"
"abastra","AbAstra","startup","startup","abastra","canonical|historical","graphml","0.6","exclude","confirmed","medium","8","https://www.abastra.com/","","","","Empresa de desarrollo de software a medida para clientes corporativos de multiples industrias. Queda fuera de tesis por no mostrar una propuesta bio-based, biocentrica ni regenerativa propia.","Custom software development services company.","AR","150","150","150","12.4"
"aceleradora-litoral","Aceleradora Litoral","capital","investor","aceleradora-litoral","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"aerialoop","Aerialoop","startup","startup","aerialoop","canonical|historical","graphml","0.6","exclude","confirmed","medium","7","https://www.aerialoop.com/","","","","Empresa de drones para logistica, inspeccion y vigilancia con conectividad satelital. Queda afuera porque hoy la señal principal es infraestructura aeroespacial generalista, no una intervencion thesis-core sobre sistemas vivos o limites planetarios.","Drone logistics and aerial surveillance systems.","EC/US","150","150","150","11.6"
"agree","Agree","startup","startup","agree","canonical|historical","graphml","0.6","include","confirmed","fragile","6","https://theyieldlablatam.com/companies/agree/","climate and resource intelligence platforms","cluster_7","medium","Plataforma B2B para cadenas agroalimentarias con foco en trazabilidad, sostenibilidad y coordinación comercial de granos, oleaginosas, frutas y verduras. Entra en tesis por su fuerte acople a cadenas materiales agroalimentarias.","Agri-food chain traceability and market infrastructure.","","255","112","67","10.8"
"agroforte","Agroforte","startup","startup","agroforte","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://theyieldlablatam.com/companies/agroforte/","climate and resource intelligence platforms","cluster_7","medium","Infraestructura financiera digital para pequeños y medianos productores de aves, cerdos y lácteos. La dejamos adentro por su acople directo con sistemas productivos animales, infraestructura rural y bienestar animal, aunque es un caso de borde más discutible que el núcleo biotech.","Animal production financial infrastructure.","BR","255","112","67","12.4"
"Agrojusto","Agrojusto","startup","startup","agrojusto","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://agrojustoinc.com/","agri intelligence and traceable markets","cluster_4","high","Plataforma de trazabilidad, digitalización territorial y acceso a mercado para pequeños productores y cadenas alimentarias. Entra en tesis por su acople fuerte a flujos materiales del sistema agroalimentario.","Smallholder food-market infrastructure platform.","","217","112","179","12.8"
"Aictive","Aictive","startup","startup","aictive","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"air-capital","AIR Capital","capital","investor","air-capital","canonical|historical|historical_clean","nodes_csv","0.6","","","","","","","","","","","","37","182","106","18"
"algaebio","AlgaeBio+","startup","startup","algaebio","canonical|historical","nodes_csv","0.6","include","confirmed","medium","7.5","https://algaebioplus.com/","food ingredients and biofactories","cluster_2","high","Startup biobasada que produce astaxantina natural a partir de microalgas para acuicultura, nutraceutica, alimentos funcionales y cosmetica. Entra en tesis por food biotech and novel ingredients.","Microalgae functional ingredients company.","","11","181","214","12"
"AlgaLife","AlgaLife","startup","startup","algalife","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
