"feature_profile","k","cluster_id","cluster_label","description","naming_status","startup_count","dominant_macro","top_tokens","representatives","avg_margin","low_confidence_count","review_fit_count","watch_fit_count","credibility_score"
"technology_heavy","5","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","95","therapeutics and regenerative medicine","diagnostics; therapeutics; cells; medtech; medicine; treatment; tissue; public","Samay; ZEV Biotech; Limay Biosciences; Caspr Biotech","14.9","8","8","0","92"
"balanced","5","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","94","therapeutics and regenerative medicine","diagnostics; therapeutics; cells; medtech; tissue; medicine; disease; treatment","Samay; Bleps Vision; Radbio; Embryoxite","16.8","8","8","0","91"
"industry_heavy","5","cluster_1","therapeutics and regenerative bio","Therapeutics, biological delivery and regenerative medicine.","auto","93","therapeutics and regenerative medicine","diagnostics; therapeutics; medtech; cells; tissue; medicine; treatment; regenerative","Samay; Radbio; Gisens Biotech; Oncoliq","19.4","8","8","0","91"
"industry_heavy","5","cluster_3","crop biologicals and grower resilience","Biological inputs, biocontrol and crop-resilience technologies applied directly to growers and agricultural systems.","auto","78","ag biologicals and crop resilience","crop; monitoring; climate; biological; intelligence; soil; resilience; precision","Infira; Arakion; Promip; Nunatak Biotech","17.2","3","3","0","96"
"balanced","5","cluster_3","resource recovery and remediation","Material recovery, loop closure and remediation.","auto","77","climate, energy and resource systems","crop; climate; carbon; monitoring; biological; soil; resilience; plant","Infira; Promip; Neocrop Technologies; Nunatak Biotech","16.8","1","1","0","99"
"technology_heavy","5","cluster_3","ag biologicals and crop resilience","Biological inputs and productive resilience for agricultural systems.","auto","61","ag biologicals and crop resilience","crop; carbon; monitoring; climate; biological; resilience; nature; biologicals","Semion; Infira; Promip; Nunatak Biotech","17.8","2","2","0","97"
"technology_heavy","5","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","49","precision agriculture and resource intelligence","proteins; data; animal; cells; dairy; agtech; ingredients; biotechnology","@Tech; Biolinker Synthetic Biology; Dymaxion Labs; Future Cow","13.5","7","7","0","86"
"industry_heavy","5","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","47","precision agriculture and resource intelligence","proteins; animal; data; cells; dairy; agtech; traceability; growers","@Tech; Agroforte; Eirú; JetBov","15.2","5","5","0","89"
"balanced","5","cluster_2","agri intelligence and traceable markets","Agronomic decisioning, traceability and material coordination of agri-food chains.","auto","45","precision agriculture and resource intelligence","proteins; animal; data; cells; agtech; dairy; ingredients; precision","@Tech; Eiwa; JetBov; Omica","15.5","5","5","0","89"
"technology_heavy","5","cluster_4","grain traceability and producer infrastructure","Digital infrastructure for traceability, seeds, grains, growers and commercial coordination across agri-food chains.","auto","41","climate, energy and resource systems","traceability; growers; credit; risk; intelligence; digital; agro; public","Tracestory; Traive; Agrojusto; MUTA","19.5","4","4","0","90"
