"raw_edge_id","source_id","target_id","source_file","relation_type_raw","direction_status","investor_id_candidate","startup_id_candidate","confidence_score","notes"
"manual-1200-vc-clivi","1200 VC","Clivi","https://www.twelvehundred.vc/investments","official_direct_investment","validated_investor_to_startup","1200_vc","clivi","0.96","1200 VC official investments page lists Clivi as a direct/strategic investment; Clivi is kept as LATAM healthtech but outside BIO thesis core."
"manual-spventures-promip","SP Ventures","Promip","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","promip","0.96","SP Ventures official portfolio lists Promip."
"manual-spventures-decoy","SP Ventures","Decoy","https://spventures.com.br/categorias-portfolio/alternative-inputs-biologicals/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","decoy","0.96","SP Ventures official Alternative Inputs / Biologicals portfolio lists Decoy."
"manual-spventures-inceres","SP Ventures","InCeres","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","inceres","0.94","SP Ventures official portfolio lists InCeres."
"manual-spventures-leaf","SP Ventures","Leaf","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","leaf","0.94","SP Ventures official portfolio lists Leaf."
"manual-spventures-moss","SP Ventures","Moss","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","moss","0.94","SP Ventures official portfolio lists Moss."
"manual-spventures-traive","SP Ventures","Traive","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","traive","0.94","SP Ventures official portfolio lists Traive."
"manual-spventures-goflux","SP Ventures","goFlux","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","goflux","0.94","SP Ventures official portfolio lists goFlux."
"manual-newtopia-waterplan","Newtopia VC","Waterplan","https://newtopia.vc/portfolio/","official_portfolio_investment","validated_investor_to_startup","newtopia_vc","waterplan","0.96","Newtopia official portfolio lists Waterplan."
"manual-gridx-hiamet","GridX","HIAMET","https://www.gridexponential.com/portfolio","official_portfolio_investment","validated_investor_to_startup","gridx","HIAMET","0.96","GridX official portfolio lists Hiamet S.A.; mapped to existing startup_id HIAMET to avoid duplicate."
"manual-gridx-tomorrow-foods","GridX","Tomorrow Foods","https://www.gridexponential.com/portfolio","official_portfolio_investment","validated_investor_to_startup","gridx","tomorrow_foods","0.96","GridX official portfolio lists Tomorrow; mapped to existing Tomorrow Foods."
"manual-gridx-algalife","GridX","Algalife","https://www.gridexponential.com/portfolio","official_portfolio_investment","validated_investor_to_startup","gridx","algalife","0.96","GridX official portfolio lists Algalife."
"manual-spventures-agrofy","SP Ventures","Agrofy","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","agrofy","0.96","SP Ventures official portfolio lists Agrofy."
"manual-spventures-genotyping","SP Ventures","Genotyping","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","genotyping","0.94","SP Ventures official portfolio lists Genotyping."
"manual-spventures-aegro","SP Ventures","Aegro","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","aegro","0.96","SP Ventures official portfolio lists Aegro."
"manual-spventures-arado","SP Ventures","Arado","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","arado","0.96","SP Ventures official portfolio lists Arado."
"manual-spventures-nexxto","SP Ventures","Nexxto","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","nexxto","0.94","SP Ventures official portfolio lists Nexxto."
"manual-spventures-imeve","SP Ventures","Imeve","https://spventures.com.br/portfolio/","official_portfolio_investment","validated_investor_to_startup","sp_ventures","imeve","0.94","SP Ventures official portfolio lists Imeve."
