startup_id,current_description,investor_count,research_priority
frubana,software and market infrastructure para cross-sector enterprise markets.,5,CRITICAL
skyloom,Space optical communications.,3,HIGH
circular,Professional network and recruiting platform.,2,HIGH
conciencia,Edtech for soft skills and social awareness.,2,HIGH
egg,Online programming education platform.,2,HIGH
lemon,Consumer crypto wallet and financial app.,2,HIGH
logshare,Collaborative freight-sharing platform for lower-emission logistics.,2,HIGH
novo_space,High-performance space electronics.,2,HIGH
ruedata,AI tire-management software for freight fleets.,2,HIGH
abastra,Custom software development services company.,1,MEDIUM
aerialoop,Drone logistics and aerial surveillance systems.,1,MEDIUM
agroadvance,Agribusiness education and capability platform.,1,MEDIUM
altscore,B2B credit infrastructure for companies.,1,MEDIUM
auth0,Software de identidad y acceso para empresas.,1,MEDIUM
axenya,Gestion de salud corporativa y beneficios con analitica.,1,MEDIUM
bacu,Cadena foodtech con software operativo para restaurantes.,1,MEDIUM
blerify,Digital identity and verifiable credential infrastructure.,1,MEDIUM
clover,Enterprise IT infrastructure and technology services.,1,MEDIUM
concil,Card and accounting reconciliation SaaS.,1,MEDIUM
crinsurance,Insurtech for credit insurance and guarantees.,1,MEDIUM
dynami,Software de HR analytics y employee journey.,1,MEDIUM
erural,Livestock marketplace and rural payment platform.,1,MEDIUM
ethos,Deep-tech venture capital firm.,1,MEDIUM
eureka,Cross-border digital commerce and services venture.,1,MEDIUM
falcomm,Energy-efficient wireless semiconductor hardware.,1,MEDIUM
gbm,Digital investment and brokerage platform.,1,MEDIUM
geofusion,Geographic market intelligence platform.,1,MEDIUM
ini,Offline-capable payment infrastructure.,1,MEDIUM
lupeon,Freight management and auditing SaaS.,1,MEDIUM
menta_tickets,ticket resale infrastructure para ticketing and events.,1,MEDIUM
mentatech,Ticketing and fan exchange infrastructure.,1,MEDIUM
oneinfinite,Cross-border payments orchestration platform.,1,MEDIUM
retrypay,Payment orchestration for ecommerce.,1,MEDIUM
sensei,Autonomous retail computer vision platform.,1,MEDIUM
skyalert,Developer of a satellite seismic warning system designed to prevent the arrival of seismic and meteo,1,MEDIUM
spectrum,startup services and founder tools para startup services.,1,MEDIUM
starlight_ventures,venture capital or ecosystem actor para venture ecosystem.,1,MEDIUM
stradot,Eco-friendly parking systems for dense cities.,1,MEDIUM
teramot,AI agent connectivity layer for enterprise systems.,1,MEDIUM
tissue_dynamics,Human organoid and AI platform for drug discovery and toxicology.,1,MEDIUM
travelx,software and market infrastructure para cross-sector enterprise markets.,1,MEDIUM
verge_ag,Farm machinery path-planning software.,1,MEDIUM
vmind,AI compute acceleration software.,1,MEDIUM
webee,Industrial IoT and AI platform for manufacturing operations.,1,MEDIUM
wisy,AI retail execution and shelf intelligence platform.,1,MEDIUM
zipnova,software and market infrastructure para cross-sector enterprise markets.,1,MEDIUM
