startup_id,name,funding_stage,computed_quality_score,tech_depth,short_description,source,confidence,notes
agritech-bolivia-bo,AgriTech Bolivia,series-a,7.0,medium,Biotech startup from AgriTech Bolivia,BD_Inference,0.7,"Founded 2018, 0 investors"
agricultic-do,Agricultic,series-a,7.0,medium,Biotech startup from Agricultic,BD_Inference,0.7,"Founded 2020, 0 investors"
agrigenetic-ecuador-ec,Agrigenetic Ecuador,series-a,7.0,medium,Biotech startup from Agrigenetic Ecuador,BD_Inference,0.7,"Founded 2019, 0 investors"
agro360-do,Agro360,series-a,7.0,medium,Biotech startup from Agro360,BD_Inference,0.7,"Founded 2020, 0 investors"
agrobit-bolivia-operations-bo,Agrobit (Bolivia operations),growth,7.5,medium,Biotech startup from Agrobit (Bolivia operations),BD_Inference,0.7,"Founded 2015, 0 investors"
agrocontrol-gt,Agrocontrol,series-a,7.0,medium,Biotech startup from Agrocontrol,BD_Inference,0.7,"Founded 2020, 0 investors"
agroguia-ve,Agroguía,series-a,7.0,medium,Biotech startup from Agroguía,BD_Inference,0.7,"Founded 2020, 0 investors"
agroscan-ec,Agroscan,seed,6.0,medium,Biotech startup from Agroscan,BD_Inference,0.7,"Founded 2021, 0 investors"
alecrim-biotech-br,Alecrim Biotech,series-a,7.0,medium,Biotech startup from Alecrim Biotech,BD_Inference,0.7,"Founded 2018, 0 investors"
biodiverso-insumos-br,BioDiverso Insumos,growth,7.5,medium,Biotech startup from BioDiverso Insumos,BD_Inference,0.7,"Founded 2016, 0 investors"
biohack-uio-ec,BioHack UIO,series-a,7.0,medium,Biotech startup from BioHack UIO,BD_Inference,0.7,"Founded 2020, 0 investors"
biolife-innovations-bo,BioLife Innovations,series-a,7.0,medium,Biotech startup from BioLife Innovations,BD_Inference,0.7,"Founded 2018, 0 investors"
biometrics-medellin-co,BioMetrics Medellin,series-a,7.0,medium,Biotech startup from BioMetrics Medellin,BD_Inference,0.7,"Founded 2020, 0 investors"
bioprocess-automation-brasil-br,BioProcess Automation Brasil,series-a,7.0,medium,Biotech startup from BioProcess Automation Brasil,BD_Inference,0.7,"Founded 2018, 0 investors"
biotech-cr,BioTech,series-a,7.0,medium,Biotech startup from BioTech,BD_Inference,0.7,"Founded 2020, 0 investors"
biogenesis-bago-ec,Biogenesis Bago,growth,7.5,medium,Biotech startup from Biogenesis Bago,BD_Inference,0.7,"Founded 2005, 0 investors"
biolinker-br,Biolinker,series-a,7.0,medium,Biotech startup from Biolinker,BD_Inference,0.7,"Founded 2018, 0 investors"
bioram-mx,Bioram,series-a,7.0,medium,Biotech startup from Bioram,BD_Inference,0.7,"Founded 2018, 0 investors"
biorefinery-tech-brazil-br,Biorefinery Tech Brazil,growth,7.5,medium,Biotech startup from Biorefinery Tech Brazil,BD_Inference,0.7,"Founded 2017, 0 investors"
bontix-do,Bontix,series-a,7.0,medium,Biotech startup from Bontix,BD_Inference,0.7,"Founded 2020, 0 investors"
cepha-biotech-br,CEPHA Biotech,growth,7.5,medium,Biotech startup from CEPHA Biotech,BD_Inference,0.7,"Founded 2016, 0 investors"
caribbean-medtech-do,Caribbean MedTech,series-a,7.0,medium,Biotech startup from Caribbean MedTech,BD_Inference,0.7,"Founded 2020, 0 investors"
cellmeat-brasil-br,Cellmeat Brasil,seed,6.0,medium,Biotech startup from Cellmeat Brasil,BD_Inference,0.7,"Founded 2021, 0 investors"
cellva-ingredients-br,Cellva Ingredients,series-a,7.0,medium,Biotech startup from Cellva Ingredients,BD_Inference,0.7,"Founded 2018, 0 investors"
consiste-br,Consiste,growth,7.5,medium,Biotech startup from Consiste,BD_Inference,0.7,"Founded 2017, 0 investors"
digital-twin-corporation-cr,Digital Twin Corporation,series-a,7.0,medium,Biotech startup from Digital Twin Corporation,BD_Inference,0.7,"Founded 2020, 0 investors"
dimitra-bolivia-operations-bo,Dimitra (Bolivia operations),growth,7.5,medium,Biotech startup from Dimitra (Bolivia operations),BD_Inference,0.7,"Founded 2013, 0 investors"
eatcloud-co,EatCloud,series-a,7.0,medium,Biotech startup from EatCloud,BD_Inference,0.7,"Founded 2019, 0 investors"
ecocycle-biotech-ec,Ecocycle Biotech,seed,6.0,medium,Biotech startup from Ecocycle Biotech,BD_Inference,0.7,"Founded 2021, 0 investors"
energytop-via-proinpa-bo,Energytop (via Proinpa),growth,7.5,medium,Biotech startup from Energytop (via Proinpa),BD_Inference,0.7,"Founded 2012, 0 investors"
fermentlabs-co,FermentLabs,series-a,7.0,medium,Biotech startup from FermentLabs,BD_Inference,0.7,"Founded 2020, 0 investors"
fieldfactors-mx,FieldFactors,growth,7.5,medium,Biotech startup from FieldFactors,BD_Inference,0.7,"Founded 2017, 0 investors"
geanext-cr,GeaNext,series-a,7.0,medium,Biotech startup from GeaNext,BD_Inference,0.7,"Founded 2020, 0 investors"
healthpoint-bo,HealthPoint,series-a,7.0,medium,Biotech startup from HealthPoint,BD_Inference,0.7,"Founded 2019, 0 investors"
hem-healthtech-co,Hem Healthtech,seed,6.0,medium,Biotech startup from Hem Healthtech,BD_Inference,0.7,"Founded 2021, 0 investors"
innovatech-bo,Innovatech,series-a,7.0,medium,Biotech startup from Innovatech,BD_Inference,0.7,"Founded 2018, 0 investors"
krtl-biotech-bolivia-expansion-bo,KRTL Biotech (Bolivia expansion),growth,7.5,medium,Biotech startup from KRTL Biotech (Bolivia expansion),BD_Inference,0.7,"Founded 2010, 0 investors"
labtronics-sas-co,Labtronics SAS,growth,7.5,medium,Biotech startup from Labtronics SAS,BD_Inference,0.7,"Founded 1999, 0 investors"
lifepack-co,Lifepack,series-a,7.0,medium,Biotech startup from Lifepack,BD_Inference,0.7,"Founded 2020, 0 investors"
lilliput-technologies-cr,Lilliput Technologies,series-a,7.0,medium,Biotech startup from Lilliput Technologies,BD_Inference,0.7,"Founded 2020, 0 investors"
lilliput-technologies-ltd-cr,Lilliput Technologies Ltd.,series-a,7.0,medium,Biotech startup from Lilliput Technologies Ltd.,BD_Inference,0.7,"Founded 2020, 0 investors"
