"entity_name","entity_type","relationship_to_1200","source_url","official_description","latam_signal","bio_vc_latam_action","notes"
"Third Sphere","fund","underlying_fund","https://www.twelvehundred.vc/investments","UrbanTech and Hardware fund with systems lens supporting ClimateTech startups across the US and Europe.","no_latam_startup","do_not_add_startup_edge","Useful as fund-of-funds exposure, but current graph only models investor-to-startup edges."
"Lowercarbon Capital","fund","underlying_fund","https://www.twelvehundred.vc/investments","Climate investor supporting clean energy, carbon capture and sustainability startups.","no_latam_startup","do_not_add_startup_edge","Potential co-investor lens, not a direct LATAM startup edge."
"Endurance28","fund","underlying_fund","https://www.twelvehundred.vc/investments","Investor tackling climate, health and digital economy across US and LatAm.","latam_fund_signal","fund_entity_candidate","Could be useful if we later model fund-to-fund or indirect exposure."
"Quantonation","fund","underlying_fund","https://www.twelvehundred.vc/investments","Early-stage investor in quantum and deep physics.","no_latam_startup","do_not_add_startup_edge","Not a startup edge."
"ONEVC","fund","underlying_fund","https://www.twelvehundred.vc/investments","Seed-stage VC backing Brazilian founders across fintech, SaaS, logistics and healthcare.","latam_fund_signal","fund_entity_candidate","Important Brazil/LatAm fund candidate, but not a startup edge."
"Tamarack Global","fund","underlying_fund","https://www.twelvehundred.vc/investments","Global DeepTech investor.","no_latam_startup","do_not_add_startup_edge","Not a startup edge."
"Leap Global Partners","fund","underlying_fund","https://www.twelvehundred.vc/investments","Investor across US and Latin America in commerce, fintech and SaaS.","latam_fund_signal","fund_entity_candidate","LatAm generalist fund candidate; low thesis specificity."
"Cantos","fund","underlying_fund","https://www.twelvehundred.vc/investments","Near-frontier science and engineering investor in energy, space, AI and bio.","no_latam_startup","fund_entity_candidate","Relevant science/bio fund lens, but no direct LATAM startup edge from this source."
"Clivi","startup","direct_investment","https://www.twelvehundred.vc/investments","AI-powered virtual clinics for chronic disease care across Latin America.","latam_startup_mexico","added_exclude_edge","Added 1200 VC -> Clivi edge; classified exclude because evidence is digital care delivery, not material BIO thesis."
"The Lumber Manufactory","startup","direct_investment","https://www.twelvehundred.vc/investments","Technology-enabled sawmills and platforms for forestry/timber supply chains.","outside_latam_us","do_not_add_to_latam_master","Planetary/materially relevant, but US-focused."
"101OBEX","startup","direct_investment","https://www.twelvehundred.vc/investments","API design, development, management and maintenance platform.","outside_latam_or_unclear","do_not_add_to_bio_master","Digital infrastructure; no BIO/material thesis signal."
"Generational Partners","fund","underlying_fund","https://www.twelvehundred.vc/investments","Frontier technology investor across aerospace, industrials and AI.","no_latam_startup","do_not_add_startup_edge","Not a startup edge."
"Earth AI","startup","direct_investment","https://www.twelvehundred.vc/investments","AI and vertically integrated exploration for critical mineral discovery.","outside_latam_us_australia","do_not_add_to_latam_master","Planetary/material relevance, but not LATAM."
"Vital Lyfe","startup","direct_investment","https://www.twelvehundred.vc/investments","Compact systems generating clean water from seawater or brackish sources.","outside_latam_us","do_not_add_to_latam_master","Planetary/water relevance, but not LATAM."
"General Biological","startup","direct_investment","https://www.twelvehundred.vc/investments","Fermentation infrastructure for industrial biotechnology and shift from petrochemical to biological production.","outside_latam_us","do_not_add_to_latam_master","Very BIO/materially relevant, but not LATAM."
