startup_id,name,description,core_focus,industry_sector,maturity,confidence,priority_assessment,source_found,notes
1,agroadvance,"Online agribusiness education platform offering training in biotech crops, plant nutrition, and data science in agriculture. Provides courses for entry-level to management training in bio inputs and sugarcane sectors.","Agribusiness education, bio inputs training, crop science, plant nutrition","Agtech, Education",Scale-up,0.85,QUESTIONABLE,"Crunchbase, PitchBook, Facebook, Google Play","Education-focused, not core biotech R&D. Classification depends on treating agri-education as bio-adjacent. Raised $1.65M from Baraúna, Anima Ventures, SLC Ventures. Founded 2018."
2,aloi,"AI tax compliance and enterprise data platform. Limited public information available; search returned generic tax compliance platforms (Avalara, etc.) but no dedicated Aloi profile.","AI, tax compliance, enterprise data","Software/SaaS, Fintech",Unknown,0.3,EXCLUDE,"General search results for tax software","Minimal web presence. No dedicated Aloi company profile found despite multiple search attempts. May be internal name or very early stage. Insufficient data for biotech classification."
3,bacu,"Cadena foodtech providing restaurant operations software. Limited public profile; general search returned industry info but no specific Bacu product/company details.","Food operations, restaurant software, SaaS","Food Systems, Software",Unknown,0.35,EXCLUDE,"Food industry resources, general foodtech articles","No specific Bacu company profile found. Search returned general foodtech/FoodTechAI/Restaurant365 info. Likely early-stage or internal name. Insufficient biotech relevance."
4,capim,"Vertical SaaS for dental clinic management with embedded Buy Now Pay Later (BNPL) financing. Digitizes clinic operations, patient management, financials, and offers up to 36-month patient credit.","Healthcare fintech, dental SaaS, BNPL, embedded finance","Healthcare/Fintech",Scale-up,0.88,EXCLUDE,"Crunchbase, ZoomInfo, QED Investors, fintech.global, arabfounders","$26.7M Series A (Feb 2025). Received positive reception with 6,000+ clinics and 60,000+ patients financed. Not biotech—healthcare SaaS/fintech vertically integrated for dentistry."
5,circular,"Professional network and recruiting platform. Search returned general Brazil recruiting landscape (LinkedIn, Catho, Vagas.com, Gupy) but no specific Circular platform.","Professional networking, recruiting, HR SaaS","Software/SaaS, HR Tech",Unknown,0.25,EXCLUDE,"Job boards/recruiting platforms overview articles","No dedicated Circular company profile found. Search returned competitive landscape but not the target company. Insufficient data; likely early-stage or pivoted."
6,cobli,"Fleet tracking, video telemetry and logistics efficiency platform. Provides real-time vehicle tracking, AI-powered driver behavior monitoring, route optimization, geofencing, and maintenance management for 100,000+ vehicles.","IoT, telematics, video telemetry, AI, fleet management, logistics optimization","Software/SaaS, Logistics Tech",Scale-up,0.92,EXCLUDE,"Crunchbase, CBInsights, Tracxn, IFC press release, Qualcomm Ventures","Founded 2015 in São Paulo. 400+ employees, 100%+ YoY growth. IFC investment for transport efficiency. Not biotech—logistics/IoT platform."
7,egg,"Online programming education platform with focus on collaborative learning. Egg.live is based in Mendoza, Argentina; trains 1,500+ people in full-stack web programming and test automation; 80% graduation rate.","Programming education, collaborative learning, online training, AI + learning science","EdTech, Software",Scale-up,0.81,EXCLUDE,"egg.live, Crunchbase, egghead.io","Founded 2015 in Mendoza, Argentina. Not biotech—pure educational technology platform for software engineering."
8,erural,"Largest Brazilian livestock marketplace. Online platform for buying/selling cattle via auctions and fixed-price 'Shopping erural' marketplace. Founded 2013 in Salvador, Bahia.","E-commerce, livestock marketplace, animal trading, agribusiness platform","Agtech/Agribusiness, E-commerce",Scale-up,0.85,QUESTIONABLE,"Crunchbase, SignalHire, Capria, PitchBook, Dealroom","Founded 2013. Not biotech R&D but supports livestock value chain. Depends on whether livestock marketplace counts as bio-adjacent. More commerce than biotech."
9,flexza,"Flexible health benefits and compensation platform. Limited public profile; search returned generic flexible benefits platforms (Forma, Benepass, etc.) but no dedicated Flexza profile.","HR tech, employee benefits, compensation, flexible benefits","Software/SaaS, HR Tech",Unknown,0.35,EXCLUDE,"Flexible benefits platform articles (Forma, Benepass, Flex Facts)","No dedicated Flexza company profile found. Search results covered industry landscape. Insufficient data. Likely internal name or very early stage."
10,frete_com,"Digital freight and logistics platform. Latin America's largest freight marketplace. Connects shippers with truck drivers. Processes US$18.7B in transactions, handles 1.7M shipments/month, serves 40% of Brazilian trucks.","Digital logistics, freight marketplace, SaaS, transportation platform","Logistics Tech, Software/SaaS",Established,0.95,EXCLUDE,"Crunchbase, CBInsights, Tracxn, multiple news sources","Founded 2013. Unicorn ($1B+ valuation) backed by SoftBank & Tencent. Subsidiaries: FretePago (fintech), CargoX (insurance/capital). Not biotech—logistics platform."
11,gbm,"Digital investment and brokerage platform. Operates in Mexico (35+ years), expanded to Brazil, Chile, US. Offers fractional shares, mutual funds, government bonds, retirement accounts, securities lending via mobile app 'GBM+'.","Digital investment, fintech, brokerage, wealth management","Fintech, Software/SaaS",Established,0.9,EXCLUDE,"Crunchbase, TechCrunch, Statista, Brazil Scotiabank brokerage","Founded 35+ years ago in Mexico. Unicorn since 2021 (SoftBank $150M). 1M+ accounts by 2021. Not biotech—financial services/brokerage."
