"alias_startup_id","canonical_startup_id","canonical_name","reason"
"AlgaeBio+","algaebio","algaebio+","Case/source alias from nodes_csv."
"Aplife Biotech","aplife_biotech","Aplife Biotech","Name alias from nodes_csv."
"aplife","aplife_biotech","Aplife Biotech","Short historical graph alias."
"BioPlaster Research Inc","bioplaster_research","BioPlaster Research","Legal suffix duplicate; keep shorter canonical product/company name."
"bioplaster_research_inc","bioplaster_research","BioPlaster Research","Legal suffix duplicate; keep shorter canonical product/company name."
"Caspr Biotech","caspr_biotech","Caspr Biotech","Name alias from nodes_csv."
"caspr","caspr_biotech","Caspr Biotech","Short historical graph alias."
"Elytron","elytron_biotech","Elytron Biotech","Short historical graph alias."
"Eywa","eywa_biotech","Eywa Biotech","Short historical graph alias."
"Kresko RNATech","kresko_rnatech","Kresko RNAtech","Case/source alias from nodes_csv."
"Monte Caldera Technology","monte-caldera-technology","Monte Caldera Technology","Canonical spelling guard."
"monte_caldera","monte-caldera-technology","Monte Caldera Technology","Short historical graph alias."
"Nano Jump","nanojump_bio","Nano Jump Bio","Short historical graph alias."
"Nano Jump Bio","nanojump_bio","Nano Jump Bio","Name alias from nodes_csv."
"Nanogrow","nanogrow_biotech","Nanogrow Biotech","Short historical graph alias."
"New Organs","new_organs_biotech","New Organs Biotech","Short historical graph alias."
"plamic_biotech","plamic","Plamic","Duplicate row for same startup; keep established Plamic canonical id."
"Syocin Biotech","syocin-biotech","Syocin Biotech","Canonical spelling guard."
"syocin_bio","syocin-biotech","Syocin Biotech","Short historical graph alias."
