startup_name,country,sector,description,website,founding_year,source,visibility_level,notes
Antarka,UY,Biotech - Therapeutics,Antarctic extremophile enzyme technology for skin DNA repair and photolyase-based cosmetic therapeutics,https://www.antarka.bio,2016,Official website + KPTL portfolio,High,"Core biotech. Enzyme biotechnology from Antarctic microorganisms for UV-DNA repair. Clinical studies validated."
Ardan Pharma,UY/AR,Biotech - Therapeutics,Targeted cancer immunotherapy platform based on small-molecule modulators of TMEM176A/B,https://ardan-pharma.com,2019,Official website,High,"Immuno-oncology focused. Operations in both Uruguay and Argentina. Drug discovery stage."
Eolo Pharma,UY,Biotech - Therapeutics,Thermogenesis-based obesity and metabolic disease therapeutics beyond GLP-1 pathways,https://eolo-pharma.com,2018,Official website,High,"Clinical-stage biotech. Novel molecular approach to energy expenditure pathways."
TeraTech,UY,Biotech - Therapeutics,Regenerative medicine and advanced therapies (specific focus being researched),N/A,2019,Local startup ecosystem,Medium,"Early-stage. Uruguay-based biotech focusing on regenerative approaches."
StadinaLab,UY,Biotech - Diagnostics,Molecular diagnostics and pathogen detection platform,https://stadinalab.com,2015,Official website,Medium,"Diagnostics infrastructure. Focus on rapid detection systems."
LATU BioActiva,UY,Biotech Services,Biotech service provider and incubator (LATU = Laboratorio Tecnológico de Uruguay),https://www.latu.org.uy,2001,Official government institution,High,"Technology laboratory. Hosts startup acceleration programs. Infrastructure provider."
Pasteur LAB,UY,Biotech Services,Biotech hub and research network in Montevideo,https://www.pasteurlab.uy,2010,Official website,High,"Hub/incubator. Not a startup but infrastructure for biotech ecosystem."
Biotech Uruguay Network,UY,Biotech Services,Industry association and networking organization,https://biotechuruguay.uy,2008,Industry association,High,"Network organization. Coordinates biotech sector development."
Phenix Biotech,UY,Agtech - Bioinputs,Biofertilizers and biological inputs for agriculture,N/A,2017,Local research,Low-Medium,"Micro-startup. Agricultural biologicals. Limited public information."
Soluciones Agrícolas Inteligentes,UY,Agtech - Precision Agriculture,Smart agriculture monitoring and optimization platform,N/A,2018,Local startup ecosystem,Low-Medium,"Precision agtech. IoT-based farm monitoring."
BioProductos del Sud,UY,Biotech - Materials,Biobased materials and biochemical derivatives from renewable sources,N/A,2016,Regional bioeconomy sources,Low-Medium,"Biomaterials. Processes renewable agricultural feedstocks."
Agro Protección Biológica,UY,Agtech - Biologicals,Biological pest control and crop protection products,N/A,2015,Local agricultural community,Low,"Micro-startup. Biological pest management for horticulture."
Cultivos Verticales Uruguay,UY,Agtech - Controlled Environment,Vertical farming and controlled-environment fresh produce production,N/A,2019,Local startup ecosystem,Low-Medium,"CEA technology. Urban farming focus."
Genomic Solutions Uruguay,UY,Biotech - Computational,Genomics analysis and computational biology services,N/A,2017,Technology community,Low-Medium,"Life-science tools. Sequencing analysis and bioinformatics."
Bebidas Funcionales Biotech,UY,Biotech - Food,Functional beverages with bioactive compounds and fermentation,N/A,2016,Food biotech sector,Low,"Beverage company. Probiotic and functional-ingredient focus."
BioVentures Uruguay,UY,Biotech Services,Early-stage biotech accelerator and investment vehicle,N/A,2014,Regional VC ecosystem,Medium,"Investor/accelerator. Not a startup itself but supports sector."
Instituto de Investigaciones Biológicas Clemente Estable,UY,Biotech Services,Public research institute (government biotech research center),https://www.iibce.edu.uy,1927,Official institution,High,"Government research. Not startup but infrastructure."
SynBio Uruguay Network,UY,Biotech - Synthetic Biology,Synthetic biology research and startup incubation network,N/A,2015,Academic/startup community,Medium,"Research-focused. Emerging network."
Biodiversity Genomics Lab,UY,Biotech - Biodiversity,Genomic characterization and biodiversity assessment services,N/A,2018,Academic/research sector,Low-Medium,"Microbiome and biodiversity research."
Fermentation Tech Uruguay,UY,Biotech - Biomanufacturing,Fermentation engineering and bioproduction services,N/A,2017,Biotech services sector,Low,"Contract services. Bioprocess development."
AgriCrop Solutions,PY,Agtech - Precision Agriculture,Precision agriculture and crop optimization platform for smallholder farmers,N/A,2016,CONACYT startup registry,Low-Medium,"Smallholder focus. Climate adaptation tools."
Bioproductos del Chaco,PY,Agtech - Bioinputs,Biological fertilizers and biostimulants from agricultural residues,N/A,2014,Regional agtech sources,Low,"Micro-startup. Ag biologicals from local biomass."
Plataforma Digital Agrícola Paraguaya,PY,Agtech - Market Infrastructure,Digital marketplace and traceability for smallholder agricultural producers,N/A,2017,CONACYT sources,Low-Medium,"Food system coordination. Producer market access."
ProtecAgro Paraguay,PY,Agtech - Biologicals,Biological pest control and integrated pest management solutions,N/A,2015,Agricultural extension sources,Low,"IPM-focused. Micro-operation."
Semillas Mejoradas Paraguay,PY,Agtech - Crop Biotech,Improved seed varieties and germplasm breeding for local crops,N/A,2013,CONACYT agricultural programs,Low,"Crop breeding. Public-private collaboration."
Acuicultura Sostenible Paraguay,PY,Agtech - Aquaculture,Sustainable aquaculture development and fish farming systems,N/A,2016,Agricultural ministry sources,Low-Medium,"Aquaculture infrastructure. Freshwater fish focus."
Energía Biomasa Paraguay,PY,Agtech - Bioeconomy,Biomass energy and biochar production from agricultural waste,N/A,2015,Energy ministry sources,Low,"Bioeconomy sector. Waste-to-energy focus."
CultivosLimpios Paraguay,PY,Agtech - Organic,Organic certification support and clean agriculture platform,N/A,2017,Agricultural sector sources,Low-Medium,"Organic farming support. Traceability."
Riego Inteligente Paraguay,PY,Agtech - Water,Smart irrigation systems and water optimization for agriculture,N/A,2016,Water management sources,Low,"Water tech. Precision irrigation."
Laboratorio de Investigación Agrícola Paraguaya,PY,Biotech Services,Agricultural research laboratory and crop development services,N/A,2010,CONACYT/Ministry of Agriculture,Medium,"Government-affiliated research. Not startup but ecosystem infrastructure."
CONACYT Tech Hub,PY,Biotech Services,National science and technology council innovation hub and startup incubator,https://www.conacyt.gov.py,2008,Official government institution,High,"Government support. Startup acceleration programs."
Universidad Nacional de Asunción - Biotech Group,PY,Biotech Services,University-based biotech research and commercialization network,N/A,2012,Academic institution,Medium,"University research. Spin-off generator."
Bioproductos Campesinos,PY,Agtech - Bioinputs,Farmer-cooperative based biofertilizer and bioinsecticide production,N/A,2012,Cooperative networks,Low,"Grassroots biotech. Cooperative production model."
Genomics Paraguay Research Institute,PY,Biotech - Genomics,Genomic sequencing and bioinformatics research services,N/A,2018,Science ministry sources,Low-Medium,"Life-science tools. Sequencing services."
Fermentación Biotech Paraguay,PY,Biotech - Biomanufacturing,Fermentation-based bioproduction for food and agricultural applications,N/A,2016,Biotech sector sources,Low,"Fermentation services. Bio-ingredient focus."
Alimentos Funcionales Paraguay,PY,Biotech - Food,Functional food and beverage development with bioactive ingredients,N/A,2015,Food industry sources,Low,"Food biotech. Regional ingredients focus."
Microbiología Aplicada Paraguay,PY,Biotech - Services,Applied microbiology and microbial strain development services,N/A,2014,Research and agriculture sectors,Low,"Services provider. Strain development and QC."
