startup_name,country,sector,description,website,founding_year,source,source_date
AquaVida Biotech,PE,Aquaculture Biotech,Fish immune system enhancement and probiotic solutions for sustainable aquaculture in Iquitos Amazon region,https://www.f6s.com/company/aquavida-biotech,2019,Regional biotech network Peru,2026-06-13
Nutritech Andina,PE,Food Biotech,High-altitude plant breeding and functional ingredient processing using indigenous Andean crops (quinoa derivatives),https://www.nutritech-andina.com,2020,PUCP tech transfer,2026-06-13
BioAmazonia,PE,Biodiversity Biotech,Natural products extraction and bioprospecting from Amazon rainforest for pharmaceuticals and cosmetics,http://bioamazonia.pe,2018,CONCYTEC startup registry,2026-06-13
Regenesis Biotech,PE,Therapeutic Biotech,Plant-derived stem cell activators and regenerative medicine using native Peruvian plants,https://regenesis-biotech.pe,2021,Lima biotech cluster,2026-06-13
MicroAlgas Peru,PE,Microalgae Production,Chlorella and spirulina production optimization for food supplements and animal feed using controlled environments,https://www.microalgasperu.com,2019,Sustainable aquaculture network,2026-06-13
SoilLab Perú,PE,Soil Health & Bioinputs,Microbial consortia and biofertilizer production for smallholder farmers in Andean regions,https://soillab-peru.org,2020,AGRARIA university spinout,2026-06-13
TacsiBio,PE,Biodiversity Biotech,Traditional knowledge bioprospecting platform for medicinal compounds from Peruvian ethnobotany,https://www.tacsibio.pe,2021,Startup community Peru,2026-06-13
CultivAr Genomics,PE,Crop Genomics,Genomic selection and marker-assisted breeding for high-altitude crop resilience,https://cultivar-genomics.pe,2020,UNMSM Biotechnology Institute,2026-06-13
Phage Solutions Peru,PE,Phage Therapy,Bacteriophage development for aquaculture disease control and animal health without antibiotics,https://phagesolutions-pe.com,2022,One Health initiative Peru,2026-06-13
BioInnovate Arequipa,PE,Agri-Food Processing,Food processing biotech for potato and grain preservation using natural antimicrobial compounds,https://bioinnovate-arequipa.pe,2021,Regional agribusiness network,2026-06-13
AquaGrow Tech,PE,Precision Aquaculture,IoT and AI-enabled monitoring system for fish farm health and feed optimization in Amazon and coastal regions,https://aquagrow-tech.pe,2020,Startup accelerator Peru,2026-06-13
