"raw_edge_id","source_id","target_id","source_file","relation_type_raw","direction_status","investor_id_candidate","startup_id_candidate","confidence_score","notes"
"229","AIR Capital","0","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","0","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"122","AIR Capital","Aplife Biotech","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Aplife Biotech","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"142","AIR Capital","Arcomedlab","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Arcomedlab","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"135","AIR Capital","ArgenTAG","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","ArgenTAG","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"129","AIR Capital","Ayuvant","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Ayuvant","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"130","AIR Capital","Blerify","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Blerify","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"127","AIR Capital","Branch Energy","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Branch Energy","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"137","AIR Capital","Cellva","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Cellva","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"132","AIR Capital","Done Properly","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Done Properly","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"119","AIR Capital","Egg","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Egg","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"134","AIR Capital","Epiliquid","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Epiliquid","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"140","AIR Capital","Ergo Foods","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Ergo Foods","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"133","AIR Capital","Ethos","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Ethos","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"124","AIR Capital","Feed Vax","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Feed Vax","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"141","AIR Capital","Gigablue","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Gigablue","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"118","AIR Capital","Inner Cosmos","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Inner Cosmos","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"123","AIR Capital","Laurus","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Laurus","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"120","AIR Capital","Lemon","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Lemon","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"128","AIR Capital","Menta Tickets","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Menta Tickets","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"117","AIR Capital","Novo Space","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Novo Space","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"139","AIR Capital","Onco Precision","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Onco Precision","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"131","AIR Capital","Oncoliq","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Oncoliq","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"113","AIR Capital","Open Water","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Open Water","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"115","AIR Capital","Outpost","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Outpost","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"125","AIR Capital","Puna Bio","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Puna Bio","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
"138","AIR Capital","Satellites On Fire","edgeseco.csv","investment","validated_investor_to_startup","AIR Capital","Satellites On Fire","0.95","CSV suggests investor to startup direction but must be validated against canonical entity types"
