"emergent_theme","macro_theme","theme_description","gridx_alignment","antom_alignment","taxonomy_note"
"food transition ingredients and proteins","food biotech and novel ingredients","Ingredientes, proteínas y soluciones alimentarias biobasadas que reemplazan insumos animales, fósiles o sintéticos.","Agri·food·land use con puentes a Bio·Industry","Despliegue material sobre sistemas alimentarios","Buen theme thesis-core."
"computational biology and life-science software","computational biology and scientific software","Software científico, bioinformática y plataformas computacionales acopladas a descubrimiento biológico o workflows de laboratorio.","Deep·biotech y parte de Human health","Conexión y capa habilitante de conocimiento","Mantener solo cuando el acople a biología sea explícito."
"health diagnostics and medtech","diagnostics and medtech","Diagnóstico, sensores y dispositivos médicos que operan sobre muestras, señales clínicas o decisiones de salud.","Human health","Más bio que nature-tech; entra por sistemas vivos","Muy alineado."
"industrial biotech and molecular tools","biomanufacturing and bioindustrial platforms","Herramientas moleculares, enzimas y plataformas biológicas para producir mejor a escala.","Bio·Industry y Deep·biotech","Despliegue material y sustitución productiva","Muy alineado."
"therapeutic and regenerative biology","therapeutics and regenerative medicine","Plataformas terapéuticas y regenerativas basadas en biología, células o payloads biológicos.","Human health","Biocéntrico; no nature-tech estricta","Theme válido aunque no dialogue tanto con Antom."
"biobased chemistry and materials","biobased chemistry and advanced materials","Química verde, solventes, biomateriales y materiales avanzados que sustituyen rutas fósiles o contaminantes.","Bio·Industry","Despliegue material y límites planetarios","Muy alineado."
"precision agriculture intelligence","precision agriculture and resource intelligence","Plataformas de inteligencia agronómica y decisión sobre cultivos, agua e insumos con fuerte acople material.","Agri·food·land use","MRV y optimización dentro de sistemas productivos vivos","Muy alineado."
"frontier hardware and space systems","frontier hardware and infrastructure systems","Hardware, sensores e infraestructura avanzada para observación, monitoreo o nuevas capacidades productivas.","Deep·biotech cuando habilita el tech stack; parcialmente fuera de GRIDX","Solo entra cuando toca sistemas materiales o ecológicos","Necesita vigilancia editorial."
"climate and resource intelligence platforms","climate, energy and resource systems","Plataformas sobre carbono, recursos, eficiencia, descarbonización o resiliencia material sistémica.","Cruce parcial con Agri·food·land use y Bio·Industry","MRV, transparencia y optimización de sistemas naturales o materiales","Muy útil para ampliar thesis más allá de bio puro."
"circular material systems","climate, energy and resource systems","Soluciones para circularidad material, reciclaje, recuperación o reemplazo de materiales problemáticos.","Bio·Industry parcial","Despliegue material y reducción de presión planetaria","Theme fuerte."
"genome-enabled crop resilience","ag biologicals and crop resilience","Mejora genética y edición para resiliencia de cultivos, mejor performance y menos dependencia química.","Agri·food·land use","Intervención biológica directa sobre producción","Muy alineado."
"extremophile microbial ag inputs","ag biologicals and crop resilience","Bioinsumos microbianos para suelos degradados, estrés ambiental y productividad agrícola.","Agri·food·land use","Intervención biológica directa y regenerativa","Muy alineado."
"data-driven pollination systems","ag biologicals and crop resilience","Tecnologías de polinización apoyadas en biología de abejas y datos para rendimiento y calidad de cultivos.","Agri·food·land use","Biodiversidad funcional dentro de sistemas productivos","Muy alineado con la lente Antom."
"water intelligence for resilient agriculture","precision agriculture and resource intelligence","Inteligencia hídrica y riego para hacer más resiliente la agricultura frente al estrés hídrico.","Agri·food·land use","MRV y optimización de recursos","Muy alineado."
"ag biologicals and animal resilience","ag biologicals and crop resilience","Biológicos para sanidad o resiliencia animal dentro de cadenas agroproductivas.","Agri·food·land use","Intervención biológica en sistemas vivos productivos","Mantener si el acople productivo es claro."
"regenerative agroforestry and carbon systems","climate, energy and resource systems","Modelos regenerativos y agroforestales con captura de carbono y restauración productiva.","Agri·food·land use parcial","Intervención física sobre ecosistemas y carbono","Muy alineado con Antom."
"continuous programmable biomanufacturing","biomanufacturing and bioindustrial platforms","Infraestructura de biofabricación continua, automatizada y programable.","Deep·biotech y Bio·Industry","Despliegue material sobre manufactura compatible con la vida","Puede integrarse como subtheme de biomanufacturing."
"nature restoration and carbon systems","climate, energy and resource systems","Restauración ecológica, captura de carbono y recuperación de ecosistemas degradados.","Fuera del GRIDX clásico","Intervención física sobre ecosistemas degradados","Altamente alineado con Antom."
"fermented functional ingredients","food biotech and novel ingredients","Ingredientes funcionales obtenidos por fermentación para alimentos y consumo.","Agri·food·land use y Bio·Industry","Despliegue material biobasado","Podría vivir como subtheme de food biotech."
"ag biologicals and crop resilience","ag biologicals and crop resilience","Biológicos para nutrición, protección y resiliencia de cultivos.","Agri·food·land use","Intervención biológica productiva","Theme paraguas razonable."
"critical materials and resource systems","climate, energy and resource systems","Separación, refinación o recuperación de materiales críticos con menos impacto y mayor eficiencia.","Bio·Industry parcial","Límites planetarios y transición de recursos","Clave para ampliar tesis."
"natural food preservation systems","food biotech and novel ingredients","Soluciones naturales para preservar alimentos y reducir aditivos o desperdicio.","Agri·food·land use","Despliegue material sobre sistemas alimentarios","Podría integrarse con food biotech."
"ag-input market infrastructure","precision agriculture and resource intelligence","Infraestructura de mercado para insumos agrícolas con fuerte acople a flujos materiales del agro.","Agri·food·land use","Conexión y coordinación de sistemas materiales","Solo si el acople material es muy claro."
"traceability and tokenized resource infrastructure","climate, energy and resource systems","Trazabilidad, pasaportes o tokenización ligados a recursos, cadenas materiales o MRV.","No central en GRIDX","Transparencia y conexión","Theme útil si evita capturar fintech irrelevante."
"microalgae functional ingredients","food biotech and novel ingredients","Ingredientes funcionales o nutracéuticos derivados de microalgas.","Agri·food·land use y Bio·Industry","Despliegue material biobasado","Puede vivir como subtheme de food biotech."
