"startup_id","startup_name","scope_decision","scope_reason","macro_theme","emergent_theme","structured_sector","structured_country","degree","confidence","data_quality_score_10","quality_band","research_priority","entity_basics_score","taxonomy_confidence_score","scope_clarity_score","maturity_evidence_score","graph_context_score","assignment_method","evidence_source","has_current_trl","missing_signals"
"centralo","Centralo","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","2","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"curseduca","Curseduca","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","BR","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"exactly","Exactly","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","2","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"facturama","Facturama","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","MX","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"frubana","Frubana","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","CO/BR","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"grandata","Grandata","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US/AR","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"houm","Houm","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","CL","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"inventa","Inventa","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","BR","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"jampp","Jampp","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR/US","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"kangu","Kangu","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","BR","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"mudafy","Mudafy","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR/MX","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"mural","Mural","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR/US","4","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"payjoy","Payjoy","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US","4","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"pomelo","Pomelo","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","4","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"qive","Qive","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","BR","3","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"quadminds","Quadminds","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","3","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"rsk","Rsk","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","2","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"sirena","Sirena","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","3","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"travelx","TravelX","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US/AR","4","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"uala","Ualá","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","2","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"vercel","Vercel","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US/AR","2","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"workana","Workana","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR/BR","1","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"zipnova","Zipnova","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","2","0.49","7","medium","2","2","1","2","0.5","1.5","sector_default","graph_sector_default","False","thin_graph_context"
"nuvemshop","Nuvemshop","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","BR/AR","8","0.49","7.5","medium","3","2","1","2","0.5","2","sector_default","graph_sector_default","False",""
"properati","Properati","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","5","0.49","7.5","medium","3","2","1","2","0.5","2","sector_default","graph_sector_default","False",""
"retargetly","Retargetly","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","7","0.49","7.5","medium","3","2","1","2","0.5","2","sector_default","graph_sector_default","False",""
"ripio","Ripio","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","AR","5","0.49","7.5","medium","3","2","1","2","0.5","2","sector_default","graph_sector_default","False",""
"securitize","Securitize","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","US/AR","5","0.49","7.5","medium","3","2","1","2","0.5","2","sector_default","graph_sector_default","False",""
"arcus","Arcus","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","4","0.92","8","medium","2","1.5","2","2","1.5","1","manual_override","arcus_official_site_2026","False","country_unconfirmed"
"axenya","Axenya","exclude","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","4","0.84","8","medium","2","1.5","2","2","1.5","1","manual_override","axenya_official_site_2026","False","country_unconfirmed"
"bacu","BACU","exclude","foodtech_but_not_biobased_or_biocentric_thesis_core","peripheral or non-core digital ventures","digital coordination and market infrastructure","Other / Unclassified","","3","0.78","8","medium","2","1.5","2","2","1.5","1","manual_override","bacu_sources_2026","False","country_unconfirmed"
