startup_id,current_description,current_summary,gaps,research_priority
123seguro,Online insurance comparison and brokerage marketpl,(empty),summary|tech|industry,MEDIUM
abastra,Custom software development services company.,(empty),summary|tech|industry,MEDIUM
acuanativa-cl,(empty),(empty),desc|summary|tech|industry,CRITICAL
acuicultura-sostenible-paraguay-py,(empty),(empty),desc|summary|tech|industry,CRITICAL
adnlab-do,(empty),(empty),desc|summary|tech|industry,CRITICAL
aerialoop,Drone logistics and aerial surveillance systems.,(empty),summary|tech|industry,MEDIUM
aeroscan_businessproductivity_software,Developer of a drone monitoring system intended to,(empty),summary|tech|industry,MEDIUM
agricrop-solutions-py,(empty),(empty),desc|summary|tech|industry,CRITICAL
agrigenomics-colombia-co,(empty),(empty),desc|summary|tech|industry,CRITICAL
agro-proteccion-biologica-uy,(empty),(empty),desc|summary|tech|industry,CRITICAL
agro_ai,Artificial Inteligence for Agriculture,(empty),summary|tech|industry,MEDIUM
agroadvance,Agribusiness education and capability platform.,(empty),summary|tech|industry,MEDIUM
aguamarina_biomineria,Aguamarina Biomineria specializes in solutions bas,(empty),summary|tech|industry,MEDIUM
aio_educational_software,Developer of a guidance tool designed to help stud,(empty),summary|tech|industry,MEDIUM
aipha_g,Helping humans interact better with objects by usi,(empty),summary|tech|industry,MEDIUM
alice-br,(empty),(empty),desc|summary|tech|industry,CRITICAL
alimentos-funcionales-paraguay-py,(empty),(empty),desc|summary|tech|industry,CRITICAL
aloi,AI tax compliance and enterprise data platform.,(empty),summary|tech|industry,MEDIUM
alterestate-do,(empty),(empty),desc|summary|tech|industry,CRITICAL
alterna-gt,(empty),(empty),desc|summary|tech|industry,CRITICAL
