"startup_id","startup_name","macro_theme","thesis_fit","trl_current","trl_current_confidence","trl_current_status","trl_current_basis","trl_current_source_url","trl_current_last_checked","trl_current_notes"
"abastra","AbAstra","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"aerialoop","Aerialoop","frontier hardware and infrastructure systems","core","","","pending_research","","","",""
"agrired","Agrired","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"agroforte","Agroforte","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"agrojusto","Agrojusto","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"agrotoken","Agrotoken","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"algaebio","algaebio+","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"alkemio","Alkemio","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"alytix","Alytix","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"apasomics","Apasomics","computational biology and scientific software","core","","","pending_research","","","",""
"apexzymes","APEXzymes","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"aplife","Aplife","computational biology and scientific software","core","","","pending_research","","","",""
"aplife_biotech","Aplife Biotech","biomanufacturing and bioindustrial platforms","core","","","pending_research","","","",""
"arakion","Arakion","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"arcomed","Arcomed","diagnostics and medtech","core","","","pending_research","","","",""
"arcus","Arcus","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"argentag","ArgenTAG","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"arqlite","Arqlite","biobased chemistry and advanced materials","core","","","pending_research","","","",""
"auravant","Auravant","precision agriculture and resource intelligence","core","","","pending_research","","","",""
"auth0","Auth0","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
"avatar_medtech","AVaTAR MedTech","diagnostics and medtech","core","","","pending_research","","","",""
"axenya","Axenya","peripheral or underclassified ventures","under_review","","","pending_research","","","",""
