"startup_id","startup_name","scope_decision","macro_theme","review_status","quality_band","data_quality_score_10","priority","current_summary"
"centralo","Centralo","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"curseduca","Curseduca","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"exactly","Exactly","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"facturama","Facturama","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"frubana","Frubana","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"grandata","Grandata","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"houm","Houm","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"inventa","Inventa","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"jampp","Jampp","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"kangu","Kangu","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"mudafy","Mudafy","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"mural","Mural","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"nuvemshop","Nuvemshop","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7.5","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"payjoy","Payjoy","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"pomelo","Pomelo","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","7","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
