startup_id,startup_name,semantic_single_theme,override_reason,source_url,review_status
sensix,Sensix,agri intelligence and traceable markets,"Source-backed profile describes remote sensing, soil and field analytics; algorithm overweights crop/biological tokens.","https://sensix.ag/",reviewed
agrojusto,Agrojusto,grain traceability and producer infrastructure,"Source-backed profile is producer and agri-food chain infrastructure, not biological inputs.","https://agrojustoinc.com/",reviewed
calice,Calice,agri intelligence and traceable markets,"Source-backed profile is AI genotype-environment decisioning for agriculture; keep separate from crop biological products.","https://calice.ai/eng/",reviewed
seedmatriz,SeedMatriz,ag biologicals and crop resilience,"Source-backed profile centers seed treatment and biological crop productivity rather than generic market infrastructure.","https://seedmatriz.com/en/",reviewed
logshare,LogShare,grain traceability and producer infrastructure,"Source-backed profile is logistics coordination for material supply chains; closest operating category is agri-food/producer infrastructure.","https://www.logshare.com.br/embarcadores?lang=en",reviewed
asclepii,Asclepii,therapeutics and regenerative bio,"Source-backed profile is regenerative wound and tissue repair; low-margin algorithm placement should remain health/regenerative.","https://asclepii.com/",reviewed
bemagro,BemAgro,agri intelligence and traceable markets,"Source-backed profile is drone imagery and farm intelligence, not direct biological crop input.","https://www.bemagro.cloud/en/index.html",reviewed
horus_aeronaves,Horus Aeronaves,agri intelligence and traceable markets,"Source-backed profile is UAV/aerial crop intelligence for agriculture.","https://www.lavca.org/sp-ventures-invests-r3m-in-horus-aeronaves-em-portugues/",reviewed
splight,Splight,resource recovery and remediation,"Source-backed profile is grid and renewable-energy optimization for planetary/resource transition, not bio-health.","https://content.splight-ai.com/blog/ai-powered-grids-the-future-of-efficient-renewable-energy",reviewed
notfossil,NotFossil,resource recovery and remediation,"Source-backed profile is microbial biofilters and hydrocarbon degradation for environmental remediation; algorithm incorrectly pulls toward therapeutics.","https://sf500.com.ar/",reviewed
sensify,Sensify,resource recovery and remediation,"Source-backed profile is cold-chain resource efficiency for food systems; keep with resource/planetary infrastructure rather than crop biologicals.","https://www.sensify.com.ar/",reviewed
agroforte,Agroforte,grain traceability and producer infrastructure,"Source-backed profile is rural finance and production infrastructure for animal-protein systems; not direct ag biologicals.","https://theyieldlablatam.com/companies/agroforte/",reviewed
michroma,Michroma,food ingredients and biofactories,"Source-backed profile is fungal precision fermentation for natural food ingredients and colors.","https://www.michroma.co/",reviewed
nat4bio,Nat4Bio,food ingredients and biofactories,"Source-backed profile is edible coatings and post-harvest food-preservation biotech.","https://www.nat4bio.com/",reviewed
heartbest,Heartbest,food ingredients and biofactories,"Source-backed profile is plant-based dairy and food transition infrastructure.","https://theyieldlablatam.com/companies/heartbest/",reviewed
multiplai_health,MultiplAI Health,clinical diagnostics and medical devices,"Source-backed profile is RNA sequencing and AI screening for cardiovascular and complex disease risk.","https://www.multiplaihealth.com/",reviewed
ergo_bioscience,Ergo Bioscience,food ingredients and biofactories,"Source-backed profile is plant-cell biotechnology for sustainable ingredients across food, health and beauty.","https://www.ergobiotech.com/who-we-are",reviewed
inprenha,Inprenha,ag biologicals and crop resilience,"Source-backed profile is animal reproduction biotechnology for livestock productivity.","https://www.spventures.com.br/",reviewed
agrosmart,Agrosmart,agri intelligence and traceable markets,"Source-backed profile is climate-smart agronomic, irrigation and ESG intelligence for producers.","https://agrosmart.com.br/about/",reviewed
brain_ag,Brain.ag,agri intelligence and traceable markets,"Source-backed profile is agribusiness credit, ESG and socioenvironmental risk analytics.","https://www.serasaexperian.com.br/sala-de-imprensa/agronegocios/serasa-experian-adquire-parte-da-brain-ag-e-fortalece-analise-de-credito-para-o-agronegocio/",reviewed
waterplan,Waterplan,resource recovery and remediation,"Source-backed profile is water-risk and stewardship intelligence for planetary-boundary resource management.","https://www.waterplan.com/",reviewed
soygreen,SoyGREEN,ag biologicals and crop resilience,"Source-backed profile is agricultural microbiology bioinputs for fertilizer substitution and climate mitigation.","https://soygreen.bio/",reviewed
hybridon,Hybridon,biobased materials and waste valorization,"Source-backed profile is antimicrobial nanotechnology and bioactive materials/surfaces.","https://hybridon.com.ar/",reviewed
cerradox,CerradoX,grain traceability and producer infrastructure,"Source-backed profile is traceable crop-production and producer infrastructure for high-value agriculture.","https://cerradox.com/",reviewed
syocin-biotech,Syocin Biotech,ag biologicals and crop resilience,"Source-backed profile is precision protein biobactericides for crop protection and agricultural resilience.","https://syocin.com/",reviewed
