entity_id,canonical_name,country_code,n_edges,investors,sector_inferred,description_found,founded_year,recommendation,final_decision,notes
Satellites On Fire,Satellites On Fire,AR,7,AIR Capital; DraperCygnus; Antom; Inventure; Antom; DraperCygnus; Savia Ventures,"spacetech,climatetech",AI-powered satellite wildfire detection system,,INCLUDE,,
Puna Bio,Puna Bio,AR,6,AIR Capital; GridX; SOSV_IndieBio; GridX; GLOCAL; SP Ventures,"agbiotech,bioinputs",Extremophile bioinoculants for crops. Series A with Gates Foundation.  raised.,2020,INCLUDE,,
argenTAG,argenTAG,AR,6,AIR Capital; DraperCygnus; GridX; DraperCygnus; SOSV_IndieBio; GridX,"genomics,diagnostics",Low-cost long-read DNA sequencing technology,2020,INCLUDE,,
Onco Precision,Onco Precision,AR,5,AIR Capital; GridX; GridX; SOSV_IndieBio; GridX,"biotech,oncology",Patient-focused biologics development for cancer,,INCLUDE,,
Kilimo,Kilimo,AR,4,Antom; Antom; GLOCAL; Kamay Ventures,"agtech,water",AI irrigation optimization. Water savings market.,2014,INCLUDE,,
Skyloom,Skyloom,AR,4,AIR Capital; DragonesVP; DraperCygnus; DraperCygnus,spacetech,Space-based laser networks for planetary connectivity,,INCLUDE,,
UNIBAIO,UNIBAIO,,4,SF500; The Ganesha Lab; Inventure; SF500,biotech,Biotech from GridX portfolio,,INCLUDE,,
Agrojusto,Agrojusto,,3,Antom; Antom; GLOCAL,,,,EXCLUDE,,
Aquit,Aquit,,3,GridX; The Ganesha Lab; GridX,,,,EXCLUDE,,
Ayuvant,Ayuvant,,3,AIR Capital; DraperCygnus; DraperCygnus,,,,EXCLUDE,,
Beeflow,Beeflow,AR,3,GridX; SOSV_IndieBio; GridX,"agtech,pollination",Professional pollination services and technology,2016,INCLUDE,,
Conciencia,Conciencia,,3,Antom; Antom; GLOCAL,,,,EXCLUDE,,
Done Properly,Done Properly,,3,AIR Capital; GLOCAL; Savia Ventures,,,,EXCLUDE,,
Epiliquid,Epiliquid,,3,AIR Capital; CITES; CITES,,,,EXCLUDE,,
Fungi Life,Fungi Life,,3,GridX; GridX; GridX,,,,EXCLUDE,,
Kigui,Kigui,,3,Antom; Inventure; Antom,,,,EXCLUDE,,
Lemon,Lemon,,3,AIR Capital; DraperCygnus; DraperCygnus,,,,EXCLUDE,,
Limay Biosciences,Limay Biosciences,,3,SF500; SF500; CITES,,,,INCLUDE,,
MultiplAI Health,MultiplAI Health,AR,3,SF500; SF500; Zentynel,"healthtech,ai,cardiology",AI + genomic sequencing for cardiovascular disease. Zentynel portfolio.,,INCLUDE,,
Nanotransfer,Nanotransfer,,3,GridX; The Ganesha Lab; GridX,"biotech,gene-therapy",Gene delivery system for gene therapies,,INCLUDE,,
Nat4Bio,Nat4Bio,,3,GridX; Inventure; GridX,"agtech,biocoatings",Bio-based fruit protection coatings,,INCLUDE,,
Novo Space,Novo Space,AR,3,AIR Capital; DraperCygnus; DraperCygnus,spacetech,Modular computing systems for space missions,,INCLUDE,,
Nunatak Biotech,Nunatak Biotech,,3,GridX; GridX; Eatable Adventures,"agbiotech,extremophiles",Extremophile microbes for agriculture,,INCLUDE,,
Oncoliq,Oncoliq,AR,3,AIR Capital; SF500; SF500,"biotech,diagnostics",Breast cancer detection through liquid biopsy,,INCLUDE,,
Ruuts,Ruuts,,3,Antom; Antom; GLOCAL,"agtech,carbon",Agtech startup,,INCLUDE,,
Satellogic,Satellogic,AR,3,DragonesVP; DraperCygnus; DraperCygnus,"spacetech,earth-observation",Vertically integrated geospatial analytics. NASDAQ:SATL. Founded 2010.,2010,INCLUDE,,
SiloReal,SiloReal,AR,3,DraperCygnus; Inventure; DraperCygnus,"agtech,grain-storage",Silobag grain storage monitoring. .5M raised.,2021,INCLUDE,,
Splight,Splight,AR,3,DraperCygnus; DraperCygnus; Savia Ventures,"energytech,grid",AI grid management. .4M raised. US-based Argentine founders.,2021,INCLUDE,,
0,Stämm,AR,3,AIR Capital; GridX; DraperCygnus,"deep-biotech,biomanufacturing",Continuous biomanufacturing of biologics and cell therapies,2016,INCLUDE,,
Sylvarum,Sylvarum,,3,AIR Capital; GridX; GridX,agtech,Electrostimulation technology for plant growth,,INCLUDE,,
TELL,TELL,,3,SF500; The Ganesha Lab; SF500,agtech,Agtech startup,,INCLUDE,,
WerkénVac,WerkénVac,,3,GridX; GridX; GridX,,,,EXCLUDE,,
APEXzymes,APEXzymes,,2,GridX; GridX,,,,EXCLUDE,,
AlgaLife,AlgaLife,,2,GridX; GridX,,,,EXCLUDE,,
Alkemio,Alkemio,,2,GridX; GridX,,,,EXCLUDE,,
Alytix,Alytix,,2,GridX; GridX,,,,EXCLUDE,,
Antarka,Antarka,UY,2,GridX; GridX,"biotech,cosmetics",Antarctic enzymes for skin longevity. Zentynel portfolio.,,INCLUDE,,
Apasomics,Apasomics,,2,GridX; GridX,,,,EXCLUDE,,
Aplife Biotech,Aplife Biotech,,2,AIR Capital; GridX,,,,INCLUDE,,
Auth0,Auth0,,2,DraperCygnus; DraperCygnus,,,,EXCLUDE,,
BEAM CropTech,BEAM CropTech,,2,SF500; SF500,,,,INCLUDE,,
BioBlends,BioBlends,,2,GridX; GridX,,,,INCLUDE,,
