entity_id,canonical_name,entity_type,country_code,description_en,description_es,bio_themes,demand_signals,latam_presence,website
anpcyt,ANPCYT,eso,AR,"Argentina's national agency for science and technology promotion. Manages FONTAR (technology development fund for companies) and FONCyT (research fund for universities and research centers). Provides non-refundable grants, fiscal credits, and subsidized loans for biotech, pharma, agtech, and deeptech startups. Key programs: PRE-SEED for early-stage biotech founders, EMPRETECNO for technology-based companies, PICT for applied research. Funds biotechnology, agricultural biotech, industrial biotech, diagnostics, therapeutics, biomanufacturing. Partners with CONICET and Argentine research universities. Primary public non-dilutive funding source for science-based startups in Argentina.","Agencia Nacional de Promoción Científica y Tecnológica de Argentina. Gestiona FONTAR (fondo tecnológico para empresas) y FONCyT (fondo para investigación). Otorga subsidios, créditos fiscales y préstamos para startups de biotech, pharma, agtech y deeptech. Programas clave: PRE-SEED, EMPRETECNO, PICT. Principal fuente de financiamiento no dilutivo para startups de base científica en Argentina.","Therapeutics;Diagnostics & Devices;Biomanufacturing & Fermentation Economy;Bioinputs & Crop Resilience;Precision Agriculture","grants;fiscal_credits;non_dilutive_funding;R&D_subsidies",argentina,https://www.argentina.gob.ar/ciencia/agencia
embrapa,Embrapa,eso,BR,"Brazilian Agricultural Research Corporation (Empresa Brasileira de Pesquisa Agropecuária). Federal government enterprise with 46 specialized research centers across Brazil. Focus areas: crop biotechnology, biological control agents, genetic resources, precision agriculture, bioinputs, biostimulants, fermentation-based biocontrol, nanotechnology for agriculture. Runs open innovation programs that co-develop technologies with startups (e.g., Krilltech nanotechnology biostimulants). Co-leads annual Radar Agtech Brasil report with SP Ventures. Offers technology licensing and spin-off creation. Key themes: bioinputs, crop resilience, food systems, biomanufacturing, farm intelligence.","Empresa Brasileña de Investigación Agropecuaria. 46 centros de investigación especializados en Brasil. Áreas: biocontrol, recursos genéticos, bioinsumos, biostimulantes, fermentación, nanotecnología agrícola. Programa de innovación abierta que co-desarrolla tecnologías con startups. Co-lidera informe Radar Agtech Brasil con SP Ventures. Licenciamiento tecnológico y creación de spin-offs.","Bioinputs & Crop Resilience;Precision Agriculture;Food Systems & Alt Proteins;Biomanufacturing & Fermentation Economy;Nature & Ecosystem Tech","technology_licensing;open_innovation;spin-off_creation;co-development",brazil,https://www.embrapa.br
finep,FINEP,eso,BR,"Brazil's federal innovation funding agency (Financiadora de Estudos e Projetos). Largest public funder of R&D and innovation in Brazil. Provides both reimbursable financing (loans) and non-reimbursable grants for biotech, agtech, deeptech startups and established companies. Launched BRL 2.18 billion in funding calls via 'Mais Inovação' program (2024), part of Nova Indústria Brasil policy. Sector funds cover: health and biotechnology, agribusiness, energy, environment, ICT. Supports startup incubation, technology parks, and R&D structuring. Finances entire innovation cycle from basic research to market. Key partner with BNDES. Approved R$14 billion for innovation in 2025. Critical for Brazilian biotech startups seeking non-dilutive capital at pre-seed and seed stages.","Agencia federal brasileña de financiamiento a I+D e innovación. La mayor financiadora pública de R&D en Brasil. Otorga subvenciones no reembolsables y créditos reembolsables para biotech, agtech y deeptech. 2.18 mil millones de BRL en convocatorias 2024 vía 'Mais Inovação'. Cubre: salud y biotecnología, agronegócios, energía, medio ambiente. Financia todo el ciclo de innovación. Esencial para startups biotech brasileñas que buscan capital no dilutivo.","Therapeutics;Diagnostics & Devices;Biomanufacturing & Fermentation Economy;Bioinputs & Crop Resilience;Precision Agriculture","grants;loans;non_dilutive_funding;equity_participation",brazil,https://www.finep.gov.br
sebrae,SEBRAE,eso,BR,"Brazilian Support Service for Micro and Small Enterprises (Serviço Brasileiro de Apoio às Micro e Pequenas Empresas). Non-profit managing public funds to support small businesses and startups. Programs: Start Deeptech (pre-acceleration for science-based biotech and deeptech startups, R$500,000+ benefits), Speed (growth-stage acceleration for go-to-market and sales). Sebrae Startups platform: 6,000+ registered startups, 50+ active programs in 13 Brazilian states. Benefits up to BRL 250,000 per startup. Sectors: agtech, food systems, biotech, sustainability, digital health. Strong presence in São Paulo biotechnology hub. Provides mentoring, market access, business development for early-stage biotech and agtech startups.","Servicio Brasileño de Apoyo a la Micro y Pequeña Empresa. ONG que gestiona fondos públicos para apoyar startups. Programas: Start Deeptech (pre-aceleración para biotech y deeptech, beneficios R$500K+), Speed (aceleración para etapa de crecimiento). Plataforma Sebrae Startups: 6,000+ startups registradas, 50+ programas en 13 estados. Sectores: agtech, sistemas alimentarios, biotech, sostenibilidad.","Bioinputs & Crop Resilience;Food Systems & Alt Proteins;Precision Agriculture;Diagnostics & Devices","acceleration;mentoring;grants;market_access",brazil,https://www.sebrae.com.br
inia_chile,INIA Chile,eso,CL,"National Institute of Agricultural Research of Chile (Instituto de Investigaciones Agropecuarias), main government agricultural R&D institute under Chile's Ministry of Agriculture. Founded 1964. 10 regional research centers from northern to southern Chile plus experimental centers and gene banks. Research focus: crop biotechnology (disease-resistant grape, nut, potato, and rice varieties), genomics and molecular biology, precision agriculture, sustainable crop production, bioinputs, integrated pest management, soil health. Strong international partnerships with US and European universities for biotech R&D. Publishes Chilean Journal of Agricultural Research (open access). Technology transfer to farmers and agribusiness. Memorandums of understanding with major US biotech universities.","Instituto Nacional de Investigación Agropecuaria de Chile. Principal centro de I+D agrícola bajo el Ministerio de Agricultura. 10 centros regionales. Foco: biotecnología de cultivos (variedades resistentes a hongos y virus), genómica, agricultura de precisión, bioinsumos, manejo integrado de plagas. Transferencia tecnológica a agricultores y agroindustria. Publica Chilean Journal of Agricultural Research (acceso abierto).","Bioinputs & Crop Resilience;Precision Agriculture;Nature & Ecosystem Tech;Food Systems & Alt Proteins","technology_transfer;research_licensing;co-development",chile,https://www.inia.cl
corfo,CORFO,eso,CL,"Chilean Economic Development Agency (Corporación de Fomento de la Producción). Chile's main public funder for startup development and innovation. Programs: Start-Up Chile BIG equity-free acceleration grants ($15,000–$100,000 per startup), High Tech Program for deeptech and biotech companies, StartupsLabs national accelerator network. Sectors: agtech, biotech, cleantech, fintech, deeptech. Also manages co-investment and venture debt programs. Supports international startups expanding to Chile and LatAm. Backed over 1,600 startups since 2010. Active in bioinputs, precision fermentation, digital agriculture, health tech.","Corporación de Fomento de la Producción. Principal agencia pública de financiamiento a startups e innovación en Chile. Programas: Start-Up Chile BIG (subsidios equity-free $15K–$100K), Programa Alto Tecnología para deeptech y biotech, red de aceleradoras StartupsLabs. Sectores: agtech, biotech, cleantech, deeptech. Ha apoyado más de 1,600 startups desde 2010.","Bioinputs & Crop Resilience;Biomanufacturing & Fermentation Economy;Precision Agriculture;Diagnostics & Devices;Nature & Ecosystem Tech","grants;equity_free_acceleration;co-investment;loans",chile,https://www.corfo.cl
senacyt_panama,SENACYT Panamá,eso,PA,"Panama's National Secretariat of Science Technology and Innovation (Secretaría Nacional de Ciencia Tecnología e Innovación). Autonomous institution since 1997. Awards non-refundable grants up to $175,000 per project. Over USD 2 million in competitive funding to startups annually. Programs: seed capital for new science/technology ventures, capital for scaling-up phase, agricultural innovation projects, ICT innovation grants, social innovation calls. Focus: biodiversity, climate resilience, biotech, agtech, environmental tech. Bridge between Panama's science community and productive/social sectors. Supports startups at science-policy interface for evidence-based pilot projects in biodiversity and climate.","Secretaría Nacional de Ciencia Tecnología e Innovación de Panamá. Institución autónoma desde 1997. Otorga subvenciones no reembolsables hasta USD 175,000 por proyecto. Más de USD 2 millones anuales a startups. Programas: capital semilla para nuevos emprendimientos, capital para escalar, innovación agrícola, ICT. Foco: biodiversidad, resiliencia climática, biotech, agtech, tecnología ambiental.","Bioinputs & Crop Resilience;Nature & Ecosystem Tech;Diagnostics & Devices;Precision Agriculture","grants;seed_capital;non_dilutive_funding",panama,https://www.senacyt.gob.pa
cab_argentina,Cámara Argentina de Biotecnología,organization,AR,"Argentine Biotechnology Chamber (Cámara Argentina de Biotecnología). Non-profit industry association founded 2011 bringing together 38+ leading biotech companies with national presence. Sectors represented: human health therapeutics, food industry biotech, animal and plant health, diagnostics, agricultural biotech, forestry biotech, industrial biotech, biofuels. CAB Startup program integrates new biotech-based companies into the chamber, providing representation, networking, and access to established corporate partners. Organizes BioArgentina annual conference (600+ participants). Represents Argentina at BIO International Convention. Advocates for public-private biotech policy. Primary professional network for Argentine biotech startups seeking corporate partnerships, regulatory support, and market access.","Cámara Argentina de Biotecnología. Asociación gremial fundada en 2011. 38+ empresas líderes. Sectores: salud humana, industria alimentaria, sanidad vegetal y animal, diagnóstico, biotech agrícola, biotech industrial, biocombustibles. Programa CAB Startup integra nuevas empresas al sector. Organiza BioArgentina anual (600+ participantes). Representa a Argentina en BIO International Convention.","Therapeutics;Diagnostics & Devices;Biomanufacturing & Fermentation Economy;Bioinputs & Crop Resilience;Food Systems & Alt Proteins","industry_representation;networking;regulatory_advocacy;corporate_partnerships",argentina,https://www.cabiotec.com.ar
aapresid,AAPRESID,organization,AR,"Argentine Association of No-Till Farmers (Asociación Argentina de Productores en Siembra Directa). Non-governmental organization founded 1989. 1,800+ member farmers managing 11+ million hectares across 9 Argentine provinces and internationally. Innovation ecosystem: 900+ farmers conducting active R&D on their farms across 20+ research topics. Methodology: peer groups identify challenges, design field experiments collaboratively, integrate with INTA, CONICET, and university research. Focus areas: no-till and direct sowing, regenerative agriculture, biological inputs for pest control, precision farming, AI in agriculture, microbiome soil health, biostimulants, cover crops. Annual AAPRESID Congress is Argentina's premier agtech innovation event. Global leader achieving 33% reduction in soil erosion. Strong connector between agtech startups and large-scale Argentine farmers.","Asociación Argentina de Productores en Siembra Directa. ONG fundada en 1989. 1,800+ socios en 11M+ hectáreas. 900+ productores liderando proyectos de I+D. Metodología de innovación colaborativa entre productores e instituciones académicas. Foco: siembra directa, agricultura regenerativa, bioinsumos, agricultura de precisión, IA, microbioma edáfico. Congreso AAPRESID anual es el principal evento agtech de Argentina.","Bioinputs & Crop Resilience;Precision Agriculture;Nature & Ecosystem Tech;Food Systems & Alt Proteins","field_validation;farmer_network;market_access;technology_adoption",argentina,https://www.aapresid.org.ar
arcap,ARCAP,organization,AR,"Argentine Association of Private Equity, Venture Capital and Seed Capital (Asociación Argentina de Capital Privado y Emprendedor). Non-profit founded 2009, relaunched 2017. Represents VC, PE, and seed capital funds investing in Argentina. Sector data: Biotech is top VC sector (17.7% of deals) and top Seed sector (22% of deals); AgTech accounts for 11.8% VC and 8.5% Seed. Publishes annual research on Argentine VC ecosystem, including dedicated reports on AgriFood-Tech venture capital. Advocates for investor-friendly regulation. Bridge between international LPs and Argentine biotech, agtech, and pharma fund managers and startups. Key source of aggregate VC data for Argentina's innovation economy.","Asociación Argentina de Capital Privado y Emprendedor. Fundada 2009, relanzada 2017. Representa fondos de VC, PE y seed en Argentina. Biotech: 17.7% del VC y 22% del capital semilla. AgTech: 11.8% VC. Publica informe anual del ecosistema VC argentino. Conexión entre inversores internacionales y fondos/startups argentinos de biotech y agtech.","Therapeutics;Bioinputs & Crop Resilience;Biomanufacturing & Fermentation Economy;Diagnostics & Devices","venture_capital;seed_capital;private_equity;co-investment",argentina,https://arcap.org
