startup_id,name,funding_stage,computed_quality_score,tech_depth,short_description,source,confidence,notes
agritech-bolivia-bo,AgriTech Bolivia,growth,7.5,medium,AgriTech Bolivia - biotech startup,BD_Inference,0.6,"Founded 2018, 0 investors"
agricultic-do,Agricultic,growth,7.5,medium,Agricultic - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
agrigenetic-ecuador-ec,Agrigenetic Ecuador,growth,7.5,medium,Agrigenetic Ecuador - biotech startup,BD_Inference,0.6,"Founded 2019, 0 investors"
agro360-do,Agro360,growth,7.5,medium,Agro360 - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
agrobit-bolivia-operations-bo,Agrobit (Bolivia operations),growth,7.5,medium,Agrobit (Bolivia operations) - biotech startup,BD_Inference,0.6,"Founded 2015, 0 investors"
agrocontrol-gt,Agrocontrol,growth,7.5,medium,Agrocontrol - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
agroguia-ve,Agroguía,growth,7.5,medium,Agroguía - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
agroscan-ec,Agroscan,seed,6.0,medium,Agroscan - biotech startup,BD_Inference,0.6,"Founded 2021, 0 investors"
alecrim-biotech-br,Alecrim Biotech,growth,7.5,medium,Alecrim Biotech - biotech startup,BD_Inference,0.6,"Founded 2018, 0 investors"
biodiverso-insumos-br,BioDiverso Insumos,growth,7.5,medium,BioDiverso Insumos - biotech startup,BD_Inference,0.6,"Founded 2016, 0 investors"
biohack-uio-ec,BioHack UIO,growth,7.5,medium,BioHack UIO - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
biolife-innovations-bo,BioLife Innovations,growth,7.5,medium,BioLife Innovations - biotech startup,BD_Inference,0.6,"Founded 2018, 0 investors"
biometrics-medellin-co,BioMetrics Medellin,growth,7.5,medium,BioMetrics Medellin - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
bioprocess-automation-brasil-br,BioProcess Automation Brasil,growth,7.5,medium,BioProcess Automation Brasil - biotech startup,BD_Inference,0.6,"Founded 2018, 0 investors"
biotech-cr,BioTech,growth,7.5,medium,BioTech - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
biogenesis-bago-ec,Biogenesis Bago,growth,7.5,medium,Biogenesis Bago - biotech startup,BD_Inference,0.6,"Founded 2005, 0 investors"
biolinker-br,Biolinker,growth,7.5,medium,Biolinker - biotech startup,BD_Inference,0.6,"Founded 2018, 0 investors"
bioram-mx,Bioram,growth,7.5,medium,Bioram - biotech startup,BD_Inference,0.6,"Founded 2018, 0 investors"
biorefinery-tech-brazil-br,Biorefinery Tech Brazil,growth,7.5,medium,Biorefinery Tech Brazil - biotech startup,BD_Inference,0.6,"Founded 2017, 0 investors"
bontix-do,Bontix,growth,7.5,medium,Bontix - biotech startup,BD_Inference,0.6,"Founded 2020, 0 investors"
