"fund_name","home_country","actor_type","latam_activity_level","geographic_focus","stage_focus","sector_focus","relevance","priority_tier","website_url","source_url","source_type","validation_status","notes"
"Araucaria Venture","Chile","VC fund","recurrent LatAm focus","Latin America","early-stage","foodtech; agtech; climate tech","High","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Chile-based food/ag/climate tech VC."
"Dalus Capital","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage; growth","inclusion; climate innovation; business productivity; digital consumers","High","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Purpose-driven entrepreneurs building scalable solutions in LatAm."
"GridX / Grid Exponential","Argentina","company builder / VC","recurrent LatAm focus","Latin America","pre-seed; seed","life sciences; biotech; deep tech; health; agriculture; bioindustry; biomaterials","High","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Life-science venture capital/company builder."
"Invariantes Fund","Guatemala","VC fund / fund of funds","recurrent LatAm focus","Latin America","early-stage","AI/ML; biotech; proptech; deep tech; robotics; foodtech; climate; fintech; many sectors","High","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Hybrid direct + emerging manager model in US/LatAm."
"Pampa Start VC","Argentina","VC fund","recurrent LatAm focus","Latin America","early-stage","agrifoodtech","High","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","AgriFoodTech fund born in Córdoba."
"Salkantay Ventures","Peru","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","education; health; financial services; climate solutions; tech","High","1","","https://www.startuplinks.world/instituciones-de-inversion/salkantay-ventures","directory/report","source-listed","Andean/Spanish-speaking LatAm early-stage VC."
"Veronorte","Colombia","VC fund","recurrent LatAm focus","Latin America","early; growth","impact; sustainability; energy transition; agriculture; mobility; financial inclusion; health; education","High","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Thesis-driven VC for sustainable development."
"Vox Capital","Brazil","impact VC fund","recurrent LatAm focus","Latin America","seed; Series A","impact; sustainability; education; health; financial inclusion","High","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Impact-oriented VC listed by Leaders League."
"VX Ventures","Argentina","corporate VC","recurrent LatAm focus","Latin America","growth/scale-up","low-carbon O&G; carbon removal; energy tech; electrification; circular economy","High","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Vista Energy CVC focused on net-zero transition."
"AC Ventures","Mexico","corporate VC","recurrent LatAm focus","Latin America","early-stage","retailtech; Industry 4.0; fintech; food/snacks; plastics/water","High","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","CVC sponsored by Arca Continental; also LP in VC funds."
