"startup_name","country_hq","layer","ring","primary_category","one_line_thesis","bio_centrality_score","evidence_level","confidence_score","known_investors_or_source","source_url","include_in_core_map"
"Promip","Brazil","Core bio-based","Ring 1 — life-based core","Biological control / macrobiologicals","Biological pest-control products and integrated pest management.","3","A","0.9","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Nativas","Argentina","Bio-centric / regenerative","Ring 2 — bio-material/regenerative","Regenerative agriculture / nature finance","Platform for financing and verifying ecosystem regeneration projects, including native trees and biological corridors.","1","A","0.9","Newtopia? / climate ecosystem","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution","yes"
"Lemu","Chile","Bio-centric / regenerative","Ring 3 — bioeconomy infrastructure","Biodiversity MRV / nature finance","AI and marketplace infrastructure connecting investors with verified biodiversity/climate projects.","0","A","0.88","Climate/nature investors","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution","yes"
"Krilltech","Brazil","Core bio-based","Ring 1 — life-based core","Nano-biofertilizers","Organic nanostructure/nano-biofertilizer for nutrient absorption and crop resilience.","3","A","0.88","Not specified","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution","yes"
"Solinftec","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Autonomous agriculture / precision spraying","Autonomous robots and AI for targeted weed control and herbicide reduction.","0","A","0.84","AgFunder; SP Ventures?; global investors","https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america","yes"
"Symbiomics","Brazil","Core bio-based","Ring 1 — life-based core","Ag biologicals / AI discovery","AI-accelerated development of biological inputs.","3","B","0.86","Corteva; AgFunder cited","https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america","yes"
"Hiamet S.A.","Unknown/LatAm","Core bio-based","Ring 2 — bio-material/regenerative","Biogas / anaerobic digestion","Biotech optimization of anaerobic digestion technologies.","3","B","0.86","GridX","https://www.gridexponential.com/portfolio","yes"
"NoCarbon Milk","Brazil","Bio-centric / regenerative","Ring 2 — bio-material/regenerative","Methane reduction / livestock","Feed supplement aimed at suppressing enteric methane emissions from cattle.","2","B","0.82","Not specified","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution","yes"
"BioPlaster Research","Unknown/LatAm","Core bio-based","Ring 1 — life-based core","Biomaterials / packaging","Biodegradable packaging from invasive sargassum algae.","3","B","0.82","GridX","https://www.gridexponential.com/portfolio","yes"
"Waterplan","Argentina / US","Bio-centric / regenerative","Ring 3 — bioeconomy infrastructure","Water risk / corporate adaptation","Water-risk platform for companies and basins.","0","B","0.82","Newtopia","https://newtopia.vc/portfolio/","yes"
"Tomorrow","Argentina","Bio-centric / regenerative","Ring 2 — bio-material/regenerative","Alternative proteins","Sustainable plant-based protein systems for the food industry.","2","B","0.78","GridX","https://www.gridexponential.com/portfolio","yes"
"Decoy","Brazil","Core bio-based","Ring 1 — life-based core","Biological pest control","Biotechnology for pest control.","3","B","0.78","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Sensix","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Farm data / remote sensing","FieldScan platform for data centralization across farm devices and operations.","0","B","0.76","AgFunder mention","https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america","yes"
"InCeres","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Precision agriculture / soil","Precision agriculture and soil/fertility management platform.","0","B","0.72","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Precision Ag","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Precision spraying / AI","AI and spectral imaging for zone-specific spraying via drones.","0","B","0.72","AgFunder mention","https://agfundernews.com/guest-article-what-the-first-half-of-2025-tells-us-about-agrifoodtech-climate-tech-in-latin-america","yes"
"Algalife","Unknown/LatAm","Core bio-based","Ring 1 — life-based core","Microalgae / bioprocess optimization","Platform for optimizing productive processes based on microalgae.","3","B","0.7","GridX","https://www.gridexponential.com/portfolio","yes"
"TuPlaza","Colombia","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Smallholder platform / market access","Full-stack platform for smallholder farmers offering commercialization, inputs, advice and credit.","0","B","0.7","Startuplinks","https://www.startuplinks.world/startup/tuplaza","yes"
"Leaf","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Agriculture data / MRV","Agricultural data infrastructure; relevant as operating layer for farm sustainability.","0","B","0.66","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Agrofy","Argentina / Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Ag marketplace","Marketplace and digital infrastructure for agriculture.","0","B","0.65","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Genotyping","Brazil","Enabling infrastructure","Ring 3 — bioeconomy infrastructure","Genomics / agriculture","Genotyping platform in SP Ventures portfolio; potential crop/livestock genetics relevance.","1","B","0.64","SP Ventures","https://spventures.com.br/portfolio/","yes"
"Moss","Brazil","Bio-centric / regenerative","Ring 3 — bioeconomy infrastructure","Carbon markets / nature finance","Carbon market/nature finance infrastructure in SP Ventures portfolio.","0","B","0.64","SP Ventures","https://spventures.com.br/portfolio/","yes"
