"startup_id","startup_name","cleanup_priority","current_scope","structured_country","has_capital_signal","source_url","source_type","semantic_or_macro_theme","summary","action_needed"
"caligenia","Caligenia","12","include/confirmed","","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","ag biologicals and crop resilience","Startup agrobiotech que transforma guano de pollo en biofertilizantes carbono-negativos. Entra en tesis por ag biologicals and crop resilience.","fill_founding_or_base_country"
"syocin-biotech","Syocin Biotech","11","include/confirmed","","True","https://syocin.com/","official_website","ag biologicals and crop resilience","Startup ag biotech que desarrolla biobactericidas proteicos de alta precision para proteger cultivos frente a fitopatogenos bacterianos sin afectar microbiomas beneficiosos. Entra en tesis por su uso de biologia sintetica aplicada a resiliencia agricola.","fill_founding_or_base_country"
"apexzymes","APEXzymes","10","include/confirmed","","True","https://apexzymes.com/","official_website","biomanufacturing and bioindustrial platforms","Startup de biotech industrial que desarrolla enzimas de bajo costo usando hongos filamentosos y subproductos agroindustriales para hacer procesos mas sustentables. Entra en tesis por biomanufacturing and bioindustrial platforms.","fill_founding_or_base_country"
"food4you","Food4You","10","include/confirmed","","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","food biotech and novel ingredients","Startup food biotech que usa combinaciones bacterianas para mejorar productos plant-based. Entra en tesis por food biotech and novel ingredients.","fill_founding_or_base_country"
"soygreen","SoyGREEN","10","include/confirmed","","True","https://soygreen.com.ar","candidate_website_from_user_csv","ag biologicals and crop resilience","Startup agrobiotech que desarrolla insumos biologicos y soluciones sustentables para el agro. Entra en tesis por ag biologicals and crop resilience.","fill_founding_or_base_country"
"arqlite","Arqlite","9","include/confirmed","","True","https://curbwaste.com/company-profiles-network/arqlite","secondary_public_profile","biobased chemistry and advanced materials","Empresa de materiales circulares que transforma plasticos dificiles de reciclar en agregados livianos y otros materiales de bajo carbono para construccion y manufactura. Entra en tesis por circular material systems.","fill_founding_or_base_country"
"bioblends","BioBlends","9","include/confirmed","","True","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends","official_public_profile","food biotech and novel ingredients","Startup food-biotech que desarrolla bio-preservantes gaseosos naturales para controlar hongos y extender la vida util de alimentos sin aditivos quimicos. Entra en tesis por food biotech and novel ingredients.","fill_founding_or_base_country"
"bioheuris","Bioheuris","9","include/confirmed","","True","https://bioheuris.com/aboutus","official_website","ag biologicals and crop resilience","Biotech agricola que desarrolla herramientas geneticas y traits editados para mejorar control de malezas y productividad de cultivos. Entra en tesis por ag biologicals and crop resilience.","fill_founding_or_base_country"
"enzyva","Enzyva","9","include/confirmed","","True","https://www.enzyvo.com/about","official_website","biomanufacturing and bioindustrial platforms","TechBio que desarrolla biología programable para manufactura verde, biosensores de precisión y diseño de enzimas. Entra en tesis por biomanufacturing and bioindustrial platforms.","fill_founding_or_base_country"
"fecundis","Fecundis","9","include/confirmed","","True","https://www.fecundis.com/","official_website","therapeutics and regenerative medicine","Biotech de fertilidad que desarrolla tecnologias para mejorar espermatozoides y aumentar la eficacia de tratamientos de infertilidad. Entra en tesis por therapeutics and regenerative medicine.","fill_founding_or_base_country"
"ruuts","Ruuts","9","include/confirmed","","True","https://ruuts.la/","official_website","climate, energy and resource systems","Plataforma de agricultura regenerativa que crea incentivos de mercado asociados a resultados ecologicos medibles: carbono en suelo, biodiversidad, ciclo del agua y transicion productiva de productores rurales.","fill_founding_or_base_country"
"argentag","ArgenTAG","8","include/confirmed","","True","https://sosv.com/company/argentag/","official_company_profile","computational biology and scientific software","Startup de herramientas genómicas que desarrolla una solución escalable de single-cell sequencing para secuenciadores long-read. Entra en tesis por computational biology and scientific software.","fill_founding_or_base_country"
"beam_croptech","BEAM CropTech","8","include/confirmed","","False","https://beamcroptech.com/en/home-en/","official_website","ag biologicals and crop resilience","Agrobiotech que desarrolla tecnologias geneticas basadas en fotobiologia para mejorar fotosintesis, productividad y resiliencia de cultivos. Entra en tesis por ag biologicals and crop resilience.","fill_founding_or_base_country"
"biotalife","Biotalife","8","include/confirmed","","True","https://www.biotalife.com/","official_website","diagnostics and medtech","Medtech que desarrolla dispositivos medicos para reequilibrar naturalmente la microbiota humana, especialmente en salud femenina. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"bitgenia","Bitgenia","8","include/confirmed","","True","https://www.bitgenia.com/nosotros/","official_website","computational biology and scientific software","Empresa de genómica y bioinformática que ofrece análisis clínicos, paneles de genes, exoma/genoma y una plataforma propia para interpretación de datos. Entra en tesis por computational biology and scientific software.","fill_founding_or_base_country"
"bybug","ByBug","8","include/confirmed","","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","biomanufacturing and bioindustrial platforms","Startup biotech que usa insectos geneticamente modificados para biomanufactura terapeutica. Entra en tesis por biomanufacturing and bioindustrial platforms.","fill_founding_or_base_country"
"cellargen_biotech","Cellargen Biotech","8","include/confirmed","","False","https://www.unl.edu.ar/noticias/news/view/la_fbcb_y_cellargen_biotech_s_r_l_producir%C3%A1n_insumos_biotecnol%C3%B3gicos","institutional_public_source","biomanufacturing and bioindustrial platforms","Empresa biotech santafesina que desarrolla vacunas recombinantes, hormonas y otros insumos bioterapeuticos para salud humana y animal. Entra en tesis por biomanufacturing and bioindustrial platforms.","fill_founding_or_base_country"
"cryosmetics","Cryosmetics","8","include/confirmed","","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","biobased chemistry and advanced materials","Startup de personal care biobasado con productos naturales que impactan positivamente el microbioma de la piel. Entra en tesis por biobased chemistry and advanced materials.","fill_founding_or_base_country"
"embryoxite","Embryoxite","8","include/confirmed","","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","diagnostics and medtech","Startup medtech con diagnostico no invasivo para mejorar resultados en IVF. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"enteria","Enteria","8","include/confirmed","","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","diagnostics and medtech","Startup que desarrolla herramientas diagnosticas basadas en microbiota. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"epiliquid","Epiliquid","8","include/confirmed","","True","https://ar.linkedin.com/company/epiliquid","public_company_profile","diagnostics and medtech","Startup biotecnologica que desarrolla una plataforma de biopsia liquida para deteccion temprana de cancer con biomarcadores en sangre. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"ergo_foods","Ergo Foods","8","include/confirmed","","False","https://www.ergobiotech.com/","official_website","food biotech and novel ingredients","Empresa de plant cell biotechnology que desarrolla ingredientes de nueva generación, proteínas recombinantes y herramientas de breeding a partir de células vegetales. Entra en tesis por food biotech and novel ingredients.","fill_founding_or_base_country"
"HIAMET","HIAMET","8","include/confirmed","","True","https://hiamet.com","candidate_website_from_user_csv","diagnostics and medtech","Startup medtech que desarrolla dispositivos medicos y tecnologia para la salud. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"monte-caldera-technology","Monte Caldera Technology","8","include/confirmed","","True","https://montecaldera.com/","official_website","biobased chemistry and advanced materials","Startup de descubrimiento de materiales que usa fisica avanzada y modelado molecular para acelerar I+D en quimica, energia, semiconductores y biotech con foco en materiales mas sustentables.","fill_founding_or_base_country"
"mzp","MZP","8","include/confirmed","","True","https://www.f6s.com/company/mzp","official_portfolio_profile","diagnostics and medtech","Startup medtech que desarrolla diagnostico avanzado de coagulacion para manejo de sangrado en trauma, cirugia, trasplantes y cuidados criticos.","fill_founding_or_base_country"
"nideport","Nideport","8","include/confirmed","","True","https://nideport.com","candidate_website_from_user_csv","climate, energy and resource systems","Startup que desarrolla una plataforma para gestion y comercializacion de creditos de carbono. Entra en tesis por climate, energy and resource systems.","fill_founding_or_base_country"
"outpost","Outpost","8","include/confirmed","","True","https://www.outpost.bio/","official_website","computational biology and scientific software","TechBio que combina wet lab microbiology y machine learning para volver computable la microbiologia humana. Entra en tesis por computational biology and scientific software.","fill_founding_or_base_country"
"protiva","Protiva","8","include/confirmed","","True","https://www.protiva.bio/","official_website","biobased chemistry and advanced materials","Startup de biomateriales y quimica biobasada que desarrolla pigmentos bio-based trazables y validados para procesos textiles reales. Entra en tesis por biobased chemistry and advanced materials.","fill_founding_or_base_country"
"tracestory","Tracestory","8","include/confirmed","","True","https://www.tracestory.com/en/home","official_website","climate, energy and resource systems","Infraestructura de trazabilidad colaborativa y pasaporte digital de producto para cadenas agroalimentarias e industriales. Entra en tesis por transparencia y MRV aplicado a cadenas materiales.","fill_founding_or_base_country"
"bioseek","Bioseek","7","include/confirmed","","True","https://www.f6s.com/company/bioseek","secondary_public_profile","computational biology and scientific software","Plataforma de semantic search y analitica para investigacion en life sciences. Entra en tesis como software cientifico acoplado de forma directa a I+D biologica.","fill_founding_or_base_country"
"break_pet","BreakPET","7","include/confirmed","","False","https://www.gridexponential.com/portfolio","official_portfolio_profile","biobased chemistry and advanced materials","Startup de circularidad de materiales que recicla PET con enzimas ingenierizadas. Entra en tesis por biobased chemistry and advanced materials.","fill_founding_or_base_country"
"caspr_biotech","Caspr Biotech","7","include/confirmed","","False","https://sosv.com/company/caspr-biotech/","official_public_profile","diagnostics and medtech","Startup de diagnostico molecular que desarrolla tests rapidos basados en CRISPR a partir de proteinas Cas propietarias descubiertas en extremofilos. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"elytron_biotech","Elytron Biotech","7","include/confirmed","","False","https://www.elytronbiotech.com/?lang=en","official_website","biomanufacturing and bioindustrial platforms","Biotech que convierte tecnologia de frontera en productos biologicos de alto rendimiento para agricultura y bioindustria, acelerando desarrollo con una plataforma impulsada por IA. Entra en tesis por biomanufacturing and bioindustrial platforms.","fill_founding_or_base_country"
"eywa_biotech","Eywa Biotech","7","include/confirmed","","False","https://www.eywa.bio/","official_website","therapeutics and regenerative medicine","Biotech de salud mental que produce APIs y futuros productos terapeuticos psicodelicos mediante biosintesis y quimica verde. Entra en tesis por therapeutics and regenerative medicine.","fill_founding_or_base_country"
"nanoprox","NanoproX","7","include/confirmed","","True","https://www.nanoprox.com/","official_website","diagnostics and medtech","Startup oncológica que usa nanopartículas para potenciar radioterapia, mejorar eficacia y reducir efectos adversos. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"plamic_biotech","Plamic Biotech","7","include/confirmed","","False","https://www.argentina.gob.ar/noticias/se-conocieron-los-ganadores-del-concurso-innova-salud","official_public_profile","diagnostics and medtech","Startup de microfluidica aplicada a salud que diseña chips lab-on-a-chip para nanomedicina y seleccion personalizada de tratamientos oncologicos.","fill_founding_or_base_country"
"poas_bioenergy","Poás Bioenergy","7","include/confirmed","","False","https://www.poasbioenergy.com/","official_website","climate, energy and resource systems","Climate-tech regenerativa que convierte residuos agrícolas húmedos en energía térmica limpia y biochar, devolviendo carbono al suelo. Entra en tesis por climate, energy and resource systems.","fill_founding_or_base_country"
"siloreal","SiloReal","7","include/confirmed","","True","https://www.siloreal.com/en/","official_website","climate, energy and resource systems","Infraestructura para verificar, digitalizar y valorizar activos agrícolas en campo, habilitando seguro, financiamiento y transacción sobre inventario real. Entra en tesis por acople fuerte a activos materiales del agro.","fill_founding_or_base_country"
"synthetic_ocular_restoration","Synthetic Ocular Restoration","7","include/confirmed","","False","https://sor.international/antecedentes/","official_website","therapeutics and regenerative medicine","Startup de tissue engineering que produce tejido corneal transplantable para restaurar la vision y reducir dependencia de tejido donado. Entra en tesis por therapeutics and regenerative medicine.","fill_founding_or_base_country"
"agree","Agree","6","include/confirmed","","True","https://theyieldlablatam.com/companies/agree/","official_portfolio_profile","climate, energy and resource systems","Plataforma B2B para cadenas agroalimentarias con foco en trazabilidad, sostenibilidad y coordinación comercial de granos, oleaginosas, frutas y verduras. Entra en tesis por su fuerte acople a cadenas materiales agroalimentarias.","fill_founding_or_base_country"
"bioplaster_research_inc","BioPlaster Research Inc","6","include/confirmed","","False","https://www.bioplaster-research.com/english/about-us","official_website","biobased chemistry and advanced materials","Empresa de biomateriales que transforma sargazo y otras biomasas marinas en empaques compostables, espumas y peliculas biodegradables. Entra en tesis por circular material systems.","fill_founding_or_base_country"
"bsafe_biotech","Bsafe Biotech","6","include/confirmed","","False","https://www.bsafebiotech.com/","official_website","ag biologicals and crop resilience","Startup de control biologico que busca un nuevo modo de accion para manejo de plagas usando genetica y microorganismos. Entra en tesis por ag biologicals and crop resilience.","fill_founding_or_base_country"
"eiwa","Eiwa","6","include/confirmed","","True","https://eiwa.ag/en/about-us/","official_website","precision agriculture and resource intelligence","Plataforma agtech para integrar, estandarizar y analizar datos agronomicos a escala en investigacion, desarrollo de mercado y produccion. Entra en tesis por precision agriculture and resource intelligence.","fill_founding_or_base_country"
"nanojump_bio","Nano Jump Bio","6","include/confirmed","","False","https://es.gridexponential.com/project-tag/tools","official_portfolio_profile","diagnostics and medtech","Startup de herramientas moleculares que busca habilitar la extraccion de material genetico en cualquier lugar. Entra en tesis por diagnostics and medtech.","fill_founding_or_base_country"
"nanogrow_biotech","Nanogrow Biotech","6","include/confirmed","","False","https://www.nanogrowbiotech.com/","official_website","therapeutics and regenerative medicine","Biotech terapéutica que desarrolla tratamientos biológicos basados en anticuerpos de dominio único con estrategias avanzadas de delivery. Entra en tesis por therapeutics and regenerative medicine.","fill_founding_or_base_country"
"qnity","Qnity","6","include/confirmed","","True","https://www.linkedin.com/company/qnity","linkedin_company_profile","computational biology and scientific software","Startup de sensing cuantico aplicado a drug discovery: desarrolla sensores electroquimicos para medir interacciones moleculares y afinidad biologica en tiempo real. Entra por operar sobre descubrimiento farmacologico y datos moleculares, con senal LATAM por Brasil/UNESP.","fill_founding_or_base_country"
"single_strand_biotech","Single Strand Biotech","6","include/confirmed","","False","https://www.singlestrand.com/","official_website","therapeutics and regenerative medicine","Biotech terapéutica que desarrolla oligonucleótidos sintéticos para modular el sistema inmune y promover regeneración tisular. Entra en tesis por therapeutics and regenerative medicine.","fill_founding_or_base_country"
"tesabio_ai","Tesabio.ai","6","include/confirmed","","False","https://www.tesabio.ai/","official_website","therapeutics and regenerative medicine","Biotech terapéutica AI-first que identifica small molecules para reprogramar redes de microRNA en enfermedades complejas. Entra en tesis por therapeutics and regenerative medicine.","fill_founding_or_base_country"
