investor_id,canonical_name,investor_type,country_code,website,thesis,preferred_stages,geography_focus,vertical_focus,ticket_min_usd,ticket_max_usd,source_url,notes
barn_investimentos,Barn Investimentos,vc,BR,https://www.barn.ag,Brazilian agtech VC backing founders building the future of food and agriculture in Latin America with focus on rural economy digitization and sustainable ag inputs.,seed;series-a,BR;LATAM,agtech;foodtech;agribusiness,,https://www.barn.ag/portfolio,Portfolio referenced from Barn Investimentos official site
fen_ventures,Fen Ventures,vc,CL,https://fenventures.com,Chilean early-stage VC investing in biotech agtech and deeptech ventures across Latin America with a scientific-founder focus.,seed;pre-seed,CL;LATAM,agtech;biotech;deeptech,,https://fenventures.com/portfolio,Portfolio referenced from Fen Ventures official site
monashees,Monashees,vc,BR,https://www.monashees.com.br,One of Brazil's leading early-stage VCs with a diversified portfolio spanning healthtech agtech and digital infrastructure across LATAM.,seed;series-a;series-b,BR;LATAM,healthtech;agtech;fintech,,https://www.monashees.com.br/en/portfolio,Portfolio referenced from Monashees official site
kaszek,Kaszek Ventures,vc,BR,https://kaszek.com,One of Latin America's largest and most active early-stage VC funds with 130+ portfolio companies including 13 unicorns; invests in technology companies from seed to growth across the region.,seed;series-a;series-b;growth,BR;MX;CO;AR;LATAM,fintech;healthtech;agtech;climate,500000,25000000,https://kaszek.com/,Kaszek portfolio includes Mombak Brazilian Amazon reforestation carbon removal company
union_square_ventures,Union Square Ventures,vc,US,https://usv.com,New York-based thematic VC fund investing in large networks of engaged users with growing focus on climate tech and nature-based solutions.,series-a;series-b,US;LATAM,climate;biotech;fintech;web3,1000000,20000000,https://usv.com/,USV led Mombak $30M Series A (April 2025); also led re.green $30M Series A for Amazon native forest restoration
lightsmith_group,Lightsmith Group,vc,US,https://www.lightsmith.com,Climate adaptation technology investor backing companies that help the world adapt to climate change through data analytics and digital solutions for agriculture water and infrastructure.,series-a;growth,US;LATAM;Global,agtech;climate;analytics,5000000,60000000,https://www.lightsmith.com/,Led Solinftec $60M growth round and $40M Series B; focus on climate-smart data platforms
porsche_ag,Porsche AG,corporate_vc,DE,https://www.porsche.com,German automotive manufacturer making strategic corporate investments in sustainable mobility and clean energy including eFuels production technology.,growth;corporate,EU;Global,efuels;cleantech;sustainability,10000000,100000000,https://newsroom.porsche.com/en/2022/company/porsche-commitment-industrial-production-efuels-investment-hif-global-llc-27935.html,Porsche invested $75M in HIF Global LLC for eFuels production; part of $260M equity round
aqua_capital,Aqua Capital,vc,BR,https://www.aquacapital.com.br,Brazilian private equity and venture capital firm focused on agribusiness food and beverage value chains with investments across the agricultural input production and distribution sectors.,series-a;series-b;growth,BR;LATAM,agtech;agribusiness;foodtech;bioinputs,3000000,50000000,https://www.aquacapital.com.br/,Aqua Capital listed as investor in SoluBio Brazilian on-farm bioinput manufacturing platform
carao_ventures,Carao Ventures,vc,CR,https://www.caraov.com,Early-stage VC firm founded in 2012 in San Jose Costa Rica investing in technology companies across Spanish-speaking Latin America with focus on smaller markets in Central America and Andean region.,seed;series-a,LATAM;CR;CO;PE,healthtech;deeptech;saas,500000,5000000,https://www.caraov.com/,Carao Ventures participated in Levita Magnetics $26M Series C for magnetic robotic surgery platform (MARS)
axventures_pymar,AxVentures-Pymar Fund,vc,AR,https://www.axventures.com,Argentine early-stage technology venture capital fund managed by Ax Ventures backed by IDB Multilateral Investment Fund and Spanish COFIDES; invested in biotech deeptech and software companies in Argentina targeting global markets.,pre-seed;seed,AR;LATAM,biotech;deeptech;software,200000,3000000,https://www.prnewswire.com/news-releases/pymar-fund-completes-seed-financing-in-keclon-an-emerging-innovator-in-industrial-enzymes-for-plant-based-biodiesel-production-143303356.html,Pymar Fund (managed by Ax Ventures) completed seed financing in Keclon Argentine precision fermentation company
arauco_ventures,Arauco Ventures,corporate_vc,CL,https://arauco.com,Corporate venture capital arm of ARAUCO the Chilean forestry and pulp giant; invests in nature-tech forestry innovation and sustainability companies with focus on Chilean startups and global green economy.,series-a;seed,CL;Global,forestry;nature-tech;sustainability;climate,500000,10000000,https://www.prnewswire.com/news-releases/lemu-announces-first-close-of-series-a-funding-round-301752415.html,Led Lemu $8M Series A (Jan 2023); Lemu is Chilean nature-intelligence platform building Atlas biodiversity and nature-MRV platform
kayyak_ventures,Kayyak Ventures,vc,CL,https://www.kayyakventures.com,Chilean-Mexican early-stage VC firm founded in 2020 investing in seed and Series A technology companies across Latin America; focus on foodtech fintech healthtech and climate.,seed;series-a,CL;MX;LATAM,foodtech;fintech;healthtech;climate,500000,5000000,https://latamlist.com/agritech-f4f-raises-4-5m-funding-round-for-insect-protein-production/,Led Food for the Future $4.5M round; Chilean black soldier fly insect protein and aquafeed company
morningside_group,Morningside Group,impact_fund,HK,https://www.morningside.com,Hong Kong-based family office and technology investor making strategic investments in science and technology companies globally including Latin America.,series-a;growth,Global;CL;LATAM,deeptech;healthtech;agtech;technology,5000000,50000000,https://www.globenewswire.com/news-release/2023/02/09/2605386/0/en/Harrison-Co-Advises-WiseConn-Engineering-on-Its-Equity-Investment-From-Morningside-Group.html,Made equity investment in WiseConn (Chile) for DropControl precision irrigation platform expansion into Australia and Europe (Feb 2023)
