"entity_id","canonical_name","slug","integrated_type","canonical_type","source_presence","quality_flags","confidence_score","integrated_sources"
"500-startups","500 Startups","500-startups","capital","capital_candidate","historical","multi_role_capital_accelerator","0.75","historical|historical_clean|institution_candidates"
"aceleradora-litoral","Aceleradora Litoral","aceleradora-litoral","capital","investor","graphml","","0.6","canonical|historical"
"air-capital","AIR Capital","air-capital","capital","investor","nodes_csv","","0.6","canonical|historical|historical_clean"
"Antom","Antom","antom","capital","investor","nodes_csv|graphml","","0.9","canonical|historical|historical_clean"
"bago","Bago","bago","capital","investor","graphml","","0.6","canonical|historical"
"blue-horizon","Blue Horizon","blue-horizon","capital","investor","graphml","","0.6","canonical|historical"
"brinc","Brinc","brinc","capital","investor","graphml","multi_role_capital_accelerator","0.6","canonical|historical|historical_clean|institution_candidates"
"chileglobal-ventures","ChileGlobal Ventures","chileglobal-ventures","capital","investor","manual_external","","0.9","canonical"
"CITES","CITES","cites","capital","investor","nodes_csv|graphml","","0.9","canonical|historical|historical_clean"
"conservation-international","conservation international","conservation-international","capital","investor","graphml","","0.6","canonical|historical"
"creative-ventures","creative ventures","creative-ventures","capital","investor","graphml","","0.6","canonical|historical"
"dragones","Dragones","dragones","capital","investor","graphml","","0.6","canonical|historical"
"DragonesVP","DragonesVP","dragonesvp","capital","investor","nodes_csv","","0.6","canonical|historical"
"draper-associates","Draper Associates","draper-associates","capital","investor","graphml","","0.6","canonical|historical"
"draper-university","Draper University","draper-university","capital","investor","graphml","multi_role_capital_accelerator","0.6","canonical|historical|historical_clean|institution_candidates"
"DraperCygnus","DraperCygnus","drapercygnus","capital","investor","nodes_csv","","0.6","canonical|historical|historical_clean"
"duhau","Duhau","duhau","capital","investor","graphml","","0.6","canonical|historical"
"eatable-adventures","Eatable Adventures","eatable-adventures","capital","investor","manual_external","","0.92","canonical"
"flia-duhau","Flia. Duhau","flia-duhau","capital","investor","graphml","","0.6","canonical|historical"
"fundacion-para-el-progreso-de-la-medicina","Fundacion para el progreso de la medicina","fundacion-para-el-progreso-de-la-medicina","capital","investor","graphml","","0.6","canonical|historical"
"future-ventures","Future Ventures","future-ventures","capital","investor","graphml","","0.6","canonical|historical"
"genesis-consortium","Genesis Consortium","genesis-consortium","capital","investor","graphml","","0.6","canonical|historical"
"glocal","GLOCAL","glocal","capital","investor","graphml","","0.6","canonical|historical"
"GridX","GridX","gridx","capital","investor","nodes_csv|graphml","","0.9","canonical|historical|historical_clean"
"grupo-insud","Grupo Insud","grupo-insud","capital","investor","graphml","","0.6","canonical|historical"
"grupo-peruanos","Grupo Peruanos","grupo-peruanos","capital","investor","graphml","","0.6","canonical|historical"
"happiness","Happiness","happiness","capital","investor","graphml","","0.6","canonical|historical"
"hatch","Hatch","hatch","capital","investor","graphml","","0.6","canonical|historical"
"indiebio","IndieBio","indiebio","capital","investor","graphml","multi_role_capital_accelerator","0.6","canonical|historical|historical_clean|institution_candidates"
