"startup_id","startup_name","risk_score","scope_status","source_status","quality_band","macro_theme","emergent_theme","semantic_beta_theme","semantic_beta_confidence","research_priority","source_url","risk_flags","recommended_action"
"laurus_ag_tech","Laurus AG Tech","128","provisional","missing_external_source","fragile","precision agriculture and resource intelligence","precision agriculture intelligence","","","5","","include_provisional; missing_external_source; stub_evidence; fragile_quality; high_research_priority; thin_context; legacy_unclassified","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"plamic_biotech","Plamic Biotech","128","provisional","missing_external_source","fragile","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","","","5","","include_provisional; missing_external_source; stub_evidence; fragile_quality; high_research_priority; thin_context; legacy_unclassified","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"aerialoop","Aerialoop","122","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"innova_space","Innova Space","122","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"lia_aeospace","LIA Aeospace","122","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"quantum_south","Quantum South","122","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"solfium","Solfium","122","provisional","missing_external_source","medium","climate, energy and resource systems","climate and resource intelligence platforms","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; legacy_unclassified; planetary_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"satellogic","Satellogic","121","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","6","","include_provisional; missing_external_source; stub_evidence; medium_quality; high_research_priority; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"novo_space","NOVO SPACE","121","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","5","","include_provisional; missing_external_source; stub_evidence; medium_quality; high_research_priority; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"satellites_on_fire","Satellites on Fire","121","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","5","","include_provisional; missing_external_source; stub_evidence; medium_quality; high_research_priority; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"skyloom","Skyloom","121","provisional","missing_external_source","medium","frontier hardware and infrastructure systems","frontier hardware and space systems","","","5","","include_provisional; missing_external_source; stub_evidence; medium_quality; high_research_priority; legacy_unclassified; frontier_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"logshare","LogShare","114","provisional","missing_external_source","medium","climate, energy and resource systems","climate and resource intelligence platforms","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; planetary_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"eolo_pharma","Eolo Pharma","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"galtec","Galtec Life","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"glycox","GlycoX","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"neocell","Neocell","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"nunatak_biotech","Nunatak Biotech","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"radbio","Radbio","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"spherebio","SphereBio","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
"syocin_bio","Syocin Biotech","112","provisional","missing_external_source","medium","computational biology and scientific software","computational biology and life-science software","","","4","","include_provisional; missing_external_source; stub_evidence; medium_quality; thin_context; software_border_case","Confirmar website oficial y decidir keep/drop antes de seguir usando el theme."
