"startup_name","recommendation","reason","macro_theme","emergent_theme","structured_sector","thesis_fit","confidence"
"Alytix","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Arakion","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Arcus","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"ArgenTAG","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Auth0","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Axenya","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Ayuvant","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"BACU","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Bekeu","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Betterfly","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Bleps Vision","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
"Break Pet","drop_likely_review_needed","underclassified_no_clear_bio_materiality_signal","peripheral or underclassified ventures","frontier applied science ventures","Other / Unclassified","under_review","0.41"
