"startup_name","recommendation","reason","macro_theme","emergent_theme","structured_sector","thesis_fit","confidence"
"@Tech","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"123Seguro","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Agree","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Aloi","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Altscore","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Amaro","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Antarka","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Aquit","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Ardan","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Barte","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Blerify","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Calfix","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Capim","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Centralo","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Cobli","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Curseduca","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Cytbac","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Egg","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Ethos","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Exactly","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Facturama","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Frubana","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"Gameet","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
"GBM","drop_now","full_digital_no_materiality_signal","peripheral or non-core digital ventures","digital coordination and market infrastructure","Digital Economy","peripheral","0.49"
