"startup_id","startup_name","cleanup_priority","current_scope","scope_reason","structured_country","has_capital_signal","has_source_url","macro_theme","emergent_theme","summary","source_url","action_needed","queue"
"lemon","Lemon","3","exclude/provisional","full_digital_fintech_no_bio_materiality_signal","AR","True","False","peripheral or non-core digital ventures","crypto and consumer fintech","Aplicacion cripto/fintech de consumo. Queda fuera por infraestructura financiera digital sin materialidad bio, biobased o regenerativa.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"spectrum","Spectrum","3","exclude/provisional","services_platform_outside_thesis","","True","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","startup services and founder tools para startup services. Queda afuera por services_platform_outside_thesis.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"invitrall","Invitrall","2","exclude/provisional","insufficient_public_evidence_and_no_defensible_materiality_signal","AR","True","False","peripheral or underclassified ventures","unclassified / needs review resolved","Caso no resuelto con suficiente evidencia publica confiable; lo dejamos afuera por ahora para no contaminar el universo con una entidad ambigua.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"lipock","Lipock","2","exclude/provisional","insufficient_public_evidence_and_no_defensible_materiality_signal","AR","True","False","peripheral or underclassified ventures","unclassified / needs review resolved","Caso ambiguo sin evidencia publica suficiente y auditada para inclusion. Lo dejamos afuera por ahora.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"travelx","TravelX","2","exclude/provisional","full_digital_no_materiality_signal","US/AR","True","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"vu","Vu","2","exclude/provisional","full_digital_no_materiality_signal","AR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","digital identity and fraud prevention platform para cybersecurity and fintech. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"zipnova","Zipnova","2","exclude/provisional","full_digital_no_materiality_signal","AR","True","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"fligoo","Fligoo","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI decision and analytics software para financial services, retail and telecom. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"frete_com","Frete Com","1","exclude/provisional","logistics_software_without_thesis_core_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","digital freight and logistics platform para logistics and commerce. Queda afuera por logistics_software_without_thesis_core_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"iof","Iof","1","exclude/provisional","insufficient_public_evidence_and_no_defensible_materiality_signal","","False","False","peripheral or underclassified ventures","unclassified / needs review resolved","insufficiently documented venture para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"logan","Logan","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","adtech and media data platform para marketing and media. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"luzid","Luzid","1","exclude/provisional","full_digital_no_materiality_signal","CR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","ERP delivery and transformation platform para enterprise software. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"menta_tickets","Menta Tickets","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","ticket resale infrastructure para ticketing and events. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"nuclearis","Nuclearis","1","exclude/provisional","energy_industrial_but_not_bio_or_biocentric_thesis_core","AR","False","False","frontier hardware and infrastructure systems","nuclear industrial engineering","nuclear mechanical engineering and manufacturing para nuclear industry. Queda afuera por energy_industrial_but_not_bio_or_biocentric_thesis_core.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"nuvia","Nuvia","1","exclude/provisional","non_bio_non_biocentric_hardware_outside_thesis","US","False","False","frontier hardware and infrastructure systems","semiconductor compute systems","ARM server CPU startup para data center compute. Queda afuera por non_bio_non_biocentric_hardware_outside_thesis.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"pods","Pods","1","exclude/provisional","insufficient_public_evidence_and_no_defensible_materiality_signal","","False","False","peripheral or underclassified ventures","unclassified / needs review resolved","non core housing or storage startup signal para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"prima","Prima","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","insurance or digital services platform para insurance or media services. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"spline","Spline","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","3D design software para design software. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"strike","Strike","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI led cybersecurity platform para cybersecurity. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"teachy","Teachy","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI teaching and school platform para education technology. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"vixtra","Vixtra","1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","import financing fintech para fintech and international trade. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"lifit","Lifit","0","exclude/provisional","consumer_software_without_thesis_core_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","consumer wellness or productivity software para consumer software. Queda afuera por consumer_software_without_thesis_core_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"starlight_ventures","Starlight Ventures","0","exclude/provisional","non_startup_entity_or_scope_misclassification","","False","False","peripheral or underclassified ventures","non-startup or ecosystem actor misclassified","venture capital or ecosystem actor para venture ecosystem. Queda afuera por non_startup_entity_or_scope_misclassification.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"123seguro","123Seguro","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"aloi","Aloi","-1","exclude/provisional","full_digital_no_materiality_signal","US/Latam","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"amaro","Amaro","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"barte","Barte","-1","exclude/provisional","full_digital_no_materiality_signal","","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
"capim","Capim","-1","exclude/provisional","full_digital_no_materiality_signal","BR","False","False","peripheral or non-core digital ventures","digital coordination and market infrastructure","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","","verify_false_negative_or_confirm_exclude","01_exclude_provisional_false_negative_review"
