"entity_id","alias","alias_type","source_kind","notes"
"algaebio","algaebio+","auto_promoted_review_alias","canonical_review","Same normalized name with case variation"
"aplife-biotech","Aplife","manual_override","manual_alias_overrides","name_shortening|medium"
"avatar-medtech","AVaTAR","manual_override","manual_alias_overrides","name_shortening|medium"
"beam-croptech","BEAM CropTech","merge_from_staging","canonical","Exact same name across sources"
"biocl","BioClÃ©","manual_override","manual_alias_overrides","portfolio_name_variant|high"
"biodiversity-intelligence","Biodiversity Intelligence","merge_from_staging","canonical","Exact same name across sources"
"BreakPET","Break Pet","auto_promoted_review_alias","canonical_review","Same normalized name with branding variation"
"bsafe-biotech","Bsafe Biotech","merge_from_staging","canonical","Exact same name across sources"
"calice","Calice Biotech","manual_override","manual_alias_overrides","same_company_public_profile_variant|high"
"caspr-biotech","CASPR","manual_override","manual_alias_overrides","name_shortening|medium"
"chileglobal-ventures","ChileGlobal Ventures","manual_external","canonical","Official fund name from ChileGlobal Ventures website"
"dharma-bioscience","Dharma BioScience","merge_from_staging","canonical","Exact same name across sources"
"dogma-biotech","Dogma Biotech","merge_from_staging","canonical","Exact same name across sources"
"DraperCygnus","Draper Cygnus","auto_promoted_review_alias","canonical_review","Same normalized name with spacing variation"
"eatable-adventures","Eatable Adventures","manual_external_alias","canonical","Manual addition from official fund page and Raices program coverage"
"eir","EirÃº","manual_override","manual_alias_overrides","encoding_fix|high"
"eiru","Eiru","manual_override","manual_alias_overrides","portfolio_name_variant|medium"
"eiru","Eirú","merged_entity_name","manual_alias_overrides","portfolio_name_variant|entity_merge"
"elytron-biotech","Elytron","manual_override","manual_alias_overrides","name_shortening|medium"
"eolo-pharma","Eolo Pharma","merge_from_staging","canonical","Exact same name across sources"
"eywa-biotech","Eywa","manual_override","manual_alias_overrides","name_shortening|medium"
"Feedvax","Feed Vax","historical_match","historical","nodoseco.csv"
"Feedvax","Feedvax","manual_override","manual_alias_overrides","branding_variant|medium"
"food4you","F4u","manual_override","manual_alias_overrides","shortening_variant|high"
"fungi-life","Fungi Life","merge_from_staging","canonical","Exact same name across sources"
"fungi-life","Fungilife","merge_from_staging","canonical","Same normalized name with capitalization variation"
"future-biome","Future Biome","merge_from_staging","canonical","Exact same name across sources"
"gisens-biotech","Gisens Biotech","merge_from_staging","canonical","Exact same name across sources"
"HIAMET","Hiamet S.A","manual_override","manual_alias_overrides","legal_suffix_variant|medium"
"Kigui","KigÃ¼i","source_name_graphml","canonical","Alternative source label from GraphML"
"kptl","KPTL","manual_external","canonical","Official fund name from KPTL website"
"kresko-rnatech","Kresko RNAtech","auto_promoted_review_alias","canonical_review","Same normalized name with style variation"
"limay-biosciences","Limay","manual_override","manual_alias_overrides","same_company_brand_variant|high"
"limay-biosciences","Limay Biosciences","merge_from_staging","canonical","Exact same name across sources"
"Mesenchyal-T","Mesenchyal-T","merge_from_staging","canonical","Exact same name across sources"
"monte-caldera-technology","Monte Caldera","manual_override","manual_alias_overrides","name_shortening|medium"
"multiplai-health","MultiplAI","manual_override","manual_alias_overrides","same_company_brand_variant|high"
"multiplai-health","MultiplAI Health","merge_from_staging","canonical","Exact same name across sources"
"mycorium-biotech","Mycorium Biotech","merge_from_staging","canonical","Exact same name across sources"
"nanogrow-biotech","Nanogrow","manual_override","manual_alias_overrides","portfolio_name_variant|high"
"nano-jump-bio","Nano Jump","manual_override","manual_alias_overrides","shortening_variant|medium"
