startup_id,description,priority
aeroscan_businessproductivity_software,Developer of a drone monitoring system intended to manage multiple drones in an automated operation ,HIGH
agro_ai,Artificial Inteligence for Agriculture,HIGH
agroadvance,Agribusiness education and capability platform.,HIGH
aguamarina_biomineria,Aguamarina Biomineria specializes in solutions based on green mining technology.,HIGH
aloi,AI tax compliance and enterprise data platform.,HIGH
audsat,Audsat monitors the entire Brazilian territory with the goal to expand the supply of resources and r,HIGH
bacu,Cadena foodtech con software operativo para restaurantes.,HIGH
beegol,Beegol is a machine learning based platform that monitors and improve the quality of broadband and w,HIGH
bioxiplas,Manufacturer of disposable industrial uniforms intended to cater needs of biodegradable material. Th,HIGH
brasil_ozônio,Manufacturer of ozone treatment systems intended to contribute towards a sustainable and environment,HIGH
capim,Dental clinic management and embedded finance platform.,HIGH
carenet_longevity,"Carenet focuses on IoMT (Internet of Medical Things), interoperability and orchestration of patient ",HIGH
circular,Professional network and recruiting platform.,HIGH
cobli,"Fleet tracking, video telemetry and logistics-efficiency platform.",HIGH
egg,Online programming education platform.,HIGH
erural,Livestock marketplace and rural payment platform.,HIGH
fix_it,Developer of a medical splint designed to fit into the patient's anatomy. The company's orthopedic p,HIGH
flexza,Flexible health benefits and compensation platform.,HIGH
frete_com,digital freight and logistics platform para logistics and commerce.,HIGH
gauss_control,Gauss Control is a business intelligence platform that provides traffic accident prevention.,HIGH
gbm,Digital investment and brokerage platform.,HIGH
geofusion,Geographic market intelligence platform.,HIGH
goquantum,Developer of quantum-based hardware designed to provide post-quantum secure data transmission. The c,HIGH
goquantum_2,Developer of quantum-based hardware designed to provide post-quantum secure data transmission. The c,HIGH
inti_tech,Developer and manufacturer of dry cleaning robots designed to clean solar plants. The company instal,HIGH
iov_labs,"Development of blockchain-based platforms, with an emphasis on financial inclusion and peer-to-peer ",HIGH
logan,adtech and media data platform para marketing and media.,HIGH
logshare,Collaborative freight-sharing platform for lower-emission logistics.,HIGH
luzid,ERP delivery and transformation platform para enterprise software.,HIGH
mabloc,AI antibody discovery platform for therapeutics.,HIGH
nanox_industrial_chemicals,Developer of nanostructure materials designed to improve the performance of products used in everyda,HIGH
nuveo,"Developer of artificial Intelligence-based platform designed to automate the processes of capturing,",HIGH
oneinfinite,Cross-border payments orchestration platform.,HIGH
partanna,"Developer of building materials intended to absorb CO2. The company's surface products are living, b",HIGH
popai,Popai is a company that produces healthy snacks using artificial intelligence for developing product,HIGH
prima,insurance or digital services platform para insurance or media services.,HIGH
reborn_electric_motors,Manufacturer of shuttles intended to transform heavy-duty machinery into electric. The company offer,HIGH
ressolve,Operator of an AI-based platform intended to understand and interpret large volumes of conversations,HIGH
rocketbot,Developer of robotic process automation software designed to provide companies and organizations wit,HIGH
saycel,Operator of a communication network platform intended to make communication cheap and available in s,HIGH
sensei,Autonomous retail computer vision platform.,HIGH
starlight_ventures,venture capital or ecosystem actor para venture ecosystem.,HIGH
strike,AI led cybersecurity platform para cybersecurity.,HIGH
teachy,AI teaching and school platform para education technology.,HIGH
terrasense,Developer of drones designed to monitor environment. The company's uses advanced and versatile UAV m,HIGH
tissue_dynamics,Human organoid and AI platform for drug discovery and toxicology.,HIGH
verge_ag,Farm machinery path-planning software.,HIGH
vixtra,import financing fintech para fintech and international trade.,HIGH
vu,digital identity and fraud prevention platform para cybersecurity and fintech.,HIGH
webee,Industrial IoT and AI platform for manufacturing operations.,HIGH
wisy,AI retail execution and shelf intelligence platform.,HIGH
wnd_group,Developer of IoT network platform intended to use low-power wide area network technology across the ,HIGH
yak,Manufacturer of battery-powered electric tractors designed for small rural applications such as indu,HIGH
