startup_name,country_code,sector,description,website,founded_year,source_url
Eva,MX,diagnostics,Painless breast cancer screening in under 10 minutes using infrared technology,https://www.eva.care,2019,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
Delee,MX,medtech,Microfluidics platform that isolates circulating tumor cells from blood for cancer monitoring and treatment tracking,https://www.delee.mx,2015,https://www.delee.mx
Unima,MX,diagnostics,Portable testing kits using big data and AI-driven algorithms to diagnose TB and dengue fever within minutes,https://unima.tech,2018,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
microTERRA,MX,biotech,Sustainable food ingredients using aquatic lemna plants for functional food industry applications,https://www.microterra.com.mx,2018,https://www.microterra.com.mx
GeneProDx,MX,genomics,Precision medicine solutions through genomic testing for cancer cardiovascular and rare genetic disorders,https://www.geneproDx.com,2016,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
Nanopharmacia Group,MX,pharmaceuticals,Nano-enabled drug delivery systems improving bioavailability and safety of therapies for cancer diabetes and infectious diseases,https://www.nanopharmacia.com,2012,https://www.geneonline.com/game-on-what-to-watch-as-mexico-vs-honduras-in-agtech-and-genomic-innovation/
AgroSustain,MX,agtech,Biopesticides to combat fungal crop infections using eco-friendly approaches,https://www.agrosustain.mx,2015,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
SaveFruit,MX,agtech,Patented preservation technology extending fruit shelf life and reducing waste during transport,https://www.savefruit.com.mx,2016,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
KURA Biotec,MX,diagnostics,Enzyme-based solutions for toxicology tests and clinical laboratory assays,https://www.kurabiotech.com,2010,https://www.kurabiotech.com
Ecoshell,MX,biomaterials,Biodegradable packaging solutions using plant-based materials for food industries,https://www.ecoshell.mx,2017,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
Atarraya,MX,agtech,Sustainable shrimp farming using biotechnology and AI to produce sustainable animal protein,https://www.atarrayainc.com,2018,https://www.crunchbase.com/organization/atarraya-inc
Grupo Solena,MX,agtech,Soil microbiome analysis using genomics to optimize agricultural inputs and sustainability,https://www.gruposolena.com,2017,https://agfundernews.com/the-yield-lab-latam-announces-investment-in-mexican-agtech-solena-ag/
Terapify,MX,healthtech,Online psychological therapy platform connecting patients with licensed psychologists via video,https://www.terapify.com.mx,2019,https://www.cbinsights.com/company/terapify
Omica,MX,genomics,AI-ready biobank assembling high-quality omics datasets for precision medicine in Hispanic-Latinx populations,https://www.omica.bio,2019,https://www.insideprecisionmedicine.com/news-and-features/omica-bio-and-gen-t-partner-with-lifebit-to-help-diversify-genomics/
BIOWIT,MX,diagnostics,Smart scalable and accessible point-of-care diagnostic technologies,https://www.biowit.com.mx,2018,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
Granta,MX,medtech,Customized bone implants for maxillofacial neurosurgery oncology and plastic surgery,https://www.granta.com.mx,2012,https://www.scispot.com/blog/top-innovative-life-science-startups-in-mexico
Blankit,MX,medtech,Medical device manufacturing company in Mexico,https://www.blankit.com.mx,2015,https://tracxn.com/d/explore/medical-devices-startups-in-mexico/
WeaRobot,MX,medtech,Medical device company specializing in robotics and automation,https://www.wearobot.com.mx,2016,https://tracxn.com/d/explore/medical-devices-startups-in-mexico/
MediPrint,MX,medtech,3D printing medical devices for orthopedic rehabilitation insoles and dental prostheses,https://www.mediprint.com.mx,2015,https://lab325.com/20-promising-medtech-companies-startups-to-watch-in-2024/
Verqor,MX,agrifintech,Digital agricultural credit platform providing farmers with cashless loans against harvests,https://www.verqor.mx,2018,https://agfundernews.com/breaking-verqor-lands-7-5m-from-yara-accion-others-to-offer-farmers-the-fastest-credit-for-agriculture-in-mexico/
Blooms,MX,agrifintech,Trade finance and global payments solutions for LatAm produce exporters,https://www.blooms.com.mx,2019,https://startupgenome.com/ecosystems/mexico-city
EV Biotech,MX,biotech,Designs and optimizes precision fermentation strains and processes for bioproducts,https://www.evbiotech.com.mx,2020,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/enb2.12037
The Live Green Co,MX,biotech,Precision fermentation platform creating alternative meat using microproteins,https://www.thelivegreen.co,2019,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/enb2.12037
Radialbio,MX,biomaterials,Converts residual biomass from tequila industry into mycelium-based biomaterials,https://www.radialbio.com.mx,2020,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/enb2.12037
NXO Engineering,MX,biotech,Microalgae and cacti slime for eco-friendly water treatment solutions,https://www.nxoengineering.com.mx,2016,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/enb2.12037
Dogma Biotech,CO,therapeutics,AI-designed minimalist glycans for enhanced protein therapies using synthetic biology,https://www.dogmabiotech.bio,2023,https://www.dogmabiotech.bio
Sciphage,CO,biotech,Phage-based products to combat antibiotic-resistant bacteria in health agricultural and environmental sectors,https://www.sciphage.com,2014,https://www.cbinsights.com/company/sciphage
Labtronics,CO,diagnostics,Commercialization of clinical diagnostic products including COVID tests and molecular biology solutions,https://www.labtronics.com.co,2015,https://www.lusha.com/company-search/biotechnology-research/c1afb51f04/colombia/186/
Biotecgen,CO,diagnostics,Specialized service provider in molecular biology and genetics offering genetic testing and diagnostic services,https://www.biotecgen.com.co,2008,https://www.lusha.com/company-search/biotechnology-research/c1afb51f04/colombia/186/
BIIOSMART,CO,therapeutics,Intelligent molecular therapeutics development to combat diseases and enhance global health,https://www.biiosmart.com,2019,https://www.insideprecisionmedicine.com/news-and-features/omica-bio-and-gen-t-partner-with-lifebit-to-help-diversify-genomics/
Sioma,CO,agtech,Technological ecosystem to increase operational productivity of tropical farmers,https://www.sioma.io,2017,https://theyieldlablatam.com/companies/eiwa-2/
TuPlaza,CO,agtech,Agricultural e-commerce and supply chain platform for farmers in Cali region,https://www.tuplaza.co,2020,https://www.cbinsights.com/company/tuplaza
IncluirTec,CO,agrifintech,Financial services and SaaS for the agricultural sector providing farmer financing,https://www.incluirtec.co,2016,https://www.cbinsights.com/company/incluirtec
AgriCapital,CO,agrifintech,Microfinance company providing credit to small agricultural producers,https://www.agricapital.com.co,2015,https://co.linkedin.com/company/agricapitalsas
Samay,CO,medtech,Portable respiratory diagnostic device using acoustic resonance and AI for lung function evaluation,https://www.samayhealth.com,2020,https://www.medicaldesignandoutsourcing.com/medtech-innovator-names-2024-grand-prize-winner/
Demetria,CO,agtech,AI-powered taste and quality intelligence platform for coffee supply chain using NIR sensors,https://www.demetria.co,2022,https://www.comunicaffe.com/demetria-a-colombian-israeli-startup-uses-ai-to-determine-taste-and-quality-of-coffee-beans/
Valentech Pharma,CO,pharmaceuticals,Healthcare provider developing innovative therapies for orphan diseases in Latin America,https://www.valentechpharma.com,2018,https://www.glassdoor.com/Explore/top-biotech-and-pharmaceuticals-companies-bogota_II.4,31_IIND200021_IL.42,48_IM1064.htm
bioaccess,CO,medtech,First-in-Human CRO providing FDA-ready clinical trial data for medtech and biopharmaceutical companies,https://www.bioaccessla.com,2010,https://www.bioaccessla.com
Lentesplus,CO,healthtech,Online retail platform for contact lenses and eye products,https://www.lentesplus.com,2018,https://tracxn.com/d/explore/healthtech-startups-in-colombia/
1DOC3,CO,healthtech,Online medical community platform connecting patients with licensed doctors,https://www.1doc3.com,2019,https://tracxn.com/d/explore/healthtech-startups-in-colombia/
Movet,CO,healthtech,Network of state-of-the-art veterinary clinics reshaping pet healthcare in Colombia,https://www.movet.com.co,2019,https://tracxn.com/d/explore/healthtech-startups-in-colombia/
Amplify Dynamics,CO,genomics,Genomics and crop intelligence solutions for agricultural improvement,https://www.amplifydynamics.com.co,2018,https://agfundernews.com/ecommerce-genomics-crop-intelligence-opportunities-for-colombias-agtech-entrepreneurs/
ReGelTec,CO,medtech,Minimally invasive spinal implants for lower back pain using hydrogel injection technology,https://www.regeltec.com,2009,https://www.biospace.com/regeltec-presents-early-feasibility-study-at-assr-annual-meeting/
Muta,CO,biotech,Biotechnology company with focus on biological innovation,https://www.muta.com.co,2016,https://www.cbinsights.com/company/muta
Grupo Bios,CO,biotech,Bioscience and biotechnology company developing biological solutions,https://www.grupoabios.com,2015,https://juancnavarro.substack.com/p/can-latin-americas-startups-dream
Bioplaster Research,MX,biomaterials,Bioplastic and biodegradable materials research and development,https://www.bioplaster.mx,2015,https://startup_master_dataset.csv
HeartBest,MX,medtech,Medical device company specializing in cardiac applications,https://www.heartbest.mx,2017,https://startup_master_dataset.csv
