investment_id,investor_id,investor_name,startup_id,startup_name,bio_theme,round_stage,round_name,confidence_score,notes_originales,source_url_recuperada,accion
manual-1200-vc-clivi,1200_vc,1200 VC,clivi,Clivi,,,official_direct_investment,0.96,source: https://www.twelvehundred.vc/investments | 1200 VC official investments page lists Clivi as a direct/strategic investment; Clivi is kept as LATAM healthtech but outside BIO thesis core.,,keep_with_url
manual-1200-vc-general-biological,1200_vc,1200 VC,general_biological,General Biological,,,official_direct_investment,0.9,source: https://www.twelvehundred.vc/investments | 1200 VC official investments page lists General Biological and describes it as enabling the shift from petrochemical to biological production through scalable fermentation infrastructure for industrial biotechnology; included as non-LATAM BIO reference edge.,,keep_with_url
124,AIR Capital,AIR Capital,Feed Vax,Feed Vax,,,official_portfolio_investment,0.96,source: https://www.aircapital.vc/portfolio | AIR Capital official portfolio page lists this startup. Matched as FeedVax.,,keep_with_url
113,AIR Capital,AIR Capital,Open Water,Open Water,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
122,AIR Capital,AIR Capital,aplife_biotech,Aplife Biotech,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
142,AIR Capital,AIR Capital,arcomedLab,arcomedLab,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
135,AIR Capital,AIR Capital,argentag,ArgenTAG,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
129,AIR Capital,AIR Capital,ayuvant,Ayuvant,Therapeutics,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
130,AIR Capital,AIR Capital,blerify,Blerify,,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
127,AIR Capital,AIR Capital,branch_energy,Branch Energy,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
137,AIR Capital,AIR Capital,cellva,Cellva,Food Systems & Alt Proteins,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
132,AIR Capital,AIR Capital,done_properly,Done Properly,Food Systems & Alt Proteins,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
119,AIR Capital,AIR Capital,egg,Egg,,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
134,AIR Capital,AIR Capital,epiliquid,Epiliquid,Diagnostics & Health Access,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
140,AIR Capital,AIR Capital,ergo_foods,Ergo Foods,Food Systems & Alt Proteins,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
133,AIR Capital,AIR Capital,ethos,Ethos,,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
141,AIR Capital,AIR Capital,gigablue,Gigablue,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
118,AIR Capital,AIR Capital,inner_cosmos,Inner Cosmos,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
123,AIR Capital,AIR Capital,laurus,Laurus,Biomanufacturing & Fermentation Economy,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
120,AIR Capital,AIR Capital,lemon,Lemon,,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
128,AIR Capital,AIR Capital,menta_tickets,Menta Tickets,,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
117,AIR Capital,AIR Capital,novo_space,NOVO SPACE,,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
139,AIR Capital,AIR Capital,onco_precision,Onco Precision,Therapeutics,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
131,AIR Capital,AIR Capital,oncoliq,Oncoliq,Diagnostics & Health Access,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
115,AIR Capital,AIR Capital,outpost,Outpost,Biomanufacturing & Fermentation Economy,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
125,AIR Capital,AIR Capital,puna_bio,Puna Bio,Bioinputs & Crop Resilience,series-b,official_portfolio_investment,0.96,inferred_from_valuation_tier:3,,keep_with_url
138,AIR Capital,AIR Capital,satellites_on_fire,Satellites on Fire,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
121,AIR Capital,AIR Capital,skyloom,Skyloom,,series-b,official_portfolio_investment,0.96,inferred_from_valuation_tier:3,,keep_with_url
229,AIR Capital,AIR Capital,stamm,Stämm,Biomanufacturing & Fermentation Economy,series-b,official_portfolio_investment,0.96,inferred_from_valuation_tier:3,,keep_with_url
116,AIR Capital,AIR Capital,starlight_ventures,Starlight Ventures,,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
136,AIR Capital,AIR Capital,sylvarum,Sylvarum,Bioinputs & Crop Resilience,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
126,AIR Capital,AIR Capital,tissue_dynamics,Tissue Dynamics,,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e119,Antom,Antom,Kigui,Kigui,,,official_portfolio_investment,0.96,source: https://www.antom.la/portfolio-projects-en | Antom official portfolio page lists this project. Matched as Kigui.,,keep_with_url
e125,Antom,Antom,agrojusto,Agrojusto,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e123,Antom,Antom,circclo,CIRCCLO,Biomaterials & Circular Economy,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
e122,Antom,Antom,conciencia,Conciencia,,series-a,official_portfolio_investment,0.96,inferred_from_valuation_tier:2,,keep_with_url
e120,Antom,Antom,huiro,Huiro,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e116,Antom,Antom,kilimo,Kilimo,Nature & Ecosystem Tech,series-b,official_portfolio_investment,0.96,inferred_from_valuation_tier:3,,keep_with_url
e118,Antom,Antom,nideport,Nideport,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e117,Antom,Antom,ruuts,Ruuts,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
e121,Antom,Antom,satellites_on_fire,Satellites on Fire,Nature & Ecosystem Tech,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1.5,,keep_with_url
157,CITES,CITES,Ardan Pharma,Ardan Pharma,,,official_portfolio_investment,0.96,source: https://cites-gss.com/en/portfolio/ardan-en/ | CITES official portfolio page profiles Ardan Pharma. Matched as Ardan Pharma.,,keep_with_url
156,CITES,CITES,Bionirs,Bionirs,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
160,CITES,CITES,Gbot,Gbot,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
e158,CITES,CITES,abastra,AbAstra,,seed,investment_or_membership,0.9,inferred_from_valuation_tier:1.5,,keep_with_url
e162,CITES,CITES,clover,Clover,,series-a,investment_or_membership,0.9,inferred_from_valuation_tier:2,,keep_with_url
158,CITES,CITES,crinsurance,CRInsurance,,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
159,CITES,CITES,eolo_pharma,Eolo Pharma,Therapeutics,seed,investment,0.95,inferred_from_valuation_tier:1.5,,keep_with_url
154,CITES,CITES,epiliquid,Epiliquid,Diagnostics & Health Access,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
e168,CITES,CITES,limay_biosciences,Limay Biosciences,Diagnostics & Health Access,seed,investment_or_membership,0.9,inferred_from_valuation_tier:1,,keep_with_url
161,CITES,CITES,radbio,Radbio,Therapeutics,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
155,CITES,CITES,stradot,Stradot,,seed,investment,0.95,inferred_from_valuation_tier:1.5,,keep_with_url
e174,CITES,CITES,teramot,Teramot,,seed,investment_or_membership,0.9,inferred_from_valuation_tier:1,,keep_with_url
153,CITES,CITES,viewmind,ViewMind,Diagnostics & Health Access,seed,investment,0.95,inferred_from_valuation_tier:1.5,,keep_with_url
152,DragonesVP,DragonesVP,Amai Proteins,Amai Proteins,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
143,DragonesVP,DragonesVP,Armenta,Armenta,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
145,DragonesVP,DragonesVP,FixUP,FixUP,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
149,DragonesVP,DragonesVP,Peek,Peek,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
146,DragonesVP,DragonesVP,Semtive,Semtive,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
150,DragonesVP,DragonesVP,Unleash Immuno Oncolytics,Unleash Immuno Oncolytics,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
151,DragonesVP,DragonesVP,caspr_biotech,Caspr Biotech,Diagnostics & Health Access,seed,investment,0.95,inferred_from_valuation_tier:1,,keep_with_url
148,DragonesVP,DragonesVP,ngc Partners,ngc Partners,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
147,DragonesVP,DragonesVP,satellogic,Satellogic,Nature & Ecosystem Tech,series-c,investment,0.95,inferred_from_valuation_tier:4,,keep_with_url
144,DragonesVP,DragonesVP,skyloom,Skyloom,,series-b,investment,0.95,inferred_from_valuation_tier:3,,keep_with_url
182,DraperCygnus,DraperCygnus,CargoProduce,CargoProduce,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
176,DraperCygnus,DraperCygnus,Menta,Menta,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
180,DraperCygnus,DraperCygnus,Oasys,Oasys,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
e217,DraperCygnus,DraperCygnus,argentag,ArgenTAG,Diagnostics & Health Access,seed,official_portfolio_investment,0.96,inferred_from_valuation_tier:1,,keep_with_url
163,DraperCygnus,DraperCygnus,auth0,Auth0,,,investment,0.95,source: edgeseco.csv | CSV suggests investor to startup direction but must be validated against canonical entity types,,keep_with_url
