"startup_id","startup_name","scope_status","scope_reason","source_type","quality_band","structured_country","emergent_theme","one_liner","evidence_note"
"lemon","Lemon","provisional","full_digital_fintech_no_bio_materiality_signal","manual_public_signal","medium","AR","crypto and consumer fintech",,
"altscore","Altscore","confirmed","full_digital_fintech_no_bio_materiality_signal","official_website","fragile","","embedded finance and credit infrastructure",,
"luzid","Luzid","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","high","CR","digital coordination and market infrastructure",,
"nuclearis","Nuclearis","provisional","energy_industrial_but_not_bio_or_biocentric_thesis_core","portfolio_or_official_override","high","AR","nuclear industrial engineering",,
"nuvia","Nuvia","provisional","non_bio_non_biocentric_hardware_outside_thesis","portfolio_or_official_override","high","US","semiconductor compute systems",,
"vu","Vu","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","high","AR","digital coordination and market infrastructure",,
"fligoo","Fligoo","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"frete_com","Frete Com","provisional","logistics_software_without_thesis_core_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"iof","Iof","provisional","insufficient_public_evidence_and_no_defensible_materiality_signal","portfolio_or_official_override","medium","","unclassified / needs review resolved",,
"lifit","Lifit","provisional","consumer_software_without_thesis_core_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"logan","Logan","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"menta_tickets","Menta Tickets","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"pods","Pods","provisional","insufficient_public_evidence_and_no_defensible_materiality_signal","portfolio_or_official_override","medium","","unclassified / needs review resolved",,
"prima","Prima","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"spectrum","Spectrum","provisional","services_platform_outside_thesis","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"spline","Spline","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"starlight_ventures","Starlight Ventures","provisional","non_startup_entity_or_scope_misclassification","portfolio_or_official_override","medium","","non-startup or ecosystem actor misclassified",,
"strike","Strike","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"teachy","Teachy","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"vixtra","Vixtra","provisional","full_digital_no_materiality_signal","portfolio_or_official_override","medium","","digital coordination and market infrastructure",,
"centralo","Centralo","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"curseduca","Curseduca","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","BR","digital coordination and market infrastructure",,
"exactly","Exactly","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"facturama","Facturama","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","MX","digital coordination and market infrastructure",,
"frubana","Frubana","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","CO/BR","digital coordination and market infrastructure",,
"grandata","Grandata","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","US/AR","digital coordination and market infrastructure",,
"houm","Houm","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","CL","digital coordination and market infrastructure",,
"hybridon","Hybridon","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"inventa","Inventa","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","BR","digital coordination and market infrastructure",,
"jampp","Jampp","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR/US","digital coordination and market infrastructure",,
"kangu","Kangu","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","BR","digital coordination and market infrastructure",,
"mudafy","Mudafy","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR/MX","digital coordination and market infrastructure",,
"mural","Mural","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR/US","digital coordination and market infrastructure",,
"payjoy","Payjoy","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","US","digital coordination and market infrastructure",,
"pomelo","Pomelo","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"properati","Properati","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"qive","Qive","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","BR","digital coordination and market infrastructure",,
"quadminds","Quadminds","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"retargetly","Retargetly","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"ripio","Ripio","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"rsk","Rsk","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"securitize","Securitize","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","US/AR","digital coordination and market infrastructure",,
"sirena","Sirena","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
"tissue_dynamics","Tissue Dynamics","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","IL/AR","digital coordination and market infrastructure",,
"travelx","TravelX","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","US/AR","digital coordination and market infrastructure",,
"vercel","Vercel","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","US/AR","digital coordination and market infrastructure",,
"zipnova","Zipnova","provisional","full_digital_no_materiality_signal","taxonomy_stub","medium","AR","digital coordination and market infrastructure",,
