"canonical_name","alias_name","reason","confidence"
"Aplife Biotech","Aplife","name_shortening","medium"
"AVaTAR MedTech","AVaTAR","name_shortening","medium"
"BioCl","BioClÃ©","portfolio_name_variant","high"
"BreakPET","Break Pet","branding_variant","high"
"Calice","Calice Biotech","same_company_public_profile_variant","high"
"Caspr Biotech","CASPR","name_shortening","medium"
"EirÃº","Eiru","portfolio_name_variant","medium"
"Eirú","EirÃº","encoding_fix","high"
"Elytron Biotech","Elytron","name_shortening","medium"
"Eywa Biotech","Eywa","name_shortening","medium"
"Feed Vax","Feedvax","branding_variant","medium"
"Feedvax","FeedVax","portfolio_name_variant","high"
"Food4You","F4u","shortening_variant","high"
"HIAMET","Hiamet S.A","legal_suffix_variant","medium"
"Limay Biosciences","Limay","same_company_brand_variant","high"
"Monte Caldera Technology","Monte Caldera","name_shortening","medium"
"MultiplAI Health","MultiplAI","same_company_brand_variant","high"
"Nano Jump Bio","Nano Jump","shortening_variant","medium"
"Naturannova","Naturanova","spelling_variant_same_company","high"
"Nano Jump Bio","NanoJump Bio","spacing_variant","high"
"Nanogrow Biotech","Nanogrow","portfolio_name_variant","high"
"New Organs Biotech","New Organs","name_shortening","medium"
"Onco Precision","OncoPrecision","portfolio_name_variant","high"
"Scitherm Therapeutics","Scitherm","name_shortening","medium"
"Stämm","StÃ¤mm","encoding_fix","high"
"Syocin Biotech","Syocin Bio","name_shortening","medium"
"Tomorrow Foods","Tomorrow","portfolio_name_variant","high"
"Ubique Bio","UbiqueBio","spacing_variant","high"
"Unibaio","UNIBAIO","portfolio_name_variant","high"
"Vexxel Biotech","VexxelBio","spacing_variant","medium"
"WerkÃƒÂ©nVac","Werken Vac","portfolio_name_variant","medium"
"WerkénVac","WerkenVac","accent_variant","medium"
"ZEV Biotech","ZEVBiotech","spacing_variant","high"
