"startup_id","startup_name","scope_decision","scope_status","macro_theme","emergent_theme","review_status","data_quality_score_10","quality_band","missing_signals","startup_summary_v1","business_one_liner","thesis_scope_note"
"soygreen","SoyGREEN","include","provisional","ag biologicals and crop resilience","extremophile microbial ag inputs","seeded","7.5","medium","country_unconfirmed; needs_current_trl_research","ag biologicals for climate smart agriculture para agriculture. Entra en tesis por ag biologicals and crop resilience.","ag biologicals for climate smart agriculture para agriculture.","Entra en tesis por ag biologicals and crop resilience."
"webee","Webee","include","provisional","ag biologicals and crop resilience","data-driven pollination systems","taxonomy_stub","8.5","high","needs_current_trl_research","agriculture biotech para fruit and specialty crop agriculture. Entra en tesis por ag biologicals and crop resilience.","agriculture biotech para fruit and specialty crop agriculture.","Entra en tesis por ag biologicals and crop resilience."
"chemtest","Chemtest","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials.","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag.","Entra en tesis por biobased chemistry and advanced materials."
"huiro","Huiro","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8.5","high","needs_current_trl_research","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials.","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag.","Entra en tesis por biobased chemistry and advanced materials."
"keclon","Keclon","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials.","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag.","Entra en tesis por biobased chemistry and advanced materials."
"protiva","Protiva","include","provisional","biobased chemistry and advanced materials","biobased chemistry and materials","seeded","7.5","medium","country_unconfirmed; needs_current_trl_research","bio based sustainable color platform para fashion and materials. Entra en tesis por biobased chemistry and advanced materials.","bio based sustainable color platform para fashion and materials.","Entra en tesis por biobased chemistry and advanced materials."
"abastra","AbAstra","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"branch_energy","Branch Energy","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"conciencia","Conciencia","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"gigablue","Gigablue","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"hiamet_s_a","HIAMET","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.5","high","needs_current_trl_research","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"kigui","Kigüi","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8.5","high","needs_current_trl_research","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"monte_caldera","Monte Caldera Technology","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"plamic_biotech","Plamic Biotech","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","5","fragile","missing_country; missing_trl; thin_graph_context; unclassified_sector","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
