"investment_id","investor_id","raw_startup_id","normalized_startup_key","suggested_startup_id","source_file","relation_type_raw","recommended_action","notes"
"230","GridX","0","0","","edgeseco.csv","investment","exclude_malformed_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"229","AIR Capital","0","0","","edgeseco.csv","investment","exclude_malformed_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"231","DraperCygnus","0","0","","edgeseco.csv","investment","exclude_malformed_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"manual-1200-vc-clivi","1200_vc","clivi","clivi","","https://www.twelvehundred.vc/investments","official_direct_investment","review_add_startup_or_alias","1200 VC official investments page lists Clivi as a direct/strategic investment; Clivi is kept as LATAM healthtech but outside BIO thesis core."
"90","The Ganesha Lab","Aictive","aictive","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"152","DragonesVP","Amai Proteins","amaiproteins","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"e20","GridX","aplife","aplife","aplife_biotech","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"142","AIR Capital","arcomedLab","arcomedlab","arcomed","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"89","The Ganesha Lab","arcomedLab","arcomedlab","arcomed","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"157","CITES","Ardan Pharma","ardanpharma","ardan","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"143","DragonesVP","Armenta","armenta","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"16","GridX","AVaTAR","avatar","avatar_medtech","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"106","The Ganesha Lab","Bee Technology","beetechnology","tech","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"95","The Ganesha Lab","Bifidice","bifidice","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"86","The Ganesha Lab","Biogea","biogea","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"93","The Ganesha Lab","Biome Resources","biomeresources","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"156","CITES","Bionirs","bionirs","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"191","SOSV_IndieBio","BitMEX","bitmex","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"182","DraperCygnus","CargoProduce","cargoproduce","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"e26","GridX","caspr","caspr","caspr_biotech","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"e21","SOSV_IndieBio","caspr","caspr","caspr_biotech","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
"112","The Ganesha Lab","CuperScience","cuperscience","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"107","The Ganesha Lab","EcoAustralis","ecoaustralis","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"54","GridX","Elytron","elytron","elytron_biotech","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"81","The Ganesha Lab","Eywa","eywa","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"34","GridX","Eywa","eywa","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"53","GridX","F4U","f4u","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"99","The Ganesha Lab","Farmtastica","farmtastica","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"145","DragonesVP","FixUP","fixup","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"185","SOSV_IndieBio","Formlabs","formlabs","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"160","CITES","Gbot","gbot","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"103","The Ganesha Lab","GlucoLib","glucolib","","edgeseco.csv","investment","review_historical_edge","CSV suggests investor to startup direction but must be validated against canonical entity types"
"e81","GridX","hiamet_s_a","hiametsa","HIAMET","latam_coinvest_network_v3.graphml","investment_or_membership","review_historical_edge","GraphML edge direction is not assumed canonical"
