"startup_id","startup_name","scope_decision","scope_status","macro_theme","emergent_theme","review_status","data_quality_score_10","quality_band","source_url","source_type","missing_signals","startup_summary_v1","business_one_liner","thesis_scope_note"
"123seguro","123Seguro","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6","fragile","","taxonomy_stub","missing_country; thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"abastra","AbAstra","include","provisional","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms.","industrial biotech and biological tools para industrial biotech and research markets.","Entra en tesis por biomanufacturing and bioindustrial platforms."
"aerialoop","Aerialoop","include","provisional","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub","7","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context; unclassified_sector","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems.","frontier hardware and space systems para aerospace, infrastructure and industrial markets.","Entra en tesis por frontier hardware and infrastructure systems."
"alkemio","Alkemio","include","provisional","climate, energy and resource systems","critical materials and resource systems","seeded","8","medium","","portfolio_or_official_override","needs_current_trl_research","sustainable rare earth refining para critical materials and industrial systems. Entra en tesis por climate, energy and resource systems.","sustainable rare earth refining para critical materials and industrial systems.","Entra en tesis por climate, energy and resource systems."
"aloi","Aloi","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7.5","medium","","taxonomy_stub","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"altscore","Altscore","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6","fragile","","taxonomy_stub","missing_country; thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"alytix","Alytix","include","provisional","therapeutics and regenerative medicine","therapeutic and regenerative biology","seeded","7.5","medium","","portfolio_or_official_override","country_unconfirmed; needs_current_trl_research","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine.","therapeutic biotech and regenerative medicine para biotech and healthcare.","Entra en tesis por therapeutics and regenerative medicine."
"amaro","Amaro","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6","fragile","","taxonomy_stub","missing_country; thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"antarka","Antarka","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"aquit","Aquit","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","6","fragile","","taxonomy_stub","missing_country; thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
"arcomed","Arcomed","include","provisional","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","8","medium","","taxonomy_stub","needs_current_trl_research; thin_graph_context","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech.","health diagnostics and medtech para healthcare providers and labs.","Entra en tesis por diagnostics and medtech."
"ardan","Ardan","exclude","provisional","peripheral or non-core digital ventures","digital coordination and market infrastructure","taxonomy_stub","7","medium","","taxonomy_stub","thin_graph_context","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","Queda afuera por full_digital_no_materiality_signal."
