"batch_group","batch_name","batch_type","priority","target_size","goal","expected_effect","status","notes"
"portfolio","indiebio_sosv_sweep","portfolio_sweep","1","30","Convert biotech-heavy startups to source-backed seeded using SOSV and IndieBio portfolio sources.","High upside on confirmed biotech coverage and stronger semantic seed text.","next","Best single large batch after GRIDX and SF500."
"portfolio","cites_sweep","portfolio_sweep","2","20","Convert deeptech and biotech startups to source-backed seeded using CITES portfolio sources.","Strong effect on diagnostics, therapeutics and industrial biotech edge cases.","queued","May need harder review than GRIDX."
"theme","food_biotech_theme_sweep","theme_sweep","3","21","Resolve the full provisional food biotech bucket with auditable sources and sharper summaries.","Best immediate improvement for semantic interpretability.","next","Largest provisional macrotheme."
"theme","comp_bio_theme_sweep","theme_sweep","4","12","Resolve provisional computational biology startups with source-backed summaries.","High impact on semantic beta coherence.","queued","Important because this theme is easy to overfit heuristically."
"theme","diagnostics_medtech_theme_sweep","theme_sweep","5","12","Resolve provisional diagnostics and medtech startups with auditable sources.","Improves core thesis health cluster and reduces noise.","queued","Good fit for portfolio and official-site acquisition."
"theme","biomanufacturing_theme_sweep","theme_sweep","6","9","Resolve provisional industrial biotech / biomanufacturing startups.","Critical for the core bioindustry thesis layer.","queued","Strong semantic payoff."
"border","planetary_systems_frontier_sweep","border_case_sweep","7","8","Review climate, fire, space and systems startups through a planetary-boundaries lens.","Clarifies inclusion logic for non-bio but materially regenerative cases.","next","Includes Satellites on Fire and related hardware/system cases."
"portfolio","ganesha_air_kamay_combo","portfolio_combo_sweep","8","25","Use accelerator and fund portfolios to cover biotech and systems startups in batch.","Faster conversion of provisional startups to source-backed seeded.","queued","Useful after the highest-value sweeps."
"theme","climate_resource_systems_sweep","theme_sweep","9","10","Resolve provisional climate/resource startups using stronger external sources.","Sharpens the non-bio but in-thesis edge.","queued","Should follow the frontier review logic."
"cleanup","exclude_confirmation_batch","exclude_fast_cleanup","10","25","Confirm excluded startups with external sources to make exclusions more defensible.","Improves overall methodological credibility without affecting semantic beta directly.","queued","Useful but lower leverage than include batches."
